source	target	kind	score	iwp_src	note
喪	喪屍	residual	0.4044	0.0104	iwp_src=0.010;aff=0.478;iwp_other=0.041;needs human apply
拒	拒絕	residual	0.3607	0.0160	iwp_src=0.016;aff=0.402;iwp_other=0.017;needs human apply
決	決定	residual	0.3386	0.0053	iwp_src=0.005;aff=0.357;iwp_other=0.119;needs human apply
棄	放棄	residual	0.3317	0.0138	iwp_src=0.014;aff=0.349;iwp_other=0.228;needs human apply
休	休息	residual	0.3083	0.0103	iwp_src=0.010;aff=0.305;iwp_other=0.022;needs human apply
漸	漸漸	residual	0.2770	0.0055	iwp_src=0.005;aff=0.247;iwp_other=0.005;needs human apply
然	然後	residual	0.2581	0.0323	iwp_src=0.032;aff=0.223;iwp_other=0.085;needs human apply
喃	喃喃	residual	0.2570	0.0750	iwp_src=0.075;aff=0.238;iwp_other=0.075;needs human apply
顫	顫抖	residual	0.2526	0.0744	iwp_src=0.074;aff=0.229;iwp_other=0.283;needs human apply
契	契媽	residual	0.2489	0.0321	iwp_src=0.032;aff=0.206;iwp_other=0.034;needs human apply
騷	騷擾	residual	0.2471	0.0203	iwp_src=0.020;aff=0.198;iwp_other=0.030;needs human apply
顯	明顯	residual	0.2450	0.0018	iwp_src=0.002;aff=0.188;iwp_other=0.073;needs human apply
抑	抑或	residual	0.2440	0.0399	iwp_src=0.040;aff=0.200;iwp_other=0.086;needs human apply
責	負責	residual	0.2387	0.0090	iwp_src=0.009;aff=0.179;iwp_other=0.008;needs human apply
薦	推薦	residual	0.2230	0.0638	iwp_src=0.064;aff=0.169;iwp_other=0.191;needs human apply
否	否則	residual	0.2209	0.0130	iwp_src=0.013;aff=0.149;iwp_other=0.021;needs human apply
貶	貶值	residual	0.2180	0.0249	iwp_src=0.025;aff=0.147;iwp_other=0.063;needs human apply
醋	呷醋	residual	0.2160	0.0453	iwp_src=0.045;aff=0.150;iwp_other=0.120;needs human apply
敞	敞開	residual	0.2132	0.0279	iwp_src=0.028;aff=0.139;iwp_other=0.182;needs human apply
榜	放榜	residual	0.2130	0.0346	iwp_src=0.035;aff=0.141;iwp_other=0.228;needs human apply
否	否認	residual	0.2108	0.0130	iwp_src=0.013;aff=0.130;iwp_other=0.050;needs human apply
然	雖然	residual	0.2097	0.0323	iwp_src=0.032;aff=0.134;iwp_other=0.010;needs human apply
緻	精緻	residual	0.2095	0.0854	iwp_src=0.085;aff=0.151;iwp_other=0.033;needs human apply
潔	清潔	residual	0.2090	0.0037	iwp_src=0.004;aff=0.124;iwp_other=0.038;needs human apply
脆	脆弱	residual	0.2085	0.0429	iwp_src=0.043;aff=0.135;iwp_other=0.124;needs human apply
顯	顯得	residual	0.2041	0.0018	iwp_src=0.002;aff=0.115;iwp_other=0.447;needs human apply
漲	上漲	residual	0.2022	0.0161	iwp_src=0.016;aff=0.116;iwp_other=0.247;needs human apply
嫂	嫂子	residual	0.2007	0.0782	iwp_src=0.078;aff=0.132;iwp_other=0.014;needs human apply
