literal	answer	pos	family	source	evidence
一個酸梅兩個核	今時唔同往日	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
一隻筷子食豆腐	搞爛晒	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
七姐反宮衣	花樣隨時變	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
三元宮土地	錫身	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
上好沉香當爛柴	唔識貨	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
上山捉蟹	難之又難	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
上香打乞嚏	一面灰	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
乾隆皇契仔	周日清	u	xiehouyu	cantonese-md:idioms	answer-wordplay;explanation-reviewed
二仔底	死跟	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
二叔公割禾	望下截	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
二叔公煎糕	翻來覆去	r	xiehouyu	cantonese-md:idioms	answer-manner;explanation-reviewed
二打六	未夠斤兩	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
倒掛臘鴨	油嘴滑舌	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
光棍佬教仔	便宜莫貪	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
公用電話	冇錢冇得傾	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
冇尾飛陀	有去冇回	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
冇掩雞籠	自出自入	v,r	xiehouyu	cantonese-md:idioms	answer-predicate+manner;explanation-reviewed
冇檳榔嚼唔出汁	事出有因	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
冇牙婆穿針	唔咬線	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
冇米粥	水汪汪	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
冇耳藤篋	靠托	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
冬前臘鴨	隻掕隻	v,r	xiehouyu	cantonese-md:idioms	answer-predicate+manner;explanation-reviewed
冰跌落醋酲	寒酸	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
冷巷擔竹竿	直出直入	r	xiehouyu	cantonese-md:idioms	answer-manner;explanation-reviewed
出爐鐵	聽打	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
切菜刀剃頭	牙煙	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
剃刀門楣	出又刮入又刮	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
劉備借荊州	一借冇回頭	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
北角過啲	例遲	r	xiehouyu	cantonese-md:idioms	answer-manner;explanation-reviewed
十二點半鐘	指天篤地	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
十月芥菜	起心	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
十月蔗頭	由頭甜到尾	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
半夜雞啼	唔知醜	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
半夜食黃瓜	唔知頭唔知尾	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
南無佬跌落屎坑	冇晒符	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
反轉豬肚	就係屎	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
和尚擔遮	無法無天	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
唔食羊肉一身羶	無端受牽連	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
問和尚借梳	嘥氣	a	xiehouyu	cantonese-md:idioms	answer-state;explanation-reviewed
啞仔食雲吞	心中有數	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
啞仔食黃蓮	有苦自己知	u	xiehouyu	cantonese-md:idioms	answer-clause;explanation-reviewed
單料銅煲	一滾就熟	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
單眼佬睇老婆	一眼睇晒	r	xiehouyu	cantonese-md:idioms	answer-manner;explanation-reviewed
土地燈籠	夜不收	v	xiehouyu	cantonese-md:idioms	answer-predicate;explanation-reviewed
