phase	literal	pos	family	voice	note	trust	stratum	verdict	fix_pos	fix_family	fix_voice	audit_note
p0	一個二個	x	idiom		audit-med;review;p2-idiom:一X?Y;p2-idiom-heuristic	high	high|gate|idiom					
p0	一夕之間	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	一念之間	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	一石二鳥	v	idiom		seed	high	high|gate|idiom					
p0	一臂之力	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	一面之詞	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	不惑之年	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	不祧之祖	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	中庸之道	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	乍看之下	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	乘人之危	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	冥冥之中	n	idiom		len4-noun-heuristic;p2-idiom:AABC;p2-idiom-heuristic	high	high|gate|idiom					
p0	半途而廢	v	idiom		audit-high;review	high	high|gate|idiom					
p0	可造之材	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	喪家之犬	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	嗟來之食	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	大將之風	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	天作之合	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	天淵之別	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	好事之徒	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	完整無缺	a	idiom		audit-high;review	high	high|gate|idiom					
p0	平庸之輩	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	彈丸之地	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	彈指之間	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	後事之師	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	心腹之患	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	忽然之間	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	揮之不去	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	有婦之夫	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	權宜之計	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	殺身之禍	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	浩然之氣	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	無稽之談	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	生死之交	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	生財之道	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	神來之筆	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
p0	禮儀之邦	n	idiom		len4-noun-heuristic;p2-idiom:之字格;p2-idiom-heuristic;review	high	high|gate|idiom					
