batch	literal	pos	family	voice	note	trust	verdict	fix_pos	audit_note
u-inlex-nf2k	一陣子	n,r			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	不可或缺	a	idiom		成語式固定;u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	主帥	n			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	事前	n,r			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	亦有	v			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	倉儲	n,v			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	個別	a,n,r			u-inlex-nf2k;review;agent-label	high	BAD	a,r	n 假陽；形+副常見
u-inlex-nf2k	倒後	n,r,v			u-inlex-nf2k;review;agent-label	high	BAD	r	粵「之後／向後」副；n/v 假陽
u-inlex-nf2k	偉	a,n			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	偏僻	a			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	做客	v			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	備	n,v			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	兩份	x			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	別看	v,x			別看…其實… 連詞向;u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	剋	v			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	勞氣	a,v			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	南無	x			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	叢書	n			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	合作社	n			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	向着	v,x			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	吶喊	n,v			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	告一段落	v	idiom		u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	嘖嘖	x			擬聲;u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	嘩嘩	a,r,x			u-inlex-nf2k;review;agent-label	high	BAD	r,x	擬聲+情態副；a 假陽
u-inlex-nf2k	嘲諷	v			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	嚟喇	v			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	國度	n			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	圓通	a,n			圓融／圓通速遞;u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	圖層	n			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	墜	v			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	大計	n			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	天上	n			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	姥姥	n			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	尾盤	n			u-inlex-nf2k;review;agent-label	high	OK		
u-inlex-nf2k	工具欄	n			u-inlex-nf2k;review;agent-label	high	OK		
