rank	literal
121	、
174	沖
176	番
177	女仔
178	小
179	次
181	黎
182	就是
183	今日
186	整
187	媽咪
188	除
191	屌
193	說
194	回覆日期
195	聲
197	女
199	噹
202	即
203	她
205	突然
206	晒
207	俊俊
209	大家
211	不如
212	爲
213	時
214	靚
216	跌
217	撚
221	張
224	思
228	之前
231	都會
233	一陣
234	上面
235	陣
236	駛
237	您
240	成日
241	慢慢
242	家姐
244	其他
245	哂
246	點樣
250	覺
251	終於
252	幾多
253	仲有
254	嗯
258	新
262	一路
263	頭先
264	少少
265	爛
266	啱
270	咦
272	依家
273	樣
275	涼
277	搭
279	若
281	我同
285	咋
286	定
287	凝
289	做咩
290	低
291	以爲
293	竟然
294	耐
295	公仔
296	芷純
300	就算
301	捉
305	啤啤
306	件
310	當然
311	嗎
315	跟
316	喀
317	男仔
320	啫
321	唔該
323	我講
327	身
331	砌
333	吖
334	可
338	丫
339	街
340	平時
341	所有
346	今次
348	以前
350	長
351	同學
354	收
356	一次
357	唔同
358	清楚
360	身邊
361	所
365	都是
366	多謝
369	點知
370	車車
372	小貞
375	一邊
376	房
378	唉
380	一刻
385	老豆
387	本
389	說話
390	估
393	面前
394	起身
395	力
396	同時
397	企
400	依個
402	我望
406	正
408	細
409	果
410	道
412	黃
413	搣
415	叻
419	我見
428	更加
429	我要
432	嘞
433	答
434	錯
435	我個
436	姐
440	有時
441	離
442	妳
443	當
445	楂
449	相
450	嘉
451	他
454	老母
455	早
457	誒
458	仲要
460	污糟
461	我會
463	理
467	救
469	有個
470	不斷
473	謙謙
475	究竟
477	男
478	兜
479	特別
481	作爲
486	唔通
488	乖
489	插
490	很多
492	皓臻
494	記
495	幾時
497	吾
498	喫
