literal	pos	family	voice	note	trust	stratum	rank	verdict	fix_pos	fix_family	fix_voice	audit_note
一句話	u			no-source;fallback	low	low|u	3938	BAD	n,r			NP「一句話」；亦作「總之」副用
一塊	u			no-source;fallback	low	low|u	2925	BAD	n,x			數量短語／「一塊」指物
一招	u			no-source;p1;fallback	low	low|u	3358	BAD	n			一着／招式，名詞
一拳	u			no-source;p1;fallback	low	low|u	2420	BAD	n			一記拳頭，名詞
一摸	u			no-source;p1;fallback	low	low|u	4420	SOFT				動量短語 vs 動截斷，邊介；u 可接受
一群	u			no-source;p1;fallback	low	low|u	4834	BAD	x			數+量結構，虛
一輪	u			no-source;p1;fallback	low	low|u	3003	BAD	n,x			一回合／量詞短語
下身	u			no-source;fallback	low	low|u	2457	BAD	n			身體部位，名詞
不敢	u			no-source;fallback	low	low|u	3843	BAD	v			情態動詞短語
不禁	u			no-source;fallback	low	low|u	1906	BAD	r			副詞「忍不住」
中意	u			no-source;fallback	low	low|u	2193	BAD	v			粵「喜歡」
主要	u			no-source;fallback	low	low|u	1841	BAD	a,r			形＋副兩用
之內	u			no-source;fallback	low	low|u	2851	BAD	x			方位／後置虛
乎	u			no-source;fallback	low	low|u	3253	BAD	x			文言語氣／介，虛
也是	u			no-source;p1;fallback	low	low|u	525	SOFT				也+是連用塊，單一詞類邊介
也能	u			no-source;p1;fallback	low	low|u	3800	OK				副+能願截斷，非完整詞位
什麼時候	u			no-source;fallback	low	low|u	3103	BAD	r,x			疑問時間
住部	u			no-source;p1;fallback	low	low|u	4847	OK				疑似截斷／罕用，詞類難定
你在	u			no-source;p1;fallback	low	low|u	3426	OK				人稱+在截斷
依句	u			no-source;p1;fallback	low	low|u	3577	OK				罕／截斷不明
依間	u			no-source;p1;fallback	low	low|u	3846	BAD	x			粵指示「這一／這陣」類
傻妹	u			no-source;fallback	low	low|u	2762	BAD	n			指人名詞
億元	u			no-source;p1;fallback	low	low|u	4836	BAD	n			金額單位詞
共	u			no-source;fallback	low	low|u	2472	SOFT				形／副／介／動多類，難定主標
出名	u			no-source;fallback	low	low|u	2082	BAD	a,v			有名；成名
出嚟	u			no-source;fallback	low	low|u	307	BAD	v			粵「出來」
到手	u			no-source;fallback	low	low|u	3393	BAD	v			得到
功夫	u			no-source;fallback	low	low|u	4064	BAD	n			武功／本事／時間
功課	u			no-source;fallback	low	low|u	1511	BAD	n			作業
