literal	pattern	pos	family
一事無成	一X?Y	a,v	idiom
一來一往	ABAC	v,r	idiom
一來二去	一X?Y	r,v	idiom
一分一秒	ABAC	n,r	idiom
一唱一和	ABAC	a,v	idiom
一問一答	ABAC	a,v	idiom
一夫一妻	ABAC	n,a	idiom
一年一度	ABAC	a,r	idiom
一往無前	一X?Y	a,v	idiom
一心一意	ABAC	a,r	idiom
一心二用	一X?Y	v,a	idiom
一房一廳	ABAC	n	idiom
一手一足	ABAC	n	idiom
一時一刻	ABAC	n,r	idiom
一時三刻	一X?Y	n,r	idiom
一望無垠	一X?Y	a	idiom
一清二白	一X?Y	a	idiom
一驚一乍	ABAC	a,v	idiom
一點一滴	ABAC	n,r	idiom
七擒七縱	ABAC	a,v	idiom
上綱上線	ABAC	a,v	idiom
亦步亦趨	ABAC	v,a	idiom
亦莊亦諧	ABAC	a,v	idiom
人無完人	AxxA	a,n	idiom
仁者見仁	AxxA	v,a	idiom
今生今世	ABAC	n,r	idiom
何年何月	ABAC	n,r	idiom
何德何能	ABAC	a,v	idiom
何時何地	ABAC	n,r	idiom
來回來去	ABAC	v,r	idiom
倒買倒賣	ABAC	a,v	idiom
做牛做馬	ABAC	a,v	idiom
傻裏傻氣	ABAC	a	idiom
傻頭傻腦	ABAC	a	idiom
傾國傾城	ABAC	a,v	idiom
傾城傾國	ABAC	a,v	idiom
像模像樣	ABAC	a,v	idiom
先到先得	ABAC	v,r	idiom
全始全終	ABAC	a,v	idiom
全黨全軍	ABAC	n	idiom
公事公辦	ABAC	v	idiom
冇人冇物	ABAC	a,v	idiom
利國利民	ABAC	a,v	idiom
動刀動槍	ABAC	a,v	idiom
動手動腳	ABAC	a,v	idiom
半信半疑	ABAC	a,v	idiom
半工半讀	ABAC	a,v	idiom
半推半就	ABAC	a,v	idiom
原汁原味	ABAC	a,n	idiom
古色古香	ABAC	a	idiom
古里古怪	ABAC	a,v	idiom
可圈可點	ABAC	a,v	idiom
可多可少	ABAC	a,v	idiom
可大可小	ABAC	a,v	idiom
可有可無	ABAC	a,v	idiom
可歌可泣	ABAC	a,v	idiom
各就各位	ABAC	a,v	idiom
各色各樣	ABAC	a,n	idiom
各行各業	ABAC	n	idiom
吉爾吉斯	ABAC	n	
同工同酬	ABAC	a,v	idiom
同班同學	ABAC	n	
問寒問暖	ABAC	a,v	idiom
問長問短	ABAC	a,v	idiom
善始善終	ABAC	a,v	idiom
善有善報	ABAC	v,a	idiom
嗲聲嗲氣	ABAC	a	idiom
土生土長	ABAC	a,v	idiom
土裏土氣	ABAC	a	idiom
多勞多得	ABAC	v,a	idiom
多嘴多舌	ABAC	a	idiom
多姿多彩	ABAC	a	idiom
多姿多采	ABAC	a	idiom
多子多福	ABAC	a,n	idiom
多彩多姿	ABAC	a	idiom
多才多藝	ABAC	a	idiom
多種多樣	ABAC	a	idiom
大包大攬	ABAC	a,v	idiom
大吃大喝	ABAC	a,v	idiom
大吉大利	ABAC	a	idiom
大吹大擂	ABAC	a,v	idiom
大富大貴	ABAC	a	idiom
大徹大悟	ABAC	v,a	idiom
大手大腳	ABAC	a,v	idiom
大搖大擺	ABAC	a,v	idiom
大是大非	ABAC	n	idiom
大紅大紫	ABAC	a	idiom
大紅大綠	ABAC	a	idiom
大起大落	ABAC	a,v	idiom
大魚大肉	ABAC	n,a	idiom
天兵天將	ABAC	n	idiom
天外有天	AxxA	a,n	idiom
夾七夾八	ABAC	a,v	idiom
夾手夾腳	ABAC	a,v	idiom
好聲好氣	ABAC	a	idiom
好言好語	ABAC	a,v	idiom
如火如茶	ABAC	a,r	idiom
如痴如醉	ABAC	a,v	idiom
如詩如畫	ABAC	a	idiom
如醉如痴	ABAC	a,v	idiom
孰真孰假	ABAC	a,v	idiom
學士學位	ABAC	n	
學校同學	AxxA	n	
實話實説	ABAC	a,v	idiom
寸土寸金	ABAC	a,n	idiom
將信將疑	ABAC	a,v	idiom
小打小鬧	ABAC	a,v	idiom
屢戰屢敗	ABAC	a,v	idiom
屢敗屢戰	ABAC	a,v	idiom
常來常往	ABAC	a,v	idiom
年復一年	AxxA	r	idiom
後知後覺	ABAC	a,v	idiom
徒子徒孫	ABAC	n	idiom
徹頭徹尾	ABAC	r,a	idiom
忙進忙出	ABAC	a,v	idiom
快手快腳	ABAC	a,v	idiom
忽上忽下	ABAC	a,r	idiom
忽冷忽熱	ABAC	a,r	idiom
忽隱忽現	ABAC	a,r	idiom
忽高忽低	ABAC	a,r	idiom
怪聲怪氣	ABAC	a	idiom
怪裏怪氣	ABAC	a	idiom
怯聲怯氣	ABAC	a	idiom
怯頭怯腦	ABAC	a	idiom
悠哉悠哉	ABAB	a,r	idiom
惡有惡報	ABAC	v,a	idiom
愈戰愈勇	ABAC	a,v	idiom
愈演愈烈	ABAC	a,v	idiom
愣頭愣腦	ABAC	a	idiom
成千成萬	ABAC	a,r	idiom
成雙成對	ABAC	a,v	idiom
我愛我家	ABAC	v	
戒驕戒躁	ABAC	a,v	idiom
所作所為	ABAC	n	idiom
所見所聞	ABAC	n	idiom
拼死拼活	ABAC	a,v	idiom
挨家挨户	ABAC	a,v	idiom
挨門挨户	ABAC	a,v	idiom
探頭探腦	ABAC	a	idiom
擒賊擒王	ABAC	a,v	idiom
擠來擠去	ABAC	v,r	idiom
敢作敢為	ABAC	a,v	idiom
敢作敢當	ABAC	a,v	idiom
新人新事	ABAC	n	idiom
旅進旅退	ABAC	a,v	idiom
日光日白	ABAC	a,v	idiom
日復一日	AxxA	r	idiom
時大時小	ABAC	a,r	idiom
時好時壞	ABAC	a,r	idiom
時斷時續	ABAC	a,r	idiom
時隱時現	ABAC	a,r	idiom
晚婚晚育	ABAC	a,v	idiom
暈頭暈腦	ABAC	a	idiom
暴飲暴食	ABAC	a,v	idiom
木口木面	ABAC	a,v	idiom
本鄉本土	ABAC	n,a	idiom
毛手毛腳	ABAC	a,v	idiom
民脂民膏	ABAC	n	idiom
永生永世	ABAC	r	idiom
沒心沒肺	ABAC	a,v	idiom
沒日沒夜	ABAC	a,v	idiom
活學活用	ABAC	a,v	idiom
活靈活現	ABAC	a,v	idiom
活龍活現	ABAC	a,v	idiom
減租減息	ABAC	a,v	idiom
渾頭渾腦	ABAC	a	idiom
滑頭滑腦	ABAC	a	idiom
滿打滿算	ABAC	a,v	idiom
漸行漸遠	ABAC	a,v	idiom
濫砍濫伐	ABAC	a,v	idiom
火急火燎	ABAC	a,v	idiom
火燒火燎	ABAC	a,v	idiom
炒買炒賣	ABAC	a,v	idiom
熟門熟路	ABAC	a,v	idiom
獨來獨往	ABAC	a,v	idiom
獨往獨來	ABAC	a,v	idiom
獨斷獨行	ABAC	a,v	idiom
獨門獨户	ABAC	a,n	idiom
現學現用	ABAC	a,v	idiom
甕聲甕氣	ABAC	a	idiom
甩皮甩骨	ABAC	a,v	idiom
畏首畏尾	ABAC	a,v	idiom
畢恭畢敬	ABAC	a,r	idiom
當且僅當	AxxA	r,x	
痛定思痛	AxxA	v	idiom
瘋言瘋語	ABAC	a,v	idiom
百戰百勝	ABAC	a,v	idiom
盡心盡力	ABAC	a,v	idiom
相生相剋	ABAC	a,v	idiom
真人真事	ABAC	n	idiom
真刀真槍	ABAC	n,a	idiom
真心真意	ABAC	a,v	idiom
知根知底	ABAC	a,v	idiom
破罐破摔	ABAC	a,v	idiom
礙手礙腳	ABAC	a,v	idiom
神乎其神	AxxA	a	idiom
穩扎穩打	ABAC	a,v	idiom
穩紮穩打	ABAC	a,v	idiom
童男童女	ABAC	n	idiom
粗聲粗氣	ABAC	a	idiom
糊裏糊塗	ABAC	a,v	idiom
累死累活	ABAC	a,v	idiom
細聲細氣	ABAC	a	idiom
繞來繞去	ABAC	v,r	idiom
美輪美奐	ABAC	a	idiom
老夫老妻	ABAC	n	idiom
聞所未聞	AxxA	a	idiom
能上能下	ABAC	a,v	idiom
能屈能伸	ABAC	a,v	idiom
能文能武	ABAC	a,v	idiom
腳痛醫腳	AxxA	v	idiom
自動自發	ABAC	v,a	idiom
自問自答	ABAC	v,a	idiom
自導自演	ABAC	v,a	idiom
自強自立	ABAC	v,a	idiom
自彈自唱	ABAC	v,a	idiom
自暴自棄	ABAC	v,a	idiom
自生自滅	ABAC	v,a	idiom
自由自在	ABAC	a,r	idiom
自立自強	ABAC	v,a	idiom
自覺自願	ABAC	v,a	idiom
至始至終	ABAC	r	idiom
若有若無	ABAC	a,v	idiom
血債血償	ABAC	a,v	idiom
要死要活	ABAC	a,v	idiom
見仁見智	ABAC	a,v	idiom
見稜見角	ABAC	a,v	idiom
親上加親	AxxA	v,a	idiom
親力親為	ABAC	a,v	idiom
話裏有話	AxxA	a,v	idiom
誤打誤撞	ABAC	a,v	idiom
賊喊捉賊	AxxA	v	idiom
賊頭賊腦	ABAC	a	idiom
載歌載舞	ABAC	a,v	idiom
逐字逐句	ABAC	a,v	idiom
