literal	freq	pos	family	voice	note
難免	2491	a,r			
題	2491	n,v			
黃金	2491	n			
黑衣	2491	n			
深化	2477	n,v			
法律責任	2476	n			
藍牙	2457	n			
備註	2456	n,v			
死機	2456	n,v			
中華民族	2451	n			
騙人	2448	v			
教育部	2444	n			
沒意思	2443	a			
旗下	2438	n,x			
安全性	2436	n			
詞彙	2430	n			
複合	2421	a,n,v			
態勢	2420	n			
使人	2417	v			
境外	2414	n,r			
年內	2407	n,r			
辦事處	2405	n			
評委	2404	n			
一號	2402	n,x			
一部份	2402	n,x			
不愧	2402	a,r			
亮	2402	a,v			
佛	2402	n			
使乜	2402	v,x			
倫	2402	n			
偶爾	2402	r			
僵硬	2402	a			
全家	2402	n			
具體	2402	a			
前度	2402	a,n			
創意	2402	a,n			
口面	2402	n			
哪裡	2402	n,r,x			
啱先	2402	r			
嗬	2402	x			
圍觀	2402	n,v			
埋口	2402	v			
少爺	2402	n			
尻	2402	n			
幾經	2402	r,v			
廢柴	2402	a,n			
必	2402	r,x			
感性	2402	a,n			
截	2402	n,v			
打爛	2402	v			
拉麵	2402	n			
拼命	2402	r,v			
接線生	2402	n			
操	2402	n,v			
敏捷	2402	a			
整體	2402	a,n			
旅	2402	n,v			
是非	2402	n			
有力	2402	a			
朝朝	2402	n,r			
本事	2402	n			
極力	2402	r			
滿佈	2402	v			
漁村	2402	n			
無形	2402	a,n			
爆缸	2402	v			
睇中	2402	v			
睇好	2402	v			
童話	2402	n			
糧	2402	n			
緒	2402	n			
繫	2402	v			
衷心	2402	a,r			
講法	2402	n			
賤格	2402	a,n			
起眼	2402	a			
身型	2402	n			
進一步	2402	r,v			
邊行	2402	v			邊V邊…語境常見
銅鑼灣	2402	n			
養父	2402	n			
驚人	2402	a			
國企	2391	n			
好不容易	2388	a,r			
俾	2386	v,x			粵「畀」借字／被動標記
必將	2385	r			
精美	2383	a			
越獄	2380	n,v			
音頻	2367	n			
來得及	2364	v			
現行	2352	a,n			
關鍵字	2350	n			
斌	2348	n			
黨委	2347	n			
