literal	pos	family	voice	note	trust	verdict	fix_pos	fix_family	audit_note
一心一意	a,r	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
一房一廳	n	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
一手一足	n	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
一時三刻	n,r	idiom		p2-idiom:一X?Y;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
一望無垠	a	idiom		p2-idiom:一X?Y;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
一驚一乍	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
一點一滴	n,r	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
亦莊亦諧	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
人無完人	a,n	idiom		p2-idiom:AxxA;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
仁者見仁	a,v	idiom		p2-idiom:AxxA;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
倒買倒賣	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	SOFT			v 主；a 弱
做牛做馬	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	SOFT			v 主
傾國傾城	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	SOFT			a 主形容容貌
像模像樣	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	SOFT			a 主
全始全終	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	BAD	r		自始至終義；副詞性
可有可無	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	SOFT			a 主
各就各位	a,v	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	BAD	v		祈使/動作；非 a
各色各樣	a,n	idiom		p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			
同班同學	n			p2-idiom:ABAC;u-inlex-idiom;review;u-inlex-idiom-relabel	high	OK			非熟語；family 空正確
