literal	freq	pos	family	voice	note
過關	1423	n,v			
適中	1423	a			
鄉	1423	n			
鄧	1423	n			
重傷	1423	n,v			
錢罌	1423	n			
鎚仔	1423	n			
門牙	1423	n			
開波	1423	v			
關懷	1423	n,v			
阮	1423	n			
防備	1423	n,v			
院長	1423	n			
階	1423	n			
隔絕	1423	v			
雄	1423	a,n			
難做	1423	a			
震蛋	1423	n			
風雷	1423	n			
飛仔	1423	n			
飛機師	1423	n			
飲得	1423	v			
香口膠	1423	n			
高分	1423	a,n			
高妹	1423	n			
麟	1423	n			
黑房	1423	n			
點好	1423	r,x			
減排	1422	n,v			
電視節目	1421	n			
提速	1420	n,v			
閱	1419	v			
保健品	1418	n			
手寫	1418	a,n,v			
貨源	1418	n			
國際貿易	1417	n			
收視率	1417	n			
呢個	1416	x			
寒假	1416	n			
親友	1416	n			
接電話	1415	v			
國貿	1414	n			
邢	1414	n			
人妖	1413	n			
婷婷	1413	a,n			
亞太	1411	n			
圖文	1411	n			
固定資產	1410	n			
濱	1410	n			
假冒	1409	a,v			
排毒	1409	n,v			
夕	1408	n			
上火	1407	a,v			
工業區	1406	n			
總價	1406	n			
自來水	1406	n			
二手車	1405	n			
恨不得	1405	v			
死於	1405	v			
緬甸	1405	n			
過日子	1405	v			
遙控器	1405	n			
進駐	1404	v			
六級	1402	n			
愜意	1400	a			
杭	1400	n			
元寶	1399	n			
大選	1398	n			
盛世	1398	n			
用量	1394	n			
群組	1394	n			
裕	1394	a,n			
高水平	1394	a,n			
用人	1393	n,v			
荒	1393	a,n,v			
行政管理	1392	n			
外商	1391	n			
對外開放	1391	n,v			
熱銷	1391	a,v			
風中	1391	n,r			
方向盤	1390	n			
葡萄牙	1390	n			
下月	1388	n,r			
奎	1388	n			
豆瓣	1388	n			
學生會	1386	n			
內測	1385	n,v			
強有力	1383	a			
廳長	1382	n			
縣政府	1382	n			
本部	1381	n			
規章	1380	n			
大夥	1379	n,x			
戰鬥機	1379	n			
搞清楚	1379	v			
讀寫	1379	n,v			
一不小心	1378	r			
世錦賽	1378	n			
原著	1378	n			
減持	1378	n,v			
細則	1378	n			
妞妞	1377	n			
測算	1377	n,v			
當即	1377	r			
艘	1377	x			
華語	1377	n			
