literal	freq	pos	family	voice	note
歡呼雀躍	592	a,v	idiom		
組合音響	592	n			
聊齋志異	592	n			
舉步維艱	592	a,v	idiom		
蒸騰	592	v			
醫學檢驗	592	n			
一飲而盡	591	v	idiom		
交感神經	591	n			
信用評級	591	n			
參考消息	591	n			
喜氣洋洋	591	a	idiom		
外患	591	n			
強身健體	591	v			
技術知識	591	n			
旅遊集散	591	n			
海水浴場	591	n			
生理鹽水	591	n			
真命天子	591	n			
精神抖擻	591	a	idiom		
網絡協議	591	n			
肅然起敬	591	v	idiom		
記恨	591	v			
議事規則	591	n			
長途跋涉	591	v			
鮮明對比	591	n			
一個勁兒	590	r			
儲蓄銀行	590	n			
危局	590	n			
因材施教	590	v	idiom		
塞浦路斯	590	n			
大喝一聲	590	v			
安睡	590	v			
尋人啓事	590	n			
弱肉強食	590	n,v	idiom		
戰無不勝	590	a,v	idiom		
打成一片	590	v	idiom		
打高爾夫	590	v			
振奮人心	590	a,v			
推卸責任	590	v			
揚長而去	590	v	idiom		
浮想聯翩	590	v	idiom		
百科詞典	590	n			
直系親屬	590	n			
真心實意	590	a,r	idiom		
碩果累累	590	a	idiom		
走下坡	590	v			
量子力學	590	n			
阿塞拜疆	590	n			
霉運	590	n			
音頻文件	590	n			
預防接種	590	n,v			
風雨無阻	590	a,r	idiom		
體外循環	590	n			
兩小無猜	589	a	idiom		
兩手空空	589	a	idiom		
冷眼旁觀	589	v	idiom		
劍拔弩張	589	a	idiom		
勞動強度	589	n			
和約	589	n			
啞口無言	589	a,v	idiom		
學以致用	589	v	idiom		
水天一色	589	a	idiom		
滿座	589	a,n			
玉皇大帝	589	n			
程序控制	589	n,v			
統一規劃	589	n,v			
自得其樂	589	v	idiom		
親筆簽名	589	n,v			
雙管齊下	589	v	idiom		
黯然神傷	589	a,v	idiom		
不值一提	588	a,v	idiom		
中等教育	588	n			
借刀殺人	588	v	idiom		
分子結構	588	n			
千呼萬喚	588	v	idiom		
坦桑尼亞	588	n			
天各一方	588	a,v	idiom		
太上老君	588	n			
渾身解數	588	n	idiom		
男扮女裝	588	v			
神清氣爽	588	a	idiom		
組合而成	588	v			
落荒而逃	588	v	idiom		
親臨現場	588	v			
試管嬰兒	588	n			
道德品質	588	n			
風雨欲來	588	a	idiom		
高清晰度	588	n			
不勞而獲	587	v	idiom		
亂世佳人	587	n			
付諸行動	587	v			
化學性質	587	n			
夜幕降臨	587	v			
大受歡迎	587	a,v			
大顯身手	587	v	idiom		
小鳥依人	587	a	idiom		
戰國時代	587	n			
技術移民	587	n			
教育電視	587	n			
文豪	587	n			
水利樞紐	587	n			
溢於言表	587	v	idiom		
秋高氣爽	587	a	idiom		
簡單明瞭	587	a			
軍事委員	587	n			
轉瞬間	587	r			
刀光劍影	586	n	idiom		
同等學歷	586	n			
善終	586	n,v			
外太空	586	n			
天時地利	586	n	idiom		
左鄰右舍	586	n	idiom		
度日如年	586	v	idiom		
建功立業	586	v	idiom		
渾然一體	586	a	idiom		
白衣天使	586	n			
眼皮底下	586	n,r			
紈絝子弟	586	n	idiom		
統籌兼顧	586	v	idiom		
製藥企業	586	n			
言行舉止	586	n			
詩詞歌賦	586	n			
農民起義	586	n			
領銜主演	586	v			
一籌莫展	585	a,v	idiom		
九霄雲外	585	n,r	idiom		
五穀雜糧	585	n			
大失所望	585	a,v	idiom		
大家閨秀	585	n			
展望未來	585	v			
廣角鏡頭	585	n			
投票表決	585	n,v			
昏迷不醒	585	a,v			
時刻準備	585	v			
深入探討	585	v			
矯形外科	585	n			
移情別戀	585	v			
