literal	pos	family	voice	note
一仍舊貫	v	idiom		
一吐為快	v	idiom		
一字不落	a,r	idiom		
一探究竟	v			
一桿入洞	n,v			
一決高下	v	idiom		
一般來説	r			
一般説來	r			
一言為定	v	idiom		
一路風塵	a,n	idiom		
一針見血	a,v	idiom		
七高八低	a	idiom		
上昇	n,v			
不以為然	a,v	idiom		
不分皂白	a,r	idiom		
不安本分	a,v	idiom		
不檢點	a			
不治而癒	v	idiom		
不為人知	a	idiom		
不為已甚	v	idiom		
不相伯仲	a	idiom		
不謀私利	a,v	idiom		
不識抬舉	a,v	idiom		
不負眾望	a,v	idiom		
不足為奇	a	idiom		
不足為怪	a	idiom		
不足為憑	a	idiom		
不足為訓	a	idiom		
也就是説	r,x			
亂序	a,n			
二話不説	r,v	idiom		
五日京兆	n	idiom		
亭台樓閣	n	idiom		
人口販賣	n			
人多勢眾	a	idiom		
人工免疫	n			
人文學科	n			
人滿為患	a	idiom		
人為	a,n			
人琴俱亡	a,v	idiom		
人贓並獲	a,v	idiom		
令人生畏	a			
以人為本	a,n			
企足而待	v	idiom		
低筋	a,n			
使用説明	n			
個人衞生	n			
倒果為因	v	idiom		
借酒消愁	v	idiom		
值曬票價	a,v			
假冒偽劣	a,n			
假手於人	v	idiom		
做唔到	v			
偵探小説	n			
偽	a			
債台高築	a,v	idiom		
元氣大傷	a,v	idiom		
光説不做	a,v	idiom		
入土為安	v	idiom		
入貨	v			
全勞動力	n			
全盤西化	n,v			
公共衞生	n			
公平待遇	n			
公眾	n			
公眾假期	n			
公眾場所	n			
兼容並包	a,v	idiom		
冇人	n,x			
冇種	a,n			
再説	r,v			
冰釋前嫌	v	idiom		
凱旋而歸	v	idiom		
出台	v			
分為	v			
初級能源	n			
利比裏亞	n			
刻意為之	v	idiom		
前僕後繼	v	idiom		
劈風斬浪	v	idiom		
力排眾議	v	idiom		
勞累過度	a			
勢利小人	n			
包產到户	n,v			
化為	v			
化為烏有	v	idiom		
化險為夷	v	idiom		
化雨春風	n	idiom		
千家萬户	n,r	idiom		
半壁河山	n	idiom		
卧薪嚐膽	v	idiom		
即時傳譯	n			
即景生情	v	idiom		
厝火積薪	n,v	idiom		
反客為主	v	idiom		
反敗為勝	v	idiom		
口沒遮攔	a,v	idiom		
古跡	n			
吃啞巴虧	v	idiom		
吃後悔藥	v	idiom		
吃苦	v			
吃裏爬外	v	idiom		
