literal	pos	family	voice	note	verdict_note
如此	r,x				
日日	r				
細聲	a,r				
擡頭	v				
握	v				
救命	v,x				
煩	a,v				
示意	n,v				
剛才	r				
海	n				
老實	a				
肯	v				
這樣	r,x				
銀茹	n				
隨時	r				
魔王	n				
怎麼樣	r,x				
心口	n				
我估	u				主+動截斷
舖	n,v				
噢	x				
聽講	v				
阿銘	n				
上前	v				
劉	n				
好人	a,n				
好心	a,n				
漸漸	r				
開門	v				
因	n,x				
想點	v,x				
散	a,v				
金零	n				
我就	u				主+副／連截斷
耳	n				
新的	a,x				
中文	n				
冷氣	n				
只見	v,x				
當年	n,r				
腳步	n				
行埋	v				
埋嚟	v				
生果	n				
而已	x				
好在	r,x				
形容	n,v				
美	a				
讓人	v				
公	a,n				
幾耐	r,x				
麥當奴	n				
兒	n				
同個	u				同+量截斷
每個	x				
毛	n				
陌生	a				
是啊	x				
只會	r,v				
看了	v				
一面	n,r				
戀	n,v				
死人	n,x				
衰人	n				
量	n,v				
關於	x				
平	a,n				
提子	n				
知點	v,x				
傻仔	n				
唔肯	v				
唔舒服	a				
好靚	a				
條友	n				
來了	v				
入到	v				
微	a				
銀包	n				
凡	a,x				
招	n,v				
科技	n				
認	v				
貴	a				
身材	n				
嗄	x				
好痛	a				
正式	a,r				
港人	n				
牙膏	n				
肥龍	n				
平臺	n				
不會	v,x				
小依	n				
兩條	x				
友	n				
我忍	u				主+動截斷
森宿	n				
釣	v				
帖子	n				
白癡	a,n				
上身	n,v				
樂	a,n,v				
綠	a,n				
邊有	v,x				
那就	r,x				
我想	u				主+動截斷
橙汁	n				
碌	a,v				
腿	n				
順便	r				
回頭	r,v				
形	n				
捐	v				
擘	v				
講呢	v,x				
變到	v				
她的	u				代+的截斷
不可	v,x				
之際	n,x				
好快	a,r				
好笑	a				
婆	n				
拖鞋	n				
班主任	n				
而是	x				
一見	v				
例如	x				
兩日	n,r				
動	n,v				
右面	n				
將我	u				介／副+代截斷
界	n,v				
畢竟	r				
葡萄	n				
雪櫃	n				
神祕	a				
就快	r				
座	n,x				
瘦	a				
第二日	n,r				
養	v				
擡	v				
多嘢	a,n				
擋	v				
擰轉	v				
總	a,r,x				
你是	u				主+動截斷
何況	x				
狂	a,r				
一晚	n,r				
將會	v,x				
氹	v				
