literal	pos	family	voice	note	verdict_note
上週	n,r			
告訴記者	v			
一巴	n,x			
下方	n			
不少	a,r			
交畀	v			
低能	a,n			
保	v			
信希	n			
冷衫	n			
出入	n,v			
勞	n,v			
厘米	n			
告	v			
咚	x			
圈子	n			
太空船	n			
好耐	a,r			
學業	n			
帶點	r,v			
廁紙	n			
得切	a			
我腦	u				主+名截斷
我頭	u				主+名截斷
捉實	v			
枕	n,v			
某個	x			
條仆	n			
沒了	v,x			
男神	n			
留返	v			
異樣	a,n			
發達	a,v			
直程	r			
直落	r,v			
祝	v			
虧佬	n			
西施	n			
趙	n			
近排	n,r			
邊呀	x			
醫神	n			
阿源	n			
除此	r,x			
除衫	v			
難度	n			
面孔	n			
頭望	u				名+動截斷
麻甩佬	n			
點睇	v,x			
各級	a,x			
哥們	n			
我又	u				主+又截斷
也不知道	v			
黨員	n			
但在	u				但+在截斷
不上	u				不+上補語截斷
找你	u				動+人稱截斷
月底	n			
得了	v,x			
我很	u				主+很截斷
名爲	v			
彙報	n,v			
一擊	n			
三文治	n			
下便	n			
下場	n,v			
下行	n,v			
不知幾	u				不知幾多截斷
及時	a,r			
周白波	n			
嘢好	u				嘢+好截斷
四腳	a,n			
多多	a,r			
好熟	a			
子宮	n			
對門	n			
左行	n,v			
幾分	n,x			
怪獸	n			
恩	x			
打圈	v			
教書	v			
條八婆	n			
正中	a,n,v			
沉日	u				罕／不明
火火	a,n			
無端端	r			
玩下	v			
甘心	a,v			
生仔	v			
男友	n			
直上	r,v			
老爺	n			
落街	v			
蛋蛋	n			
負面	a,n			
踏出	v			
過份	a,r			
過呢	u				過+呢截斷
酒樓	n			
醜	a			
阿風	n			
阿麗	n			
青年	n			
面上	n,r			
是很	u				是+很截斷
不高	a			
站點	n			
分公司	n			
不做	v			
不僅僅	r			
高於	v			
審計	n,v			
話費	n			
稍等	v			
我和	u				主+和截斷
不信	v			
我沒	u				主+沒截斷
濟南	n			
跟他	u				介+他截斷
電視臺	n			
是有	u				是+有截斷
臨牀	a,n			
新型	a,n			
資料夾	n			
國慶	n			
我把	u				主+把截斷
再也	r			
去吧	v,x			
諾基亞	n			
網通	n			
一幅	x			
一旦	r,x			
下一個	n,x			
不得了	a,r			
九龍	n			
二話	n			
人嚟	u				主+嚟截斷
企返	v			
住家	a,n			
十個	x			
各種	a,x			
君	n,x			
咔嚓	x			
咕	x			
咗身	u				咗+身碎片
嚇死	v			
回歸	n,v			
好慢	a			
小矮人	n			
從前	n,r			
心事	n			
急救	n,v			
性感	a			
慌張	a			
我響	u				主+響截斷
所料	n			
扐	v			
打畀	v			
景	n			
未知	a,v			
桃花	n			
汪震	n			
沙沙	a,r,x			
洗手	v			
玩得	v			
環保	a,n			
眼定定	a,r			
私	a,n			
膚淺	a			
與其	x			
蘿	u				蘿蔔截斷殘字
蟲蟲	n			
規矩	a,n			
講架	v,x			
輕聲	n,r			
迎面	r,v			
那天	n,r			
鍼對	v			
防	v			
難忘	a			
更好的	a			
招商	n,v			
攝像頭	n			
三是	r,x			
擡起	v			
幹活	v			
有一天	n,r			
即便	x			
玩玩	v			
聽衆	n			
傳輸	n,v			
二樓	n			
人權	n			
你仲有	u				人稱+仲有截斷
傻佬	n			
儘管	r,x			
兼	v,x			
冇幾耐	r			
再同	u				再+同截斷
厚	a			
反擊	n,v			
叮叮	n,x			
台灣	n			
呷醋	v			
咗句	u				咗+句碎片
地班	u				地+班碎片
大嬸	n			
奇妙	a			
急速	a,r			
性慾	n			
我出	u				主+出截斷
搏	v			
斯	n			
曖昧	a			
會知	v			
梯	n			
正題	n			
死心	n,v			
流眼淚	v			
營	n,v			
爽快	a			
猶疑	a,v			
玩到	v			
現	a,n,v			
用嚟	v			
用心	a,v			
發洩	v			
眼珠	n			
窄	a			
絡	n,v			
緣	n			
興	a,n,v			
藍嘉浩	n			
行屍	n			
袖	n			
貨櫃	n			
轉向	n,v			
追到	v			
邊位	x			
金色	a,n			
阿仔	n			
陰莖	n			
雍慧	n			
雪兒	n			
頌晴	n			
頭皮	n			
鬼怪	n			
黑白	a,n			
他就	u				人稱+就截斷
很不錯	a			
就把	u				就+把截斷
把他	u				把+他截斷
鄭州	n			
就去	u				就+去截斷
看上去	r,v			
我對	u				主+對截斷
虛僞	a			
般的	x			
哎呀	x			
她說	u				人稱+說截斷
前幾天	n,r			
湖北	n			
山西	n			
近年來	r			
新建	a,v			
一分	n,x			
不堪	a,v			
不知所措	a			
不解	a,v			
中途	n,r			
事關	v			
催	v			
先同	u				先+同截斷
全名	n			
再行	r,v			
冬姐	n			
單手	n,r			
嗌交	v			
嚴正	a			
四肢	n			
大大力	a,r			
好眼	a			
姬樂	n			
客服	n			
小息	n			
小隊	n			
就過	u				就+過截斷
局	n			
布布	n			
心頭	n			
挺	a,r,v			
救返	v			
敵	n,v			
明星	n			
晚飯	n			
條腰	n			
沙律	n			
流氓	n			
火球	n			
物理	n			
痛到	a,v			
瘀	a,n,v			
社	n			
神奇	a			
私家車	n			
稱	n,v			
糟	a			
紋身	n,v			
肉酸	a			
親生	a			
講多次	v			
講就	u				講+就截斷
貧大	u				罕／不明
轉校	v			
離家出走	v			
食緊	v			
體溫	n			
編程	n,v			
脫	v			
可以通過	v			
才知道	v			
找我	u				動+人稱截斷
頗爲	r			
出於	v			
去做	v			
眼裏	n			
運營商	n			
總理	n			
華爲	n			
寬帶	n			
很重要	a			
長時間	n,r			
信息化	n,v			
該公司	n			
北大	n			
這是一個	u				是+一個截斷
一上	u				一+上截斷
一家	n,x			
一秒	n,r			
一返	r,v			
人人	n,x			
依條	x			
健	a			
內衣	n			
兩粒	x			
兩聲	n,x			
凌	n,v			
反轉	n,v			
咗望	u				咗+望碎片
坐監	v			
堡	n			
好怕	a			
姣	a			
子言	n			
宗教	n			
小人	n			
小平平	a,n			
屏幕	n			
思見	u				罕／不明
想同	u				想+同截斷
慳	a,v			
慶幸	a,v			
成點	r,x			
我架	u				主+架語氣截斷
有次	r			
望望	v			
正所謂	r,x			
比利	n			
無見	v			
牠	x			
盆盆	n			
盈	a,n			
着衫	v			
睇穿	v			
空洞	a,n			
緣份	n			
脆弱	a			
與此同時	r			
行出	v			
訓到	v			
試問	v			
都講	u				都+講截斷
鑿	n,v			
防禦	n,v			
鞋鞋	n			
順帶	r,v			
頌	n,v			
頸鍊	n			
魚蛋	n			
鹼液	n			
鼓	n,v			
擡高	v			
曹	n			
用戶名	n			
便是	v,x			
而不	u				而+不截斷
春節	n			
累計	n,v			
是以	x			
調試	n,v			
國內外	n			
想去	v			
江西	n			
這個人	n,x			
個股	n			
房產	n			
福州	n			
粘貼	v			
在哪	r,x			
解決方案	n			
考研	n,v			
江南	n			
要在	u				要+在截斷
一刀	n,x			
一棵	x			
一腳踢	v			
也許	r			
人命	n			
你明	u				人稱+明截斷
做個	v			
傻豬	n			
其後	n,r			
冇心	a,v			
劉啓	n			
口味	n			
咗車	u				咗+車碎片
地入	u				地+入碎片
士多	n			
好凍	a			
好勁	a			
嫩	a			
將手	u				將+手截斷
小夫	n			
小貞笑	u				專名+笑截斷
少人	a,n			
就行	a,v			
就點	r,x			
成班人	n			
拜年	v			
探員	n			
未見	v			
滾	v			
無人會	u				無人+會截斷
狙擊	n,v			
相差	n,v			
眼白白	a,r			
矣	x			
等如	v,x			
總共	r			
自此	r			
荃灣	n			
蔔	u				蘿蔔截斷殘字
薯	n			
蘭卡	n			
衝去	v			
製	v			
訂	v			
貢	n,v			
走出	v			
返香港	v			
通通	r			
部隊	n			
關你	u				關+你截斷
阿浩	n			
阿軒	n			
雞翼	n			
面目	n			
黑影	n			
上有	u				上+有截斷
稿件	n			
測量	n,v			
陝西	n			
斑竹	n			
但他	u				但+他截斷
而在	u				而+在截斷
轉爲	v			
會被	u				會+被截斷
得很	r			
得以	v,x			
教程	n			
大的	a,x			
要想	v			
很小	a			
視爲	v			
語言文明	n			
就沒	u				就+沒截斷
我省	n			
機子	n			
也將	r			
他也	u				人稱+也截斷
拓展	n,v			
一大	a,x			
一本	x			
一群	x			
下先	r,x			
不甘	a,v			
乸	n,x			
二人	n,x			
