literal	pos	family	voice	note	trust	stratum	verdict	fix_pos	fix_family	fix_voice	audit_note
一架	x			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				數+量 封閉類 x
一次過	r			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				粵語副「一口氣／一次過」
一臺	x			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				數+量 封閉類 x
一見	v			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				一見就… 自由動；複合另列
不會	v,x			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				情態否定 v＋虛 x
不解	a,v			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				stative 形＋動 true dual
並無	v,x			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				文言存現否定
之際	n,x			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				時際名／虛 multi
亂	a			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				stative 形主標；亂講 r 次要
仍	r			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				時間／延續副
佈	n,v			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	BAD	v			主用動（佈置／分佈）；n 假陽會毒同名詞閘（名物多寫「布」）
依加	n,r			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	BAD	r			依家＝而家 時間副；n 假陽會毒同名詞閘
做嘢	v			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				粵語動
內	n,x			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				方位名／虛
冷衫	n			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				粵語名物
十個	x			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				數+量 封閉類 x
博客	n			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				名物
卻是	r,x			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				轉折副／虛
吹水	v			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				粵語動
呯	x			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				擬聲 → x
嚇死	v			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				動＋程度結果
囡	n			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				名物
國內外	n			u-top3000;agent-label;u-top3000-agent;review;essay-top-u	high	u-top3000|gate	OK				名物
