char	iwp	n_word	n_char
1	1.000000	4004	4004
5	1.000000	444	444
○	1.000000	3025	3025
、	1.000000	357371	357371
㐁	1.000000	1	1
㐅	1.000000	1	1
㕑	1.000000	90	90
㩵	1.000000	268	268
䲁	1.000000	342	342
丂	1.000000	450	450
丄	1.000000	679	679
丅	1.000000	671	671
丆	1.000000	610	610
丌	1.000000	531	531
与	1.000000	100	100
丏	1.000000	332	332
丒	1.000000	399	399
丗	1.000000	710	710
业	1.000000	1	1
丠	1.000000	495	495
両	1.000000	88	88
丣	1.000000	305	305
丨	1.000000	829	829
丩	1.000000	377	377
丬	1.000000	564	564
丮	1.000000	455	455
丯	1.000000	373	373
丱	1.000000	370	370
丳	1.000000	274	274
丵	1.000000	228	228
丶	1.000000	900	900
丷	1.000000	595	595
丼	1.000000	177	177
丽	1.000000	10	10
丿	1.000000	735	735
乀	1.000000	497	497
乁	1.000000	464	464
乂	1.000000	611	611
乄	1.000000	629	629
乆	1.000000	563	563
乇	1.000000	688	688
么	1.000000	177	177
义	1.000000	1	1
乊	1.000000	394	394
乑	1.000000	307	307
乕	1.000000	412	412
乗	1.000000	514	514
乚	1.000000	386	386
乛	1.000000	645	645
习	1.000000	1	1
乡	1.000000	1	1
乢	1.000000	335	335
乣	1.000000	377	377
乤	1.000000	245	245
乥	1.000000	404	404
乧	1.000000	494	494
乨	1.000000	328	328
乪	1.000000	243	243
乫	1.000000	307	307
乭	1.000000	301	301
乴	1.000000	262	262
乵	1.000000	261	261
乶	1.000000	249	249
乷	1.000000	397	397
乸	1.000000	3470	3470
乹	1.000000	266	266
乺	1.000000	252	252
乼	1.000000	217	217
乿	1.000000	460	460
亀	1.000000	519	519
亁	1.000000	393	393
亃	1.000000	311	311
亄	1.000000	368	368
亅	1.000000	177	177
亇	1.000000	630	630
亊	1.000000	609	609
亏	1.000000	465	465
亐	1.000000	465	465
亓	1.000000	719	719
亖	1.000000	479	479
亗	1.000000	412	412
亘	1.000000	150	150
亜	1.000000	597	597
亝	1.000000	268	268
亠	1.000000	493	493
亣	1.000000	469	469
亪	1.000000	320	320
亯	1.000000	322	322
亰	1.000000	454	454
亱	1.000000	518	518
亲	1.000000	70	70
亴	1.000000	382	382
亶	1.000000	504	504
亷	1.000000	318	318
亻	1.000000	656	656
亼	1.000000	758	758
亽	1.000000	654	654
亾	1.000000	641	641
仂	1.000000	725	725
仅	1.000000	10	10
仈	1.000000	477	477
仉	1.000000	479	479
仌	1.000000	537	537
仏	1.000000	448	448
仐	1.000000	409	409
仒	1.000000	491	491
仚	1.000000	369	369
仛	1.000000	416	416
仜	1.000000	252	252
仠	1.000000	402	402
仢	1.000000	261	261
仦	1.000000	515	515
仧	1.000000	470	470
仨	1.000000	88	88
仩	1.000000	631	631
仭	1.000000	394	394
仮	1.000000	528	528
仯	1.000000	508	508
仱	1.000000	390	390
仴	1.000000	545	545
仸	1.000000	406	406
仹	1.000000	330	330
仺	1.000000	453	453
仼	1.000000	472	472
仾	1.000000	295	295
伀	1.000000	421	421
伂	1.000000	246	246
伃	1.000000	386	386
伄	1.000000	344	344
伅	1.000000	475	475
伆	1.000000	403	403
伇	1.000000	252	252
伈	1.000000	634	634
伋	1.000000	452	452
伌	1.000000	280	280
伒	1.000000	384	384
伓	1.000000	387	387
伔	1.000000	345	345
伖	1.000000	512	512
众	1.000000	100	100
优	1.000000	90	90
伜	1.000000	283	283
伝	1.000000	595	595
伨	1.000000	324	324
伬	1.000000	354	354
伭	1.000000	326	326
伮	1.000000	396	396
伱	1.000000	807	807
伲	1.000000	565	565
伳	1.000000	350	350
伵	1.000000	231	231
伷	1.000000	370	370
伹	1.000000	337	337
伻	1.000000	269	269
伿	1.000000	442	442
佀	1.000000	421	421
佁	1.000000	348	348
佂	1.000000	371	371
佄	1.000000	513	513
佅	1.000000	255	255
佊	1.000000	368	368
佋	1.000000	305	305
佌	1.000000	479	479
佒	1.000000	277	277
体	1.000000	90	90
佖	1.000000	368	368
佡	1.000000	466	466
佪	1.000000	7	7
佫	1.000000	400	400
佭	1.000000	280	280
佮	1.000000	389	389
佱	1.000000	352	352
佲	1.000000	487	487
佴	1.000000	479	479
佷	1.000000	701	701
佸	1.000000	580	580
佹	1.000000	538	538
佽	1.000000	603	603
侀	1.000000	488	488
侁	1.000000	386	386
侂	1.000000	386	386
侅	1.000000	392	392
侇	1.000000	300	300
侊	1.000000	435	435
侌	1.000000	341	341
侎	1.000000	456	456
侐	1.000000	328	328
侑	1.000000	758	758
侒	1.000000	486	486
侓	1.000000	437	437
侔	1.000000	546	546
侕	1.000000	525	525
侘	1.000000	469	469
侙	1.000000	230	230
侚	1.000000	5	5
侜	1.000000	311	311
侞	1.000000	555	555
侟	1.000000	400	400
価	1.000000	546	546
侢	1.000000	563	563
侫	1.000000	345	345
侭	1.000000	381	381
侰	1.000000	224	224
侱	1.000000	265	265
侲	1.000000	328	328
侳	1.000000	453	453
侴	1.000000	355	355
侸	1.000000	412	412
侹	1.000000	385	385
侺	1.000000	270	270
侻	1.000000	314	314
侼	1.000000	278	278
侽	1.000000	601	601
侾	1.000000	294	294
俀	1.000000	293	293
俆	1.000000	418	418
俇	1.000000	320	320
俈	1.000000	313	313
俋	1.000000	319	319
俌	1.000000	306	306
俍	1.000000	416	416
俒	1.000000	252	252
俓	1.000000	516	516
俔	1.000000	316	316
俕	1.000000	237	237
俖	1.000000	400	400
俙	1.000000	456	456
俛	1.000000	397	397
俢	1.000000	434	434
俤	1.000000	382	382
俥	1.000000	425	425
俰	1.000000	317	317
俲	1.000000	220	220
俴	1.000000	361	361
俵	1.000000	33	33
俶	1.000000	566	566
俷	1.000000	552	552
俹	1.000000	417	417
俻	1.000000	402	402
俼	1.000000	234	234
俽	1.000000	504	504
俿	1.000000	360	360
倁	1.000000	616	616
倂	1.000000	423	423
倃	1.000000	291	291
倄	1.000000	286	286
倅	1.000000	374	374
倇	1.000000	217	217
倈	1.000000	423	423
倊	1.000000	256	256
倎	1.000000	305	305
倐	1.000000	352	352
倓	1.000000	459	459
倕	1.000000	366	366
倗	1.000000	531	531
倛	1.000000	370	370
倝	1.000000	359	359
倞	1.000000	440	440
倠	1.000000	317	317
倢	1.000000	383	383
倣	1.000000	88	88
値	1.000000	567	567
倧	1.000000	384	384
倬	1.000000	565	565
倯	1.000000	369	369
倰	1.000000	343	343
倱	1.000000	306	306
倲	1.000000	480	480
倳	1.000000	568	568
倵	1.000000	385	385
倶	1.000000	493	493
倷	1.000000	429	429
倸	1.000000	387	387
倹	1.000000	296	296
偀	1.000000	337	337
偂	1.000000	555	555
偄	1.000000	399	399
偅	1.000000	520	520
偆	1.000000	413	413
偊	1.000000	439	439
偋	1.000000	247	247
偍	1.000000	430	430
偐	1.000000	373	373
偑	1.000000	466	466
偒	1.000000	342	342
偓	1.000000	515	515
偔	1.000000	347	347
偖	1.000000	340	340
偗	1.000000	378	378
偘	1.000000	300	300
偙	1.000000	466	466
偛	1.000000	449	449
偝	1.000000	498	498
偞	1.000000	381	381
偠	1.000000	630	630
偡	1.000000	373	373
偣	1.000000	469	469
偤	1.000000	280	280
偦	1.000000	348	348
偧	1.000000	286	286
偨	1.000000	382	382
偩	1.000000	381	381
偪	1.000000	29	29
偫	1.000000	320	320
偬	1.000000	100	100
偭	1.000000	469	469
偮	1.000000	329	329
偯	1.000000	284	284
偰	1.000000	415	415
偱	1.000000	420	420
偳	1.000000	309	309
偸	1.000000	572	572
偹	1.000000	346	346
偺	1.000000	10	10
偼	1.000000	365	365
傁	1.000000	242	242
傂	1.000000	285	285
傃	1.000000	380	380
傄	1.000000	217	217
傆	1.000000	489	489
傇	1.000000	268	268
傉	1.000000	395	395
傊	1.000000	249	249
傋	1.000000	455	455
