rank	literal	freq
1	我	12831921
2	係	8784348
3	你	7032017
4	唔	6114739
5	佢	6038655
6	好	4731615
7	呢	4602584
8	嘅	4333042
9	都	3753292
10	個	3599078
11	就	3287801
12	有	3161885
13	啦	2911475
14	到	2317932
15	噉	2225119
16	咁	2225030
17	啲	2103563
18	㗎	2055776
19	呀	2028280
20	既	1998113
21	咗	1995799
22	咩	1816402
23	冇	1759806
24	去	1759272
25	左	1435982
26	睇	1429397
27	得	1405905
28	地	1388018
29	喺	1372535
30	又	1370310
31	嘢	1332312
32	度	1329643
33	一	1321901
34	喇	1298497
35	嚟	1275895
36	住	1273581
37	要	1269577
38	同	1255250
39	嗰	1232825
40	喎	1169555
41	會	1159055
42	的	1107709
43	人	1102281
44	話	1068911
45	做	1068377
46	哋	1064106
47	啊	970758
48	可以	885687
49	先	879280
50	乜	875008
51	食	873763
52	自己	868601
53	講	853563
54	隻	843685
55	知	828646
56	想	822239
57	唔係	820726
58	畀	820637
59	真係	791094
60	咪	789225
61	囉	769114
62	因爲	713185
63	之後	702285
64	一個	700861
65	多	681729
66	比	676300
67	上	650049
68	無	647380
69	已經	637057
70	見	620417
71	唔好	617747
72	好似	600929
73	再	590962
74	但係	577436
75	但	556791
76	走	552876
77	聽	549583
78	不過	543799
79	下	543532
80	叫	531786
81	搵	525289
82	仲	517370
83	玩	517370
84	對	509806
85	而	490407
86	哦	487114
87	點解	486580
88	了	485512
89	所以	481063
90	喂	480529
91	幫	479817
92	姐姐	475813
93	諗	473588
94	入	470296
95	打	468961
96	完	467092
97	邊個	454723
98	未	449295
99	埋	444845
100	著	443600
101	大	431319
102	其實	428828
103	倒	422154
104	過	411297
105	覺得	398483
106	嘩	395636
107	出	390474
108	用	389762
109	快	381309
110	坐	380597
111	只	380151
112	識	379707
113	落	376414
114	而家	374902
115	然後	374724
116	如果	370986
117	即係	368673
118	手	360486
119	返	359685
120	死	359240
121	、	357371
122	向	353723
123	洗	346693
124	開	345091
125	應該	342510
126	屋企	342332
127	鍾意	337260
128	事	336281
129	時候	331743
130	兩	322755
131	嘛	322132
132	開始	321687
133	望	314746
134	衫	314746
135	唔到	313412
136	個人	312967
137	拎	308428
138	飲	306649
139	是	303356
140	跟住	302466
141	知道	299085
142	點	298017
143	可能	297483
144	一齊	289563
145	緊	286271
146	瞓	284313
147	邊度	282355
148	亦	281643
149	邊	281109
150	等	278974
151	笑	278084
152	買	277194
153	野	272122
154	搞	269007
155	被	259308
156	吓	258596
157	擺	257884
158	幾	251922
159	係咪	250409
160	呵呵	250099
161	同埋	244091
162	車	243201
163	仔	242489
164	在	239196
165	驚	235815
166	最	231188
167	行	228162
168	入面	226738
169	一樣	225759
170	雖然	225759
171	原來	224247
172	阿	219263
173	起	219174
174	沖	218996
175	一定	217929
176	番	217662
177	女仔	216416
178	小	214725
179	次	214102
180	間	214102
181	黎	212500
182	就是	211922
183	今日	208763
184	中	208140
185	問	207695
186	整	206805
187	媽咪	204670
188	除	204314
189	帶	203335
190	時間	203335
191	屌	200576
192	感覺	200576
193	說	199774
194	回覆日期	199709
195	聲	198974
196	電話	198707
197	女	198618
198	不	194881
199	噹	194792
200	頭	194080
201	即刻	193902
202	即	191233
203	她	190610
204	三	190343
205	突然	188207
206	晒	187139
207	俊俊	186961
208	第一	186961
209	大家	186605
210	後	186427
211	不如	186071
212	爲	184291
213	時	183046
214	靚	181533
215	條	180821
216	跌	180732
217	撚	179308
218	把	179130
219	日	178418
220	由	177262
221	張	176995
222	繼續	176016
223	開心	175927
224	思	171655
225	最後	171566
226	水	170943
227	錢	170588
228	之前	168007
229	架	167384
230	爸爸	167295
231	都會	166939
232	一直	166672
233	一陣	162668
234	上面	162134
235	陣	162134
236	駛	161422
237	您	159286
238	朋友	159108
239	兩個	158930
240	成日	158574
241	慢慢	156795
242	家姐	154570
243	放	153235
244	其他	152701
245	哂	150654
246	點樣	150654
247	問題	150565
248	或者	149053
249	面	148341
250	覺	146739
251	終於	146294
252	幾多	146205
253	仲有	143269
254	嗯	143002
255	月	142379
256	寫	141845
257	將	140065
258	新	139709
259	令	139442
260	字	139175
261	來	138552
262	一路	138018
263	頭先	138018
264	少少	137929
265	爛	135972
266	啱	134904
267	愛	133213
268	落去	132679
269	抹	131166
270	咦	129743
271	喊	129476
272	依家	129120
273	樣	128764
274	完全	127963
275	涼	127340
276	二	127251
277	搭	127251
278	老	127162
279	若	126984
280	地方	125827
281	我同	122713
282	哥哥	122446
283	年	122446
284	腳	122357
285	咋	121912
286	定	121645
287	凝	121200
288	另	120933
289	做咩	120666
290	低	119776
291	以爲	119613
292	前	119420
293	竟然	119064
294	耐	118886
295	公仔	118619
296	芷純	118530
297	太	117818
298	痛	117818
299	過去	117818
300	就算	117729
301	捉	117195
302	高	117195
303	發現	117106
304	世界	116216
305	啤啤	116127
306	件	114793
307	出嚟	114615
308	學校	114526
309	男人	113814
310	當然	113369
311	嗎	113013
312	媽媽	112746
313	成	112301
314	心	112212
315	跟	112034
316	喀	111589
317	男仔	110788
318	鬼	110788
319	地下	110521
320	啫	110432
321	唔該	110343
322	下面	110254
323	我講	110165
324	中間	109809
325	學	109809
326	眼	109276
327	身	108920
328	出去	106339
329	出現	106161
330	算	106161
331	砌	105538
332	色	105271
333	吖	104826
334	可	104737
335	班	104737
336	發生	104470
337	拍	104025
338	丫	103224
339	街	102512
340	平時	101979
341	所有	101979
342	而且	101979
343	根本	100555
344	書	100021
345	也	99843
346	今次	99843
347	五	99665
348	以前	99042
349	希望	98953
350	長	98775
351	同學	98330
352	畫	97440
353	依	97351
354	收	97262
355	於是	95749
356	一次	95572
357	唔同	95127
358	清楚	95127
359	口	94860
360	身邊	94148
361	所	93881
362	狗	93792
363	更	93703
364	響	93258
365	都是	93195
366	多謝	92724
367	轉	92546
368	跑	92368
369	點知	92279
370	車車	92101
371	於	92012
372	小貞	91567
