literal	pattern	already_idiom
一丘之貉	之字格	0
一事無成	一X?Y	0
一來一往	ABAC	0
一來二去	一X?Y	0
一個二個	一X?Y	0
一分一秒	ABAC	0
一唱一和	ABAC	0
一問一答	ABAC	0
一國之主	之字格	0
一國之君	之字格	0
一夕之間	之字格	0
一夜之間	之字格	0
一夫一妻	ABAC	0
一孔之見	之字格	0
一字之差	之字格	0
一己之私	之字格	0
一己之見	之字格	0
一席之地	之字格	0
一年一度	ABAC	0
一年四季	一X?Y	0
一往無前	一X?Y	0
一得之愚	之字格	0
一心一德	ABAC	0
一心一意	ABAC	0
一心二用	一X?Y	0
一念之間	之字格	0
一怒之下	之字格	0
一房一廳	ABAC	0
一手一腳	ABAC	0
一手一足	ABAC	0
一時一刻	ABAC	0
一時三刻	一X?Y	0
一時之間	之字格	0
一望無垠	一X?Y	0
一望無邊	一X?Y	0
一望無際	一X?Y	0
一模一樣	ABAC	0
一步之遙	之字格	0
一死一傷	ABAC	0
一氣之下	之字格	0
一清二楚	一X?Y	0
一清二白	一X?Y	0
一生一世	ABAC	0
一瘸一拐	ABAC	0
一石二鳥	一X?Y	1
一箭之仇	之字格	0
一線之隔	之字格	0
一臂之力	之字格	0
一舉一動	ABAC	0
一覽無餘	一X?Y	0
一言一行	ABAC	0
一長一短	ABAC	0
一面之交	之字格	0
一面之緣	之字格	0
一面之詞	之字格	0
一顰一笑	ABAC	0
一驚一乍	ABAC	0
一點一滴	ABAC	0
七七事變	AABC	0
七分之一	之字格	0
七年之癢	之字格	0
七擒七縱	ABAC	0
上上下下	AABB	0
上上之策	AABC	0
上綱上線	ABAC	0
不三不四	ABAC	0
不乾不淨	ABAC	0
不依不饒	ABAC	0
不冷不熱	ABAC	0
不卑不亢	ABAC	0
不吐不快	ABAC	0
不吵不鬧	ABAC	0
不大不小	ABAC	0
不實之詞	之字格	0
不急不徐	ABAC	0
不情之請	之字格	0
不惑之年	之字格	0
不慌不忙	ABAC	0
不正之風	之字格	0
不毛之地	之字格	0
不治之症	之字格	0
不理不睬	ABAC	0
不疾不徐	ABAC	0
不眠不休	ABAC	0
不知不覺	ABAC	0
不破不立	ABAC	0
不祧之祖	之字格	0
不稂不莠	ABAC	0
不管不顧	ABAC	0
不聞不問	ABAC	0
不見不散	ABAC	0
不逞之徒	之字格	0
不醉不歸	ABAC	0
不離不棄	ABAC	0
世世代代	AABB	0
中庸之道	之字格	0
中規中矩	ABAC	0
乍看之下	之字格	0
乒乒乓乓	AABB	0
乘人之危	之字格	0
乜乜物物	AABB	0
九九歸一	AABC	0
九九重陽	AABC	0
九五之尊	之字格	0
九泉之下	之字格	0
乾乾淨淨	AABB	0
予取予攜	ABAC	0
予取予求	ABAC	0
井井有條	AABC	0
亞美尼亞	AxxA	0
亡命之徒	之字格	0
亦步亦趨	ABAC	0
亦莊亦諧	ABAC	0
亭亭玉立	AABC	0
人中之龍	之字格	0
人五人六	ABAC	0
人來人往	ABAC	0
人無完人	AxxA	0
仁者見仁	AxxA	0
今時今日	ABAC	0
今生今世	ABAC	0
付之一炬	之字格	0
付之東流	之字格	0
代代相傳	AABC	0
低俗之風	之字格	0
何年何月	ABAC	0
何德何能	ABAC	0
何時何地	ABAC	0
侃侃而談	AABC	0
來之不易	之字格	0
來來往往	AABB	0
來回來去	ABAC	0
依依不捨	AABC	0
修修補補	AABB	0
俯仰之間	之字格	0
倒買倒賣	ABAC	0
倔頭倔腦	ABAC	0
做牛做馬	ABAC	0
健健康康	AABB	0
偶然之間	之字格	0
偷偷摸摸	AABB	0
傳家之寶	之字格	0
傻裏傻氣	ABAC	0
傻頭傻腦	ABAC	0
傾國傾城	ABAC	0
傾城傾國	ABAC	0
像模像樣	ABAC	0
元元本本	AABB	0
先到先得	ABAC	0
先見之明	之字格	0
兢兢業業	AABB	0
全始全終	ABAC	0
全黨全軍	ABAC	0
公之於世	之字格	0
公事公辦	ABAC	0
冇人冇物	ABAC	0
冒冒失失	AABB	0
冥冥之中	AABC	0
利國利民	ABAC	0
前前後後	AABB	0
勉勉強強	AABB	0
動刀動槍	ABAC	0
動手動腳	ABAC	0
匆匆離去	AABC	0
化學變化	AxxA	0
匹夫之勇	之字格	0
區區小事	AABC	0
十之八九	之字格	0
半信半疑	ABAC	0
半工半讀	ABAC	0
半推半就	ABAC	0
半明半暗	ABAC	0
即興之作	之字格	0
卿卿我我	AABB	0
原原本本	AABB	0
原汁原味	ABAC	0
反之亦然	之字格	0
取之不盡	之字格	0
受之有愧	之字格	0
口口聲聲	AABB	0
口腹之慾	之字格	0
口舌之爭	之字格	0
古色古香	ABAC	0
古里古怪	ABAC	0
召之即來	之字格	0
叮叮噹噹	AABB	0
可口可樂	ABAC	0
可喜可賀	ABAC	0
可圈可點	ABAC	0
可多可少	ABAC	0
可大可小	ABAC	0
可有可無	ABAC	0
可歌可泣	ABAC	0
可造之材	之字格	0
吃吃喝喝	AABB	0
各就各位	ABAC	0
各式各樣	ABAC	0
各種各樣	ABAC	0
各色各樣	ABAC	0
各行各業	ABAC	0
吉爾吉斯	ABAC	0
同名同姓	ABAC	0
同工同酬	ABAC	0
同班同學	ABAC	0
君子之交	之字格	0
吞吞吐吐	AABB	0
含含糊糊	AABB	0
吱吱喳喳	AABB	0
吵吵鬧鬧	AABB	0
吹灰之力	之字格	0
呵呵大笑	AABC	0
呼呼大睡	AABC	0
呼哧呼哧	ABAB	0
咄咄怪事	AABC	0
哈哈哈哈	AABB	0
哈哈大笑	AABC	0
哩哩羅羅	AABB	0
哭哭啼啼	AABB	0
哼哼唧唧	AABB	0
唔多唔少	ABAC	0
唔經唔覺	ABAC	0
唧唧喳喳	AABB	0
唸唸有詞	AABC	0
問寒問暖	ABAC	0
問長問短	ABAC	0
啦啦隊員	AABC	0
啦啦隊長	AABC	0
喃喃自語	AABC	0
善始善終	ABAC	0
善有善報	ABAC	0
喪家之犬	之字格	0
嗟來之食	之字格	0
嗲聲嗲氣	ABAC	0
嘁嘁喳喳	AABB	0
嘖嘖稱奇	AABC	0
嘮嘮叨叨	AABB	0
嘰嘰咕咕	AABB	0
嘰嘰喳喳	AABB	0
嘰嘰嘎嘎	AABB	0
嘻嘻哈哈	AABB	0
嚴嚴實實	AABB	0
困獸之鬥	之字格	0
團團圍住	AABC	0
土生土長	ABAC	0
土裏土氣	ABAC	0
在天之靈	之字格	0
在此之後	之字格	0
地主之誼	之字格	0
坑坑窪窪	AABB	0
垂暮之年	之字格	0
堂堂正正	AABB	0
塔塔爾族	AABC	0
多事之秋	之字格	0
多勞多得	ABAC	0
多嘴多舌	ABAC	0
多多少少	AABB	0
多姿多彩	ABAC	0
多姿多采	ABAC	0
多子多福	ABAC	0
多彩多姿	ABAC	0
多才多藝	ABAC	0
多種多樣	ABAC	0
夜夜笙歌	AABC	0
大包大攬	ABAC	0
大吃大喝	ABAC	0
大吉大利	ABAC	0
大吹大擂	ABAC	0
大喊大叫	ABAC	0
大大咧咧	AABB	0
大大小小	AABB	0
大大話話	AABB	0
大富大貴	ABAC	0
大將之風	之字格	0
大徹大悟	ABAC	0
大手大腳	ABAC	0
大搖大擺	ABAC	0
大是大非	ABAC	0
大模大樣	ABAC	0
大紅大紫	ABAC	0
大紅大綠	ABAC	0
大起大落	ABAC	0
大雅之堂	之字格	0
大魚大肉	ABAC	0
大鳴大放	ABAC	0
天之驕子	之字格	0
天作之合	之字格	0
天兵天將	ABAC	0
天壤之別	之字格	0
天外有天	AxxA	0
天府之國	之字格	0
天淵之別	之字格	0
失之交臂	之字格	0
夾七夾八	ABAC	0
夾手夾腳	ABAC	0
奄奄一息	AABC	0
女流之輩	之字格	0
好事之徒	之字格	0
好好睇睇	AABB	0
好聲好氣	ABAC	0
好言好語	ABAC	0
如火如茶	ABAC	0
如火如荼	ABAC	0
如痴如醉	ABAC	0
如詩如畫	ABAC	0
如醉如痴	ABAC	0
姍姍來遲	AABC	0
委委屈屈	AABB	0
娓娓而談	AABC	0
娓娓道來	AABC	0
婆婆媽媽	AABB	0
婦人之仁	之字格	0
婷婷玉立	AABC	0
子子孫孫	AABB	0
孔孟之道	之字格	0
字字珠玉	AABC	0
字字珠璣	AABC	0
孤孤單單	AABB	0
孰真孰假	ABAC	0
學士學位	ABAC	0
學校同學	AxxA	0
安安心心	AABB	0
安安穩穩	AABB	0
完完全全	AABB	0
