literal	pos	family	voice	note
走	v			seed
留	v			seed
開心	a			seed
快樂	a			seed
已經	r			seed
尚未	r			seed
香港	n			seed
打	v		active	seed pair
被打	v		passive	seed pair
一石二鳥	v	idiom		seed
中毒	n,v			audit-high;review
自相矛盾	a,v	idiom		audit-high;review
擦掉	v			audit-high;review
一盤散沙	a	idiom		audit-high;review
口齒不清	a	idiom		audit-high;review
必須	r			audit-high;review
扯	v			audit-high;review
怠慢	a,v			audit-high;review
遲鈍	a			audit-high;review
全力以赴	v	idiom		audit-high;review
可能	a,r			audit-high;review
完全	a,r			audit-high;review
異步	a			audit-high;review
真實	a			audit-high;review
曲解	v			audit-high;review
低落	a			audit-high;review
掉頭	v			audit-high;review
完整無缺	a	idiom		audit-high;review
無關	a,v			audit-high;review
憂鬱	a			audit-high;review
報仇	v			audit-high;review
正當	a			audit-high;review
好像	r,v			audit-high;review
粗魯	a			audit-high;review
荒廢	a,v			audit-high;review
精神失常	a			audit-high;review
句	n,x			audit-high;review
半途而廢	v	idiom		audit-high;review
躡手躡腳	v	idiom		audit-high;review
營養元素	n			audit-med;review
色情電影	n			audit-med;review
數據網絡	n			audit-med;review
金口玉言	n	idiom		audit-med;review
清算業務	n			audit-med;review
造型藝術	n			audit-med;review
上皮細胞	n			audit-med;review
此時此刻	r			audit-med;review
真憑實據	n	idiom		audit-med;review
一個二個	x			audit-med;review
氣管痙攣	n			audit-med;review
奧林匹克	n			audit-med;review
能源短缺	n			audit-med;review
高脂血症	n			audit-med;review
幾何級數	n			audit-med;review
沉積作用	n			audit-med;review
荒山野嶺	n	idiom		audit-med;review
衣食父母	n	idiom		audit-med;review
吳越春秋	n			audit-med;review
接力賽跑	n			audit-med;review
戊戌變法	n			audit-med;review
免疫應答	n			audit-med;review
保護模式	n			audit-med;review
應變措施	n			audit-med;review
克羅地亞	n			audit-med;review
高能粒子	n			audit-med;review
尼加拉瓜	n			audit-med;review
生活水準	n			audit-med;review
脱繮之馬	n	idiom		audit-med;review
總政治部	n			audit-med;review
變分原理	n			audit-med;review
低等生物	n			audit-med;review
化學工業	n			audit-med;review
個人資料	n			audit-med;review
熱線電話	n			audit-med;review
血肉之軀	n	idiom		audit-med;review
地下錢莊	n			audit-med;review
背景音樂	n			audit-med;review
公共安全	n			audit-med;review
薩克森州	n			audit-med;review
加工成本	n			audit-med;review
退伍軍人	n			audit-med;review
心理醫生	n			audit-med;review
紡織工業	n			audit-med;review
保留劇目	n			audit-med;review
奇談怪論	n	idiom		audit-med;review
破竹之勢	n	idiom		audit-med;review
文殊菩薩	n			audit-med;review
保定地區	n			audit-med;review
鳥類學家	n			audit-med;review
法治建設	n			audit-med;review
供油系統	n			audit-med;review
飛來橫禍	n	idiom		audit-med;review
開學典禮	n			audit-med;review
專員公署	n			audit-med;review
一	x			numeral;heuristic
一一	x			numeral;heuristic
一五一十	x			numeral;heuristic
一千零一	x			numeral;heuristic
一定	a,r			heuristic
一齊	r			heuristic
丁	x			numeral;heuristic
七	x			numeral;heuristic
七七八八	x			numeral;heuristic
三	x			numeral;heuristic
不	r,x			heuristic
並	r,x			heuristic
之	x			heuristic
九	x			numeral;heuristic
也	r,x			heuristic
了	x			heuristic
二	x			numeral;heuristic
五	x			numeral;heuristic
什麼	x			heuristic
以	x			heuristic
但	x			heuristic
但是	x			heuristic
使	v,x			heuristic
係	v,x			heuristic
兩	x			numeral;heuristic
八	x			numeral;heuristic
六	x			numeral;heuristic
其	x			heuristic
再	r			heuristic
十	x			numeral;heuristic
千	x			numeral;heuristic
千千萬萬	x			numeral;heuristic
千萬	x			numeral;heuristic
即刻	r			heuristic
又	r,x			heuristic
及	x			heuristic
可以	v,x			heuristic
各	x			heuristic
同埋	x			heuristic
向	v,x			heuristic
唔	r,x			heuristic
唔係	v,x			heuristic
喺	x			heuristic
四	x			numeral;heuristic
因為	x			heuristic
在	v,x			heuristic
太	r			heuristic
如果	x			heuristic
對	a,v,x			heuristic
少	a,r			heuristic
就	r,v,x			heuristic
已	r,x			heuristic
幾	x			heuristic
很	r			heuristic
從	x			heuristic
怎樣	r,x			heuristic
怎麼	r,x			heuristic
應該	v,x			heuristic
或	x			heuristic
或者	x			heuristic
所以	x			heuristic
才	r,x			heuristic
把	v,x			heuristic
於	x			heuristic
更	r			heuristic
最	r			heuristic
有	v			heuristic
未	r,x			heuristic
未必	r			heuristic
每	x			heuristic
比較	r,v			heuristic
為	v,x			heuristic
由	x			heuristic
甲	x			numeral;heuristic
百	x			numeral;heuristic
的	x			heuristic
稍後	r			heuristic
給	v,x			heuristic
而	x			heuristic
而且	x			heuristic
能夠	v,x			heuristic
與	x			heuristic
萬	x			numeral;heuristic
萬一	x			numeral;heuristic
被	x			heuristic
該	v,x			heuristic
誰	x			heuristic
讓	v,x			heuristic
這	x			heuristic
還是	r,x			heuristic
那	x			heuristic
都	r,x			heuristic
雖然	x			heuristic
零	x			numeral;heuristic
需要	n,v			heuristic
非常	r			heuristic
一丘之貉	n			len4-noun-heuristic
一國之主	n			len4-noun-heuristic
一國之君	n			len4-noun-heuristic
一夕之間	n			len4-noun-heuristic
一夜之間	n			len4-noun-heuristic
一孔之見	n			len4-noun-heuristic
一字之差	n			len4-noun-heuristic
一己之私	n			len4-noun-heuristic
一己之見	n			len4-noun-heuristic
一席之地	n			len4-noun-heuristic
一得之愚	n			len4-noun-heuristic
一念之間	n			len4-noun-heuristic
一怒之下	n			len4-noun-heuristic
一時之間	n			len4-noun-heuristic
一步之遙	n			len4-noun-heuristic
一氣之下	n			len4-noun-heuristic
一箭之仇	n			len4-noun-heuristic
一線之隔	n			len4-noun-heuristic
一臂之力	n			len4-noun-heuristic
一面之交	n			len4-noun-heuristic
一面之緣	n			len4-noun-heuristic
一面之詞	n			len4-noun-heuristic
七分之一	n			len4-noun-heuristic
七年之癢	n			len4-noun-heuristic
三民主義	n			len4-noun-heuristic
三農問題	n			len4-noun-heuristic
上上之策	n			len4-noun-heuristic
上合組織	n			len4-noun-heuristic
上層社會	n			len4-noun-heuristic
上市公司	n			len4-noun-heuristic
上流人士	n			len4-noun-heuristic
上流社會	n			len4-noun-heuristic
上皮組織	n			len4-noun-heuristic
下層社會	n			len4-noun-heuristic
下流社會	n			len4-noun-heuristic
不實之詞	n			len4-noun-heuristic
不情之請	n			len4-noun-heuristic
不惑之年	n			len4-noun-heuristic
不正之風	n			len4-noun-heuristic
不毛之地	n			len4-noun-heuristic
不治之症	n			len4-noun-heuristic
不法分子	n			len4-noun-heuristic
不祧之祖	n			len4-noun-heuristic
不逞之徒	n			len4-noun-heuristic
世界主義	n			len4-noun-heuristic
世界市場	n			len4-noun-heuristic
世界文化	n			len4-noun-heuristic
世界經濟	n			len4-noun-heuristic
世貿中心	n			len4-noun-heuristic
中國文化	n			len4-noun-heuristic
中國社會	n			len4-noun-heuristic
中庸之道	n			len4-noun-heuristic
中立主義	n			len4-noun-heuristic
中華文化	n			len4-noun-heuristic
主權國家	n			len4-noun-heuristic
主治醫生	n			len4-noun-heuristic
主觀主義	n			len4-noun-heuristic
乍看之下	n			len4-noun-heuristic
乘人之危	n			len4-noun-heuristic
乙種粒子	n			len4-noun-heuristic
九五之尊	n			len4-noun-heuristic
九泉之下	n			len4-noun-heuristic
事務主義	n			len4-noun-heuristic
亡命之徒	n			len4-noun-heuristic
交換技術	n			len4-noun-heuristic
享樂主義	n			len4-noun-heuristic
人中之龍	n			len4-noun-heuristic
人事部門	n			len4-noun-heuristic
人文主義	n			len4-noun-heuristic
人道主義	n			len4-noun-heuristic
付之一炬	n			len4-noun-heuristic
付之東流	n			len4-noun-heuristic
以太網絡	n			len4-noun-heuristic
仰韶文化	n			len4-noun-heuristic
低俗之風	n			len4-noun-heuristic
作業系統	n			len4-noun-heuristic
來之不易	n			len4-noun-heuristic
侵蝕作用	n			len4-noun-heuristic
保守主義	n			len4-noun-heuristic
保護主義	n			len4-noun-heuristic
保險公司	n			len4-noun-heuristic
信陽地區	n			len4-noun-heuristic
修正主義	n			len4-noun-heuristic
俯仰之間	n			len4-noun-heuristic
個人主義	n			len4-noun-heuristic
個體經濟	n			len4-noun-heuristic
偶然之間	n			len4-noun-heuristic
傀儡政府	n			len4-noun-heuristic
催化作用	n			len4-noun-heuristic
傳動機構	n			len4-noun-heuristic
傳家之寶	n			len4-noun-heuristic
傳輸服務	n			len4-noun-heuristic
傳輸模式	n			len4-noun-heuristic
傳輸設備	n			len4-noun-heuristic
