literal	essay_count	essay_rank	pos_proposal	verdict	reason
得閒	35950	895	a,v	reject	能願／程度／主動獲得／成語；非被動構詞
得多	12102	2184	r	reject	能願／程度／主動獲得／成語；非被動構詞
得過	7830	3053	v	reject	能願／程度／主動獲得／成語；非被動構詞
得滯	4805	4614	a,r	reject	能願／程度／主動獲得／成語；非被動構詞
得人驚	4449	4922	a	reject	能願／程度／主動獲得／成語；非被動構詞
得切	4093	5290	a	reject	能願／程度／主動獲得／成語；非被動構詞
得很	3529	5969	r	reject	能願／程度／主動獲得／成語；非被動構詞
得戚	2758	7424	a	reject	能願／程度／主動獲得／成語；非被動構詞
得個	1957	10021	r,v	reject	能願／程度／主動獲得／成語；非被動構詞
得嚟	1779	10973	v,x	reject	能願／程度／主動獲得／成語；非被動構詞
得知	1245	16033	v	reject	能願／程度／主動獲得／成語；非被動構詞
得嗰	1156	18024	r	reject	能願／程度／主動獲得／成語；非被動構詞
得益	1067	19928	n	accept	被動／受惠義 → pos=n
得獎	1056	20701	v	reject	能願／程度／主動獲得／成語；非被動構詞
得當	979	22893	v	reject	能願／程度／主動獲得／成語；非被動構詞
得出	978	23109	v	reject	能願／程度／主動獲得／成語；非被動構詞
得逞	956	24473	v	reject	能願／程度／主動獲得／成語；非被動構詞
得天獨厚	938	25187	u	reject	能願／程度／主動獲得／成語；非被動構詞
得病	895	27231	v	reject	能願／程度／主動獲得／成語；非被動構詞
得體	889	27787	a	reject	能願／程度／主動獲得／成語；非被動構詞
得心應手	888	28509	a	reject	能願／程度／主動獲得／成語；非被動構詞
得人	822	33037	v	reject	能願／程度／主動獲得／成語；非被動構詞
得不償失	813	33811	u	reject	能願／程度／主動獲得／成語；非被動構詞
得道	770	39064	v	reject	能願／程度／主動獲得／成語；非被動構詞
得志	756	40594	v	reject	能願／程度／主動獲得／成語；非被動構詞
得意洋洋	725	43994	u	reject	能願／程度／主動獲得／成語；非被動構詞
得益於	680	48700	v	accept	被動／受惠義 → pos=v
得勝	664	49726	v	reject	能願／程度／主動獲得／成語；非被動構詞
得着	644	51316	v	reject	能願／程度／主動獲得／成語；非被動構詞
得用	643	51418	v	reject	能願／程度／主動獲得／成語；非被動構詞
得人心	607	58855	v	reject	能願／程度／主動獲得／成語；非被動構詞
得過且過	594	62571	v	reject	能願／程度／主動獲得／成語；非被動構詞
得意忘形	591	63607	u	reject	能願／程度／主動獲得／成語；非被動構詞
得寸進尺	582	66766	u	reject	能願／程度／主動獲得／成語；非被動構詞
得法	577	68774	v	reject	能願／程度／主動獲得／成語；非被動構詞
得力助手	568	72536	n	reject	能願／程度／主動獲得／成語；非被動構詞
得寵	564	74206	v	accept	被動／受惠義 → pos=v
得數	558	76917	v	reject	能願／程度／主動獲得／成語；非被動構詞
得克薩斯州	542	84047	v	reject	能願／程度／主動獲得／成語；非被動構詞
得償所願	538	85895	v	reject	能願／程度／主動獲得／成語；非被動構詞
得空	538	85896	v	reject	能願／程度／主動獲得／成語；非被動構詞
得來不易	537	86346	a	reject	能願／程度／主動獲得／成語；非被動構詞
得手	533	88632	v	reject	能願／程度／主動獲得／成語；非被動構詞
得濟	533	88633	v	accept	被動／受惠義 → pos=v
得而復失	533	88634	v	reject	能願／程度／主動獲得／成語；非被動構詞
得把聲	533	90057	v	reject	能願／程度／主動獲得／成語；非被動構詞
得時	517	97895	v	reject	能願／程度／主動獲得／成語；非被動構詞
得意門生	507	102473	n	reject	能願／程度／主動獲得／成語；非被動構詞
得理不饒人	496	107574	v	reject	能願／程度／主動獲得／成語；非被動構詞
得獎者	492	109444	v	reject	能願／程度／主動獲得／成語；非被動構詞
得來全不費功夫	470	119452	v	reject	能願／程度／主動獲得／成語；非被動構詞
得饒人處且饒人	466	121161	u	reject	能願／程度／主動獲得／成語；非被動構詞
得標	463	122517	v	reject	能願／程度／主動獲得／成語；非被動構詞
得道多助	463	122518	u	reject	能願／程度／主動獲得／成語；非被動構詞
得隴望蜀	458	124675	v	reject	能願／程度／主動獲得／成語；非被動構詞
得失	444	131233	v	reject	能願／程度／主動獲得／成語；非被動構詞
得獎人	416	145086	v	reject	能願／程度／主動獲得／成語；非被動構詞
得意揚揚	405	149466	a	reject	能願／程度／主動獲得／成語；非被動構詞
得來速	380	159020	v	reject	能願／程度／主動獲得／成語；非被動構詞
得其所哉	375	160804	u	reject	能願／程度／主動獲得／成語；非被動構詞
