literal	pos	family	voice	note	source	confidence	prior_voice	status
受事	n		passive	cow-single;prefix-passive	cow	medium		missing
受僱	n		passive	cow-single;prefix-passive	cow	medium		missing
受孕	n		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice
受害人	n		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice
受害者	n		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice
受理	n		passive	cow-single;prefix-passive	cow	medium		missing
受益人	n		passive	cow-single;prefix-passive	cow	medium		missing
受精	n		passive	cow-single;prefix-passive	cow	medium		missing
受胎	n		passive	cow-single;prefix-passive	cow	medium		missing
叫人	v		passive	prefix-passive	ssot-patch	medium		empty_voice
叫住先	v		passive	prefix-passive	heuristic	medium		missing
叫作	v		passive	prefix-passive	heuristic	medium		missing
叫佢	v		passive	prefix-passive	heuristic	medium		missing
叫做	v		passive	prefix-passive	ssot-patch	medium		empty_voice
叫停	v		passive	prefix-passive	ssot-patch	medium		empty_voice
叫價	v		passive	prefix-passive	heuristic	medium		missing
叫名	v		passive	prefix-passive	heuristic	medium		missing
叫咗人	v		passive	prefix-passive	heuristic	medium		missing
叫咗你	v		passive	prefix-passive	heuristic	medium		missing
叫咗佢	v		passive	prefix-passive	heuristic	medium		missing
叫咗我	v		passive	prefix-passive	heuristic	medium		missing
叫唆	v		passive	prefix-passive	heuristic	medium		missing
叫唔喐	v		passive	prefix-passive	heuristic	medium		missing
叫唔敢	v		passive	prefix-passive	heuristic	medium		missing
叫喊	n,v		passive	cow-multi;prefix-passive	ssot-patch	medium		empty_voice
叫喚	v		passive	prefix-passive	heuristic	medium		missing
叫嘯	v		passive	prefix-passive	heuristic	medium		missing
叫噪	v		passive	prefix-passive	heuristic	medium		missing
叫嚷	v		passive	prefix-passive	heuristic	medium		missing
叫囂	v		passive	prefix-passive	heuristic	medium		missing
叫多個	v		passive	prefix-passive	heuristic	medium		missing
叫天不應，叫地不聞	v		passive	prefix-passive	heuristic	medium		missing
叫好	v		passive	prefix-passive	ssot-patch	medium		empty_voice
叫好不叫座	v		passive	prefix-passive	heuristic	medium		missing
叫屈	v		passive	prefix-passive	heuristic	medium		missing
叫床*	v		passive	prefix-passive	heuristic	medium		missing
叫座	v		passive	prefix-passive	heuristic	medium		missing
叫座力	v		passive	prefix-passive	heuristic	medium		missing
叫數	v		passive	prefix-passive	heuristic	medium		missing
叫春	v		passive	prefix-passive	heuristic	medium		missing
叫板	v		passive	cow-single;prefix-passive	cow	medium		missing
叫法	v		passive	prefix-passive	heuristic	medium		missing
叫牀	v		passive	prefix-passive	heuristic	medium		missing
叫牀聲	v		passive	prefix-passive	heuristic	medium		missing
叫牌	v		passive	prefix-passive	heuristic	medium		missing
叫生曬	v		passive	prefix-passive	heuristic	medium		missing
叫白車	v		passive	prefix-passive	heuristic	medium		missing
叫真	v		passive	prefix-passive	heuristic	medium		missing
叫糊	v		passive	prefix-passive	heuristic	medium		missing
叫絕	v		passive	prefix-passive	heuristic	medium		missing
叫罵	v		passive	prefix-passive	heuristic	medium		missing
叫聲	n		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice
叫聲我	v		passive	prefix-passive	heuristic	medium		missing
叫花子	v		passive	prefix-passive	heuristic	medium		missing
叫苦	v		passive	prefix-passive	heuristic	medium		missing
叫苦不迭	u	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
叫苦連天	v	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
叫菜	v		passive	prefix-passive	heuristic	medium		missing
叫號	v		passive	prefix-passive	heuristic	medium		missing
叫賣	v		passive	cow-single;prefix-passive	cow	medium		missing
叫起	v		passive	prefix-passive	heuristic	medium		missing
叫起手	v		passive	prefix-passive	heuristic	medium		missing
叫車	v		passive	prefix-passive	heuristic	medium		missing
叫道	v		passive	prefix-passive	ssot-patch	medium		empty_voice
叫醒	v		passive	prefix-passive	ssot-patch	medium		empty_voice
叫門	v		passive	prefix-passive	heuristic	medium		missing
叫開叫埋	v		passive	prefix-passive	heuristic	medium		missing
叫陣	v		passive	prefix-passive	heuristic	medium		missing
叫雞	v		passive	prefix-passive	heuristic	medium		missing
叫響	v		passive	prefix-passive	heuristic	medium		missing
叫餸	v		passive	prefix-passive	heuristic	medium		missing
叫餸食飯	v		passive	prefix-passive	heuristic	medium		missing
叫驢	v		passive	prefix-passive	heuristic	medium		missing
叫魂	v		passive	prefix-passive	heuristic	medium		missing
叫鴨	v		passive	prefix-passive	heuristic	medium		missing
叫鷄*	v		passive	prefix-passive	heuristic	medium		missing
得㗎啦	v		passive	prefix-passive	heuristic	medium		missing
得㗎啦你	v		passive	prefix-passive	heuristic	medium		missing
得一想二	v		passive	prefix-passive	heuristic	medium		missing
得一望十	v		passive	prefix-passive	heuristic	medium		missing
得上床掀被罯*	v		passive	prefix-passive	heuristic	medium		missing
得上牀掀被罯	v		passive	prefix-passive	heuristic	medium		missing
得不償失	u	chengyu	passive	prefix-passive	ssot-patch	medium		empty_voice
得主	v		passive	prefix-passive	heuristic	medium		missing
得了	v,x		passive	prefix-passive	ssot-patch	medium		empty_voice
得些好意須回手	v		passive	prefix-passive	heuristic	medium		missing
得些好意須回首	v		passive	prefix-passive	heuristic	medium		missing
得人	v		passive	prefix-passive	heuristic	medium		missing
得人心	v		passive	prefix-passive	heuristic	medium		missing
得人怕	v		passive	prefix-passive	heuristic	medium		missing
得人憎	v		passive	prefix-passive	heuristic	medium		missing
得人驚	a		passive	prefix-passive	ssot-patch	medium		empty_voice
