literal	pos	family	voice	note	source	confidence	prior_voice	status	ssot_voice	ssot_pos	verdict	reason
受事	n		passive	cow-single;prefix-passive	cow	medium		missing			reject	主動義、技術名、或叫/給/讓
受僱	n		passive	cow-single;prefix-passive	cow	medium		missing			reject	主動義、技術名、或叫/給/讓
受孕	n		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice		n	reject	主動義、技術名、或叫/給/讓
受害人	n		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice	passive	n	keep	已在 SSOT passive
受害者	n		passive	cow-single;prefix-passive	ssot-patch	medium		empty_voice	passive	n	keep	已在 SSOT passive
受理	n		passive	cow-single;prefix-passive	cow	medium		missing			reject	主動義、技術名、或叫/給/讓
受益人	n		passive	cow-single;prefix-passive	cow	medium		missing	passive	n	keep	已在 SSOT passive
受精	n		passive	cow-single;prefix-passive	cow	medium		missing			reject	主動義、技術名、或叫/給/讓
受胎	n		passive	cow-single;prefix-passive	cow	medium		missing			reject	主動義、技術名、或叫/給/讓
叫人	v		passive	prefix-passive	ssot-patch	medium		empty_voice		v	reject	主動義、技術名、或叫/給/讓
叫住先	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
叫作	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
叫佢	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
叫做	v		passive	prefix-passive	ssot-patch	medium		empty_voice		v	reject	主動義、技術名、或叫/給/讓
叫停	v		passive	prefix-passive	ssot-patch	medium		empty_voice		v	reject	主動義、技術名、或叫/給/讓
叫價	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
叫名	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
叫咗人	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
叫咗你	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
叫咗佢	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
叫咗我	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
叫唆	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
叫唔喐	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
叫唔敢	v		passive	prefix-passive	heuristic	medium		missing			reject	主動義、技術名、或叫/給/讓
