rank	literal	freq
1	我見	80444
2	然	54371
3	將我	14148
4	曱	12992
5	甴	12992
6	你估	10767
7	我識	9610
8	總有	8542
9	個月	7408
10	講乜	7296
11	侏	7029
12	仲話	6763
13	不知幾	4004
14	人嚟	3915
15	蘿	3915
16	我架	3648
17	蔔	3559
18	充斥	3470
19	共同	3470
20	再度	3470
21	凸	3470
22	合埋	3470
23	名牌	3470
24	咁滯	3470
25	堅強	3470
26	女廁	3470
27	孭	3470
28	小食	3470
29	山頂	3470
30	彈性	3470
31	從此	3470
32	愈嚟愈	3470
33	日頭	3470
34	有成	3470
35	椅	3470
36	樹木	3470
37	正是	3470
38	澈	3470
39	獨自	3470
40	甜筒	3470
41	登	3470
42	眼紅	3470
43	筆記	3470
44	簡	3470
45	結他	3470
46	翻到	3470
47	血跡	3470
48	親身	3470
49	謙	3470
50	豬扒	3470
51	貌似	3470
52	跪低	3470
53	銀仔	3470
54	陰毛	3470
55	雜物	3470
56	高中	3470
57	鬥	3470
58	忽悠	3464
59	輸入法	3442
60	河北	3436
61	昆明	3421
62	肖	3397
63	上手	3381
64	乳	3381
65	人仔	3381
66	兇	3381
67	初頭	3381
68	加拿大	3381
69	十點	3381
70	呱	3381
71	咖	3381
72	喃喃	3381
73	嗰度	3381
74	囂張	3381
75	多餘	3381
76	奸	3381
77	奸笑	3381
78	如今	3381
79	安撫	3381
80	害羞	3381
81	巾	3381
82	怡	3381
83	急不及待	3381
84	手指公	3381
85	撻	3381
86	攝	3381
87	救人	3381
88	極之	3381
89	歌詞	3381
90	泳	3381
91	狗公	3381
92	生涯	3381
93	異鄉	3381
94	瞇	3381
95	礦	3381
96	絕	3381
97	花名	3381
98	落力	3381
99	薯仔	3381
100	蛛	3381
101	變做	3381
102	躉	3381
103	邊間	3381
104	開朗	3381
105	開燈	3381
106	風水	3381
107	炒作	3377
108	轎車	3364
109	最愛	3363
110	另一方面	3360
111	做得	3343
112	上半年	3342
113	漲價	3341
114	清華	3307
115	主頁	3296
116	伊朗	3293
117	一嚟	3292
118	下人	3292
119	乘機	3292
120	反問	3292
121	唔覺意	3292
122	密	3292
123	尋常	3292
124	年青	3292
125	思緒	3292
126	打牌	3292
127	握手	3292
128	是否	3292
129	晨早	3292
130	柔	3292
131	水族館	3292
132	沿路	3292
133	泥膠	3292
134	準	3292
135	瀅	3292
136	生還	3292
137	當晚	3292
138	的而且確	3292
139	算數	3292
140	緩	3292
141	聽聞	3292
142	茶餐廳	3292
143	薯片	3292
144	警員	3292
145	遇	3292
146	陸	3292
147	顧	3292
148	大於	3289
149	若干	3277
150	身後	3277
151	打球	3271
152	腳本	3266
153	殺毒	3263
154	農民工	3249
155	嘎嘎	3240
156	編譯	3229
157	高效	3228
158	此前	3227
159	睡着	3227
160	截圖	3219
161	長江	3209
162	一方	3203
163	偉大	3203
164	偷睇	3203
165	勢	3203
166	十足	3203
167	可見	3203
168	呔	3203
169	咇	3203
170	喼	3203
171	圖騰	3203
172	埋單	3203
173	大男人	3203
174	大細	3203
175	天黑	3203
176	好型	3203
177	定期	3203
178	對望	3203
179	帖	3203
180	康	3203
181	心願	3203
182	必然	3203
183	應對	3203
184	接通	3203
185	晨	3203
186	梳洗	3203
187	消毒	3203
188	淡定	3203
189	灰色	3203
190	牛頭	3203
191	男人老狗	3203
192	發癲	3203
193	目測	3203
194	短暫	3203
195	罅	3203
196	腫	3203
197	莊子	3203
198	藉	3203
199	裸	3203
200	褸	3203
201	訊號	3203
202	身份證	3203
203	逐個	3203
204	遠方	3203
205	配	3203
206	閃電	3203
207	開支	3203
208	難食	3203
209	霸	3203
210	體內	3203
211	高速	3203
212	黎生	3203
213	市政府	3196
214	暈死	3187
215	協商	3172
216	鄉鎮	3172
217	出處	3162
218	組建	3157
219	央行	3148
220	節能	3143
221	祇	3129
222	不論	3114
223	以免	3114
224	佩	3114
225	停課	3114
226	出馬	3114
227	前世	3114
228	剩低	3114
229	動漫	3114
230	化解	3114
231	叉燒	3114
232	嘈醒	3114
233	外母	3114
234	小惠	3114
235	屋邨	3114
236	嶽	3114
237	差人	3114
238	差館	3114
239	彩	3114
240	徹底	3114
241	懵	3114
242	打得	3114
243	掩	3114
244	暗戀	3114
245	暗瘡	3114
246	最尾	3114
247	歐陽	3114
248	淫蕩	3114
249	混	3114
250	清純	3114
251	烏	3114
252	物件	3114
253	生前	3114
254	用品	3114
255	純熟	3114
256	繼母	3114
257	耐煩	3114
258	聊	3114
259	背對	3114
260	自問	3114
261	荳	3114
262	街邊	3114
263	走人	3114
264	身形	3114
265	輪到	3114
266	轅	3114
267	送信	3114
268	逃離	3114
269	遊戲機	3114
270	阿頭	3114
271	降	3114
272	頭部	3114
273	食飽	3114
274	餐室	3114
275	公安局	3109
276	民警	3094
277	調控	3089
278	開盤	3085
279	亮相	3084
280	來不及	3083
281	路由器	3080
282	錄取	3078
283	防治	3078
284	老總	3073
285	標識	3062
286	魏	3061
287	驗收	3059
288	有意思	3051
289	一剎那	3025
290	一度	3025
291	上山	3025
292	中大	3025
293	人望	3025
294	伴侶	3025
295	依稀	3025
296	兄	3025
297	到處	3025
298	動畫	3025
299	名校	3025
300	哈哈哈哈哈	3025
301	喳	3025
302	外星	3025
303	字眼	3025
304	必需	3025
305	晚餐	3025
306	暪	3025
307	校花	3025
308	歌仔	3025
309	汪	3025
310	波子	3025
311	派出所	3025
312	浩	3025
313	無理	3025
314	生死	3025
315	當場	3025
316	百佳	3025
317	真人	3025
318	社交	3025
319	程	3025
320	糕	3025
321	老死	3025
322	肌膚	3025
323	腰間	3025
324	融	3025
325	蹤	3025
326	銀仙	3025
327	順手	3025
328	高層	3025
329	高登	3025
330	鬼妹	3025
331	前天	3011
332	試點	3009
333	中介	3007
334	盯着	2973
335	售價	2942
336	藉助	2941
337	難看	2937
338	一副	2936
339	不必	2936
340	乒乓波	2936
341	乜春	2936
342	人情	2936
343	估錯	2936
344	似曾相識	2936
345	佟	2936
346	傷感	2936
347	儲	2936
348	剁	2936
349	前往	2936
350	原地	2936
351	吃力	2936
352	哀求	2936
353	商量	2936
354	執好	2936
355	大姐	2936
356	天橋	2936
357	天色	2936
358	夾雜	2936
359	契弟	2936
360	好近	2936
361	尚	2936
362	幾難	2936
363	後日	2936
364	戇居	2936
365	旺	2936
366	有日	2936
367	洗面	2936
368	淫亂	2936
369	澳門	2936
370	火燒	2936
371	熱戀	2936
372	爹地	2936
373	犯賤	2936
374	猶如	2936
375	甜美	2936
376	由頭	2936
377	相愛	2936
378	石屎	2936
379	紀錄	2936
380	綺	2936
381	美女	2936
382	耍	2936
383	聽筒	2936
384	臨時	2936
385	舉手	2936
386	莫名	2936
387	處境	2936
388	蜈蚣	2936
389	記性	2936
390	話音	2936
391	迷惘	2936
392	郁手	2936
393	間接	2936
394	隊友	2936
395	難聽	2936
396	食屎	2936
397	工商	2928
398	掙錢	2922
399	年初	2910
400	莊家	2895
401	研製	2886
402	評選	2885
403	媳婦	2883
404	轉型	2881
405	越南	2874
406	借鑑	2869
407	善於	2858
408	遼寧	2853
409	國人	2851
410	只需	2848
411	上市	2847
412	互	2847
413	今世	2847
414	傾得	2847
415	區區	2847
416	十一點	2847
417	取	2847
418	可疑	2847
419	啞仔	2847
420	嚟緊	2847
421	四眼	2847
422	地底	2847
423	夕陽	2847
424	多麼	2847
425	大型	2847
426	大波	2847
427	奏	2847
428	好天	2847
429	妒忌	2847
430	婷	2847
431	媾	2847
432	孤單	2847
433	導遊	2847
434	小提琴	2847
435	廊	2847
436	廢青	2847
437	往後	2847
438	心愛	2847
439	急促	2847
440	有利	2847
441	未試	2847
442	濃烈	2847
443	煙通	2847
444	爛仔	2847
445	爛口	2847
446	玩嘢	2847
447	男聲	2847
448	異口同聲	2847
449	相隔	2847
450	組爸	2847
451	習	2847
452	翻工	2847
453	肚腩	2847
454	自拍	2847
455	至今	2847
456	落雨	2847
457	質	2847
458	起頭	2847
459	身世	2847
460	道士	2847
461	陶醉	2847
462	面對面	2847
463	頭緒	2847
464	食花生	2847
465	骷	2847
466	麻雀	2847
467	妝	2846
468	要不然	2842
469	兩岸	2840
470	定製	2823
471	其他地方	2816
472	像素	2801
473	這時候	2800
474	董事會	2799
475	本本	2797
476	瀋陽	2797
477	改天	2795
478	繳納	2792
479	珠海	2790
480	絕大多數	2787
481	下半年	2773
482	景區	2772
483	金山	2769
484	字符	2768
485	性價比	2766
486	充值	2764
487	不下	2758
488	不由自主	2758
489	五官	2758
490	個案	2758
491	公屋	2758
492	凹	2758
493	出院	2758
494	剷	2758
495	即管	2758
496	各樣	2758
497	單人	2758
498	嘍	2758
499	大雨	2758
500	夾硬	2758
501	嬋	2758
502	宜	2758
503	巴閉	2758
504	後腦	2758
505	得戚	2758
506	心寒	2758
507	恰	2758
508	慌	2758
509	懦弱	2758
510	手足	2758
511	打車	2758
512	搶先	2758
513	教員	2758
514	框	2758
515	氣力	2758
516	法力	2758
517	海邊	2758
518	湯圓	2758
519	焗爐	2758
520	照計	2758
521	熟睡	2758
522	獨特	2758
523	現時	2758
524	生得	2758
525	留班	2758
526	白紙	2758
527	盡情	2758
528	睡房	2758
529	睥	2758
530	祭	2758
531	綜合	2758
532	美味	2758
533	背負	2758
534	臺	2758
535	舊年	2758
536	見工	2758
537	訊	2758
538	豬頭	2758
539	賜	2758
540	趁機	2758
541	身子	2758
542	連埋	2758
543	遊	2758
544	選修	2758
545	醒起	2758
546	雙唇	2758
547	難以置信	2758
548	飛刀	2758
549	飲茶	2758
550	館	2758
551	高瘦	2758
552	默	2758
553	點先	2758
554	長春	2753
555	誰知道	2720
556	來回	2714
557	制約	2710
558	評審	2710
559	右鍵	2699
560	改革開放	2683
561	罵人	2679
562	賈	2679
563	申購	2676
564	儂	2673
565	體檢	2670
566	不到	2669
567	不妙	2669
568	世事	2669
569	仇	2669
570	何必	2669
571	使出	2669
572	做主	2669
573	偷笑	2669
574	先好	2669
575	兩手	2669
576	公廁	2669
577	凶	2669
578	前途	2669
579	動人	2669
580	包容	2669
581	匿	2669
582	十仔	2669
583	友人	2669
584	右手邊	2669
585	單單	2669
586	嚟過	2669
587	國內	2669
588	太快	2669
589	孫	2669
590	寫低	2669
591	尋	2669
592	屬	2669
593	帶有	2669
594	幾錢	2669
595	心動	2669
596	忌	2669
597	打贏	2669
598	招式	2669
599	收錢	2669
600	放到	2669
601	本地	2669
602	校工	2669
603	楚	2669
604	樣樣	2669
605	死黨	2669
606	比卡超	2669
607	浮	2669
608	無敵	2669
609	照舊	2669
610	瓜	2669
611	生理	2669
612	私家	2669
613	糊	2669
614	緊身	2669
615	緩慢	2669
616	翻嚟	2669
617	街燈	2669
618	袍	2669
619	註	2669
620	趕時間	2669
621	鐵塔	2669
622	面試	2669
623	飲杯	2669
624	駁	2669
625	齋	2669
626	城區	2663
627	凡是	2660
628	志願者	2649
629	輛	2649
630	國家隊	2645
631	便於	2643
632	布什	2643
633	應聘	2643
634	上報	2633
635	捨不得	2625
636	僞	2624
637	控股	2622
638	抽菸	2621
639	光驅	2615
640	下線	2605
641	查處	2603
642	版權所有	2599
643	公交車	2596
644	整治	2592
645	民工	2591
646	怎麼回事	2589
647	甲方	2589
648	羅馬	2587
649	自治區	2587
650	獲悉	2585
651	出貨	2582
652	中環	2580
653	亞視	2580
654	仙	2580
655	係路	2580
656	先行	2580
657	入夜	2580
658	北行	2580
659	卜	2580
660	右手面	2580
661	向前	2580
662	喱士	2580
663	嘅時	2580
664	噓	2580
665	嚓	2580
666	境界	2580
667	小腿	2580
668	少有	2580
669	尷	2580
670	展	2580
671	山頭	2580
672	師妹	2580
673	底衫	2580
674	念	2580
675	惡鬼	2580
676	手尾	2580
677	打工	2580
678	打邊爐	2580
679	技	2580
680	抆	2580
681	擦字膠	2580
682	橫掂	2580
683	水汪汪	2580
684	況且	2580
685	減	2580
686	漱口	2580
687	濟	2580
688	獄警	2580
689	白頭	2580
690	眉頭	2580
691	睇小	2580
692	純真	2580
693	紙皮	2580
694	細膽	2580
695	縱使	2580
696	肉色	2580
697	臻	2580
698	薛	2580
699	藥膏	2580
700	蛀	2580
701	蟻	2580
702	許	2580
703	詭異	2580
704	話口未完	2580
705	認定	2580
706	豉油	2580
707	跟手	2580
708	踏入	2580
709	身手	2580
710	軟弱	2580
711	邨	2580
712	開房	2580
713	隊伍	2580
714	順眼	2580
715	驚呼	2580
716	髏	2580
717	祕	2579
718	災區	2572
719	中山	2568
720	南昌	2568
721	處在	2561
722	黃河	2555
723	只需要	2552
724	怪不得	2548
725	領取	2548
726	企業家	2525
727	交換機	2524
728	演唱	2518
729	老鄉	2517
730	總監	2514
731	太平洋	2512
732	勞動力	2500
733	加息	2494
734	打折	2494
735	化工	2493
736	一旁	2491
737	上台	2491
738	上心	2491
739	不但	2491
740	不約而同	2491
741	不行	2491
742	中秋節	2491
743	事先	2491
744	你仲記	2491
745	依邊	2491
746	修	2491
747	偷襲	2491
748	儀	2491
749	兼容	2491
750	冒	2491
751	厹	2491
752	古	2491
753	司	2491
754	哀傷	2491
755	哲學	2491
756	問號	2491
757	嗶	2491
758	嘖	2491
759	學人	2491
760	對眼	2491
761	帳	2491
762	後人	2491
763	心虛	2491
764	恐龍	2491
765	愛心	2491
766	援交	2491
767	武術	2491
768	死八婆	2491
769	比喻	2491
770	民主	2491
771	洩	2491
772	漂亮	2491
773	煮飯仔	2491
774	牙仔	2491
775	當成	2491
776	發惡	2491
777	皆	2491
778	眼球	2491
779	砵	2491
780	神偷	2491
781	私隱	2491
782	種種	2491
783	竟	2491
784	竹	2491
785	筋	2491
786	粗糙	2491
787	紛紛	2491
788	細小	2491
789	肉麻	2491
790	胃口	2491
791	蒸	2491
792	行政	2491
793	見牙唔見眼	2491
794	言語	2491
795	識到	2491
796	貪玩	2491
797	趕到	2491
798	這次	2491
799	間尺	2491
800	隨意	2491
801	難免	2491
802	題	2491
803	黃金	2491
804	黑衣	2491
805	深化	2477
806	法律責任	2476
807	藍牙	2457
