rank_u	literal	freq
1	我同	122713
2	我講	110165
3	我望	84181
4	我見	80444
5	我要	77952
6	我個	77151
7	我會	71990
8	有個	71011
9	一望	63536
10	陳	59977
11	只要	58464
12	生	58375
13	眼前	58019
14	啪	57574
15	便	57307
16	凍	57218
17	拜拜	57129
18	師姐	56684
19	直接	56684
20	阿心	56150
21	哥	56061
22	爲什麼	55937
23	哈哈	55705
24	哇	55438
25	我地	55260
26	三葉	54993
27	啖	54815
28	一日	54549
29	然	54371
30	我問	54282
31	勤	53926
32	彈	53481
33	本身	53481
34	成個	52413
35	味	52324
36	歌	52235
37	咗個	51879
38	的人	51876
39	一聲	51523
40	屋	51434
41	立即	51256
42	眼神	51167
43	返到	51167
44	郁	51078
45	阿明	51078
46	波波	50989
47	白色	50722
48	褲	49921
49	溼	49742
50	唔見	49476
51	阿妹	49387
52	爲了	49292
53	喪屍	49031
54	對方	48942
55	我們	48764
56	嗚	48497
57	鳩	48497
58	扮	48319
59	餵	48141
60	喵	48052
61	過嚟	47963
62	之外	47252
63	執	47252
64	勁	47074
65	亂	46718
66	我話	46718
67	唯有	46273
68	婆婆	46273
69	你講	45828
70	方	45294
71	果然	45205
72	哩	44938
73	臭	44938
74	雙手	44938
75	反而	44849
76	中學	44493
77	抌	44493
78	其中	44404
79	當我	44137
80	俊	44048
81	點算	43959
82	一早	43870
83	出聲	43514
84	一句	43425
85	一種	43158
86	卻	42980
87	阿政	42980
88	是不是	42945
89	我的	42812
90	喱	42713
91	一條	42624
92	定係	42535
93	冇乜	42357
94	嘅嘢	42179
95	所謂	41823
96	曾經	41823
97	遠	41556
98	啥	41314
99	出面	41289
100	個樣	41022
101	影	41022
102	甚至	41022
103	我知	40845
104	放學	40845
105	屙	40667
106	機	40667
107	你的	40592
108	直到	40578
109	嘅人	40489
110	鬧	40400
111	唔好意思	39866
112	變得	39688
113	個個	39599
114	無論	39599
115	行爲	39505
116	曳	39243
117	筆	39243
118	堂	39154
119	呵	38976
120	大佬	38976
121	貓貓	38976
122	晚	38887
123	游	38798
124	哪裏	38748
125	叫做	38709
126	揸	38442
127	實	38353
128	師父	38353
129	瑜	38264
130	掂	38086
131	嚮	37997
132	佬	37908
133	擒	37552
134	講到	37552
135	人生	37463
136	熄	37463
