rank	head	essay_frequency	batch_index
1	我	12831921	1
2	你	7032017	1
3	唔	6114739	1
4	呢	4602584	1
5	都	3753292	1
6	個	3599078	1
7	就	3287801	1
8	啦	2911475	1
9	到	2317932	1
10	呀	2028280	1
11	既	1998113	1
12	又	1370310	1
13	度	1329643	1
14	一	1321901	1
15	住	1273581	1
16	要	1269577	1
17	會	1159055	1
18	的	1107709	1
19	話	1068911	1
20	做	1068377	1
21	啊	970758	1
22	可以	885687	1
23	乜	875008	1
24	食	873763	1
25	自己	868601	1
26	講	853563	1
27	知	828646	1
28	想	822239	1
29	因爲	713185	1
30	之後	702285	1
31	一個	700861	1
32	比	676300	1
33	已經	637057	1
34	見	620417	1
35	好似	600929	1
36	再	590962	1
37	但	556791	1
38	走	552876	1
39	聽	549583	1
40	不過	543799	1
41	叫	531786	1
42	仲	517370	1
43	玩	517370	1
44	而	490407	1
45	哦	487114	1
46	了	485512	1
47	所以	481063	1
48	喂	480529	1
49	幫	479817	1
50	姐姐	475813	1
51	諗	473588	1
52	打	468961	1
53	完	467092	1
54	未	449295	1
55	埋	444845	1
56	著	443600	1
57	其實	428828	1
58	倒	422154	1
59	覺得	398483	1
60	用	389762	1
61	坐	380597	1
62	只	380151	1
63	識	379707	1
64	落	376414	1
65	然後	374724	1
66	如果	370986	1
67	向	353723	1
68	洗	346693	1
69	應該	342510	1
70	事	336281	1
71	時候	331743	1
72	兩	322755	1
73	嘛	322132	1
74	衫	314746	1
75	個人	312967	1
76	拎	308428	1
77	飲	306649	1
78	知道	299085	1
79	點	298017	1
80	可能	297483	1
81	一齊	289563	1
82	亦	281643	1
83	邊	281109	1
84	等	278974	1
85	搞	269007	1
86	被	259308	1
87	擺	257884	1
88	幾	251922	1
89	車	243201	1
90	仔	242489	1
91	在	239196	1
92	驚	235815	1
93	最	231188	1
94	一樣	225759	1
95	雖然	225759	1
96	原來	224247	1
97	阿	219263	1
98	一定	217929	1
99	番	217662	1
100	間	214102	1
101	黎	212500	1
102	就是	211922	1
103	今日	208763	1
104	整	206805	1
105	帶	203335	1
106	時間	203335	1
107	感覺	200576	1
108	說	199774	1
109	聲	198974	1
110	電話	198707	1
111	不	194881	1
112	即刻	193902	1
113	即	191233	1
114	她	190610	1
115	三	190343	1
116	突然	188207	1
117	第一	186961	1
118	大家	186605	1
119	不如	186071	1
120	爲	184291	1
121	時	183046	1
122	條	180821	1
123	跌	180732	1
124	把	179130	1
125	由	177262	1
126	繼續	176016	1
127	思	171655	1
128	最後	171566	1
129	錢	170588	1
130	之前	168007	1
131	架	167384	1
132	爸爸	167295	1
133	都會	166939	1
