head	tail	relation_type	batch_id
有意無意	一心一意	ant	len4-b01-20260715
有意無意	刻意	ant	len4-b01-20260715
有意無意	有心	ant	len4-b01-20260715
各種各樣	千篇一律	ant	len4-b01-20260715
各種各樣	單一	ant	len4-b01-20260715
各種各樣	一樣	ant	len4-b01-20260715
絕大部分	少數	ant	len4-b01-20260715
絕大部分	極少數	ant	len4-b01-20260715
無時無刻	偶爾	ant	len4-b01-20260715
無時無刻	間中	ant	len4-b01-20260715
無時無刻	有時	ant	len4-b01-20260715
無論如何	酌情	ant	len4-b01-20260715
無論如何	視乎情況	ant	len4-b01-20260715
一五一十	含糊其辭	ant	len4-b01-20260715
一五一十	隱瞞	ant	len4-b01-20260715
一五一十	遮遮掩掩	ant	len4-b01-20260715
實實在在	虛假	ant	len4-b01-20260715
實實在在	空洞	ant	len4-b01-20260715
至關重要	無關緊要	ant	len4-b01-20260715
至關重要	無足輕重	ant	len4-b01-20260715
至關重要	次要	ant	len4-b01-20260715
不切實際	實事求是	ant	len4-b01-20260715
不切實際	切合實際	ant	len4-b01-20260715
不切實際	務實	ant	len4-b01-20260715
人來人往	杳無人跡	ant	len4-b01-20260715
人來人往	冷清	ant	len4-b01-20260715
人來人往	門可羅雀	ant	len4-b01-20260715
毫無疑問	存疑	ant	len4-b01-20260715
有所不同	如出一轍	ant	len4-b01-20260715
有所不同	相同	ant	len4-b01-20260715
有所不同	無異	ant	len4-b01-20260715
大大小小	整齊劃一	ant	len4-b01-20260715
方方面面	局部	ant	len4-b01-20260715
方方面面	片面	ant	len4-b01-20260715
諸如此類	與眾不同	ant	len4-b01-20260715
諸如此類	獨一無二	ant	len4-b01-20260715
一天到晚	一時半刻	ant	len4-b01-20260715
一天到晚	偶爾	ant	len4-b01-20260715
一天到晚	有時	ant	len4-b01-20260715
突如其來	意料之中	ant	len4-b01-20260715
突如其來	循序漸進	ant	len4-b01-20260715
自然而然	刻意為之	ant	len4-b01-20260715
自然而然	強求	ant	len4-b01-20260715
自然而然	做作	ant	len4-b01-20260715
各式各樣	千篇一律	ant	len4-b01-20260715
各式各樣	單一	ant	len4-b01-20260715
各式各樣	清一色	ant	len4-b01-20260715
一見鍾情	日久生情	ant	len4-b01-20260715
一見鍾情	日久見人心	ant	len4-b01-20260715
奄奄一息	生龍活虎	ant	len4-b01-20260715
奄奄一息	生氣勃勃	ant	len4-b01-20260715
奄奄一息	活蹦亂跳	ant	len4-b01-20260715
辛辛苦苦	輕而易舉	ant	len4-b01-20260715
辛辛苦苦	輕鬆	ant	len4-b01-20260715
辛辛苦苦	不費吹灰之力	ant	len4-b01-20260715
不顧一切	瞻前顧後	ant	len4-b01-20260715
不顧一切	小心翼翼	ant	len4-b01-20260715
不顧一切	畏首畏尾	ant	len4-b01-20260715
從頭到尾	半途而廢	ant	len4-b01-20260715
從頭到尾	中途	ant	len4-b01-20260715
從頭到尾	斷斷續續	ant	len4-b01-20260715
乾乾淨淨	骯髒	ant	len4-b01-20260715
乾乾淨淨	污穢	ant	len4-b01-20260715
居高不下	一落千丈	ant	len4-b01-20260715
居高不下	暴跌	ant	len4-b01-20260715
時時刻刻	偶爾	ant	len4-b01-20260715
時時刻刻	間中	ant	len4-b01-20260715
時時刻刻	有時	ant	len4-b01-20260715
自由自在	束手束腳	ant	len4-b01-20260715
自由自在	拘束	ant	len4-b01-20260715
一望無際	一覽無餘	ant	len4-b01-20260715
一望無際	狹窄	ant	len4-b01-20260715
一絲不掛	衣冠楚楚	ant	len4-b01-20260715
問長問短	不聞不問	ant	len4-b01-20260715
問長問短	漠不關心	ant	len4-b01-20260715
問長問短	冷淡	ant	len4-b01-20260715
好聲好氣	破口大罵	ant	len4-b01-20260715
拳打腳踢	和顏悦色	ant	len4-b01-20260715
拳打腳踢	好言相勸	ant	len4-b01-20260715
按捺不住	泰然自若	ant	len4-b01-20260715
按捺不住	不動聲色	ant	len4-b01-20260715
按捺不住	從容	ant	len4-b01-20260715
浩浩蕩蕩	稀稀拉拉	ant	len4-b01-20260715
火上加油	息事寧人	ant	len4-b01-20260715
火上加油	釜底抽薪	ant	len4-b01-20260715
火上加油	雪中送炭	ant	len4-b01-20260715
五花八門	千篇一律	ant	len4-b01-20260715
五花八門	單調	ant	len4-b01-20260715
五花八門	清一色	ant	len4-b01-20260715
愈演愈烈	緩和	ant	len4-b01-20260715
愈演愈烈	降温	ant	len4-b01-20260715
一動不動	活蹦亂跳	ant	len4-b01-20260715
一動不動	坐立不安	ant	len4-b01-20260715
無緣無故	事出有因	ant	len4-b01-20260715
簡簡單單	錯綜複雜	ant	len4-b01-20260715
簡簡單單	複雜	ant	len4-b01-20260715
自欺欺人	實事求是	ant	len4-b01-20260715
多種多樣	千篇一律	ant	len4-b01-20260715
多種多樣	單一	ant	len4-b01-20260715
多種多樣	清一色	ant	len4-b01-20260715
不亦樂乎	苦不堪言	ant	len4-b01-20260715
不亦樂乎	痛苦	ant	len4-b01-20260715
不亦樂乎	苦惱	ant	len4-b01-20260715
硬着頭皮	知難而退	ant	len4-b01-20260715
多愁善感	鐵石心腸	ant	len4-b01-20260715
多愁善感	麻木	ant	len4-b01-20260715
多愁善感	無動於衷	ant	len4-b01-20260715
四面八方	局部	ant	len4-b01-20260715
四面八方	一方	ant	len4-b01-20260715
海闊天空	坐井觀天	ant	len4-b01-20260715
海闊天空	鼠目寸光	ant	len4-b01-20260715
海闊天空	狹隘	ant	len4-b01-20260715
千千萬萬	寥寥無幾	ant	len4-b01-20260715
千千萬萬	少數	ant	len4-b01-20260715
千千萬萬	屈指可數	ant	len4-b01-20260715
此起彼伏	偃旗息鼓	ant	len4-b01-20260715
此起彼伏	沉寂	ant	len4-b01-20260715
一笑置之	耿耿於懷	ant	len4-b01-20260715
情有獨鍾	三心兩意	ant	len4-b01-20260715
情有獨鍾	見異思遷	ant	len4-b01-20260715
或多或少	一無所有	ant	len4-b01-20260715
隱隱作痛	劇痛	ant	len4-b01-20260715
發揚光大	銷聲匿跡	ant	len4-b01-20260715
發揚光大	埋沒	ant	len4-b01-20260715
發揚光大	湮沒	ant	len4-b01-20260715
揮之不去	煙消雲散	ant	len4-b01-20260715
揮之不去	拋諸腦後	ant	len4-b01-20260715
揮之不去	忘卻	ant	len4-b01-20260715
多多少少	一無所有	ant	len4-b01-20260715
一年四季	一時半刻	ant	len4-b01-20260715
一年四季	短暫	ant	len4-b01-20260715
一年四季	片刻	ant	len4-b01-20260715
風風雨雨	風平浪靜	ant	len4-b01-20260715
風風雨雨	一帆風順	ant	len4-b01-20260715
風風雨雨	平靜	ant	len4-b01-20260715
從此以後	此前	ant	len4-b01-20260715
從此以後	從前	ant	len4-b01-20260715
一應俱全	一無所有	ant	len4-b01-20260715
一應俱全	空空如也	ant	len4-b01-20260715
無怨無悔	怨天尤人	ant	len4-b01-20260715
無怨無悔	後悔莫及	ant	len4-b01-20260715
無怨無悔	追悔	ant	len4-b01-20260715
稀裏糊塗	一清二楚	ant	len4-b01-20260715
稀裏糊塗	明明白白	ant	len4-b01-20260715
稀裏糊塗	清醒	ant	len4-b01-20260715
原汁原味	面目全非	ant	len4-b01-20260715
原汁原味	變味	ant	len4-b01-20260715
原汁原味	走樣	ant	len4-b01-20260715
塵埃落定	懸而未決	ant	len4-b01-20260715
塵埃落定	未定	ant	len4-b01-20260715
難得一見	司空見慣	ant	len4-b01-20260715
難得一見	屢見不鮮	ant	len4-b01-20260715
難得一見	常見	ant	len4-b01-20260715
上上下下	一成不變	ant	len4-b01-20260715
上上下下	紋絲不動	ant	len4-b01-20260715
切實可行	不切實際	ant	len4-b01-20260715
切實可行	空想	ant	len4-b01-20260715
大起大落	平穩	ant	len4-b01-20260715
輕輕鬆鬆	辛苦	ant	len4-b01-20260715
輕輕鬆鬆	吃力	ant	len4-b01-20260715
無關緊要	事關重大	ant	len4-b01-20260715
無關緊要	關鍵	ant	len4-b01-20260715
夜深人靜	人聲鼎沸	ant	len4-b01-20260715
夜深人靜	熱鬧	ant	len4-b01-20260715
夜深人靜	喧鬧	ant	len4-b01-20260715
一點一滴	一蹴而就	ant	len4-b01-20260715
一點一滴	一口氣	ant	len4-b01-20260715
一點一滴	囫圇吞棗	ant	len4-b01-20260715
密不可分	無關	ant	len4-b01-20260715
來來往往	杳無人跡	ant	len4-b01-20260715
來來往往	冷清	ant	len4-b01-20260715
來來往往	門可羅雀	ant	len4-b01-20260715
多姿多彩	單調	ant	len4-b01-20260715
多姿多彩	枯燥	ant	len4-b01-20260715
明明白白	糊塗	ant	len4-b01-20260715
明明白白	含糊	ant	len4-b01-20260715
緊鑼密鼓	偃旗息鼓	ant	len4-b01-20260715
緊鑼密鼓	無聲無息	ant	len4-b01-20260715
緊鑼密鼓	沉寂	ant	len4-b01-20260715
高高興興	愁眉苦臉	ant	len4-b01-20260715
高高興興	悶悶不樂	ant	len4-b01-20260715
高高興興	沮喪	ant	len4-b01-20260715
不過如此	非同凡響	ant	len4-b01-20260715
不過如此	了不起	ant	len4-b01-20260715
天馬行空	循規蹈矩	ant	len4-b01-20260715
天馬行空	按部就班	ant	len4-b01-20260715
天馬行空	拘謹	ant	len4-b01-20260715
更新換代	一成不變	ant	len4-b01-20260715
更新換代	墨守成規	ant	len4-b01-20260715
更新換代	守舊	ant	len4-b01-20260715
沒心沒肺	用心良苦	ant	len4-b01-20260715
沒心沒肺	細心	ant	len4-b01-20260715
沒心沒肺	體貼	ant	len4-b01-20260715
意猶未盡	意興闌珊	ant	len4-b01-20260715
悄無聲息	大張旗鼓	ant	len4-b01-20260715
恰恰相反	不約而同	ant	len4-b01-20260715
恰恰相反	如出一轍	ant	len4-b01-20260715
忙忙碌碌	無所事事	ant	len4-b01-20260715
忙忙碌碌	悠閒	ant	len4-b01-20260715
忙忙碌碌	清閒	ant	len4-b01-20260715
絞盡腦汁	不假思索	ant	len4-b01-20260715
絞盡腦汁	脱口而出	ant	len4-b01-20260715
絞盡腦汁	輕鬆	ant	len4-b01-20260715
雜七雜八	井井有條	ant	len4-b01-20260715
雜七雜八	整齊	ant	len4-b01-20260715
雜七雜八	單純	ant	len4-b01-20260715
毋庸置疑	存疑	ant	len4-b01-20260715
大勢所趨	倒行逆施	ant	len4-b01-20260715
意料之外	意料之中	ant	len4-b01-20260715
完完全全	殘缺不全	ant	len4-b01-20260715
完完全全	部分	ant	len4-b01-20260715
晶瑩剔透	渾濁	ant	len4-b01-20260715
晶瑩剔透	污濁	ant	len4-b01-20260715
不能自拔	擺脱	ant	len4-b01-20260715
一聲令下	按兵不動	ant	len4-b01-20260715
一聲令下	猶豫不決	ant	len4-b01-20260715
一聲令下	遲疑	ant	len4-b01-20260715
出謀劃策	束手無策	ant	len4-b01-20260715
出謀劃策	無計可施	ant	len4-b01-20260715
出謀劃策	一籌莫展	ant	len4-b01-20260715
相輔相成	水火不容	ant	len4-b01-20260715
相輔相成	對立	ant	len4-b01-20260715
自作多情	冷酷無情	ant	len4-b01-20260715
自作多情	無動於衷	ant	len4-b01-20260715
自作多情	鐵石心腸	ant	len4-b01-20260715
大行其道	銷聲匿跡	ant	len4-b01-20260715
大行其道	無人問津	ant	len4-b01-20260715
大行其道	沒落	ant	len4-b01-20260715
男男女女	寥寥無幾	ant	len4-b01-20260715
男男女女	無人	ant	len4-b01-20260715
男男女女	空無一人	ant	len4-b01-20260715
冠冕堂皇	鬼鬼祟祟	ant	len4-b01-20260715
糊裏糊塗	一清二楚	ant	len4-b01-20260715
糊裏糊塗	明明白白	ant	len4-b01-20260715
糊裏糊塗	清醒	ant	len4-b01-20260715
欲哭無淚	喜極而泣	ant	len4-b01-20260715
欲哭無淚	破涕為笑	ant	len4-b01-20260715
欲哭無淚	歡喜	ant	len4-b01-20260715
躍躍欲試	畏縮不前	ant	len4-b01-20260715
躍躍欲試	退縮	ant	len4-b01-20260715
躍躍欲試	望而卻步	ant	len4-b01-20260715
不一會兒	良久	ant	len4-b01-20260715
不一會兒	許久	ant	len4-b01-20260715
雨後春筍	鳳毛麟角	ant	len4-b01-20260715
雨後春筍	稀少	ant	len4-b01-20260715
雨後春筍	罕見	ant	len4-b01-20260715
疲憊不堪	精神抖擻	ant	len4-b01-20260715
疲憊不堪	生龍活虎	ant	len4-b01-20260715
若有所思	茫然若失	ant	len4-b01-20260715
若有所思	心不在焉	ant	len4-b01-20260715
若有所思	漫不經心	ant	len4-b01-20260715
大大咧咧	謹小慎微	ant	len4-b01-20260715
隨隨便便	一絲不苟	ant	len4-b01-20260715
有生之年	死後	ant	len4-b01-20260715
蕩然無存	完好無損	ant	len4-b01-20260715
蕩然無存	原封不動	ant	len4-b01-20260715
不同尋常	平淡無奇	ant	len4-b01-20260715
大汗淋漓	清涼	ant	len4-b01-20260715
大汗淋漓	涼爽	ant	len4-b01-20260715
無窮無盡	有始有終	ant	len4-b01-20260715
無窮無盡	有限	ant	len4-b01-20260715
無窮無盡	屈指可數	ant	len4-b01-20260715
盡心盡力	敷衍塞責	ant	len4-b01-20260715
日日夜夜	一時半刻	ant	len4-b01-20260715
日日夜夜	短暫	ant	len4-b01-20260715
日日夜夜	片刻	ant	len4-b01-20260715
大打出手	握手言和	ant	len4-b01-20260715
大打出手	和氣	ant	len4-b01-20260715
大打出手	言歸於好	ant	len4-b01-20260715
渾渾噩噩	清醒	ant	len4-b01-20260715
渾渾噩噩	精明	ant	len4-b01-20260715
跌跌撞撞	穩健	ant	len4-b01-20260715
跌跌撞撞	從容	ant	len4-b01-20260715
相濡以沫	自私自利	ant	len4-b01-20260715
相濡以沫	見死不救	ant	len4-b01-20260715
平平安安	危在旦夕	ant	len4-b01-20260715
異軍突起	銷聲匿跡	ant	len4-b01-20260715
異軍突起	沒落	ant	len4-b01-20260715
異軍突起	一蹶不振	ant	len4-b01-20260715
灰飛煙滅	永垂不朽	ant	len4-b01-20260715
灰飛煙滅	長存	ant	len4-b01-20260715
灰飛煙滅	屹立不倒	ant	len4-b01-20260715
拋磚引玉	秘而不宣	ant	len4-b01-20260715
異曲同工	大相徑庭	ant	len4-b01-20260715
異曲同工	截然不同	ant	len4-b01-20260715
異曲同工	南轅北轍	ant	len4-b01-20260715
不絕於耳	鴉雀無聲	ant	len4-b01-20260715
不絕於耳	寂靜	ant	len4-b01-20260715
不絕於耳	悄無聲息	ant	len4-b01-20260715
十有八九	萬一	ant	len4-b01-20260715
十有八九	鮮有	ant	len4-b01-20260715
討人喜歡	討厭	ant	len4-b01-20260715
才華橫溢	才疏學淺	ant	len4-b01-20260715
身體力行	光説不做	ant	len4-b01-20260715
