head	tail	relation_type	batch_id
一年一度	天天	ant	len4-b02-20260715
一年一度	日復一日	ant	len4-b02-20260715
一年一度	經常	ant	len4-b02-20260715
一年到頭	一時半刻	ant	len4-b02-20260715
一年到頭	偶爾	ant	len4-b02-20260715
一年到頭	短暫	ant	len4-b02-20260715
一掃而光	堆積如山	ant	len4-b02-20260715
一掃而空	原封不動	ant	len4-b02-20260715
一掃而空	堆積如山	ant	len4-b02-20260715
一線生機	死路一條	ant	len4-b02-20260715
一線生機	無藥可救	ant	len4-b02-20260715
一線生機	絕境	ant	len4-b02-20260715
一聲不響	喧嘩	ant	len4-b02-20260715
一聲不響	高談闊論	ant	len4-b02-20260715
一舉成名	默默無聞	ant	len4-b02-20260715
一見傾心	日久生情	ant	len4-b02-20260715
一見傾心	無動於衷	ant	len4-b02-20260715
一見傾心	視若無睹	ant	len4-b02-20260715
一語道破	閃爍其詞	ant	len4-b02-20260715
一路平安	凶多吉少	ant	len4-b02-20260715
一門心思	三心兩意	ant	len4-b02-20260715
一顰一笑	冷麪	ant	len4-b02-20260715
一顰一笑	木然	ant	len4-b02-20260715
一飛沖天	一落千丈	ant	len4-b02-20260715
一飛沖天	一蹶不振	ant	len4-b02-20260715
一飛沖天	沉淪	ant	len4-b02-20260715
一鼓作氣	半途而廢	ant	len4-b02-20260715
三更半夜	光天化日	ant	len4-b02-20260715
三更半夜	正午	ant	len4-b02-20260715
三足鼎立	一枝獨秀	ant	len4-b02-20260715
三足鼎立	獨霸一方	ant	len4-b02-20260715
不值一提	至關重要	ant	len4-b02-20260715
不值一提	舉足輕重	ant	len4-b02-20260715
不冷不熱	熱情洋溢	ant	len4-b02-20260715
不冷不熱	狂熱	ant	len4-b02-20260715
不治之症	手到病除	ant	len4-b02-20260715
不治之症	藥到病除	ant	len4-b02-20260715
不知死活	謹小慎微	ant	len4-b02-20260715
不知死活	識時務	ant	len4-b02-20260715
不管不顧	瞻前顧後	ant	len4-b02-20260715
世世代代	一時半刻	ant	len4-b02-20260715
世世代代	曇花一現	ant	len4-b02-20260715
世世代代	短暫	ant	len4-b02-20260715
並肩作戰	分道揚鑣	ant	len4-b02-20260715
並肩作戰	單打獨鬥	ant	len4-b02-20260715
久別重逢	生離死別	ant	len4-b02-20260715
久負盛名	初出茅廬	ant	len4-b02-20260715
久負盛名	默默無聞	ant	len4-b02-20260715
五音不全	能歌善舞	ant	len4-b02-20260715
五音不全	音準	ant	len4-b02-20260715
交相輝映	相形見絀	ant	len4-b02-20260715
交相輝映	黯然失色	ant	len4-b02-20260715
亦步亦趨	獨闢蹊徑	ant	len4-b02-20260715
亭亭玉立	其貌不揚	ant	len4-b02-20260715
亭亭玉立	彎腰駝背	ant	len4-b02-20260715
今生今世	來世	ant	len4-b02-20260715
今生今世	前世	ant	len4-b02-20260715
代代相傳	失傳	ant	len4-b02-20260715
代代相傳	後繼無人	ant	len4-b02-20260715
以假亂真	名副其實	ant	len4-b02-20260715
以假亂真	真材實料	ant	len4-b02-20260715
以假亂真	貨真價實	ant	len4-b02-20260715
倖免於難	在劫難逃	ant	len4-b02-20260715
借刀殺人	單刀直入	ant	len4-b02-20260715
借刀殺人	親力親為	ant	len4-b02-20260715
傾國傾城	其貌不揚	ant	len4-b02-20260715
傾國傾城	醜陋	ant	len4-b02-20260715
傾盆大雨	晴空萬裏	ant	len4-b02-20260715
傾盆大雨	細雨	ant	len4-b02-20260715
先見之明	鼠目寸光	ant	len4-b02-20260715
光怪陸離	單調	ant	len4-b02-20260715
光怪陸離	平淡無奇	ant	len4-b02-20260715
光怪陸離	樸素	ant	len4-b02-20260715
兩手空空	滿載而歸	ant	len4-b02-20260715
冥思苦想	不假思索	ant	len4-b02-20260715
冷暖自知	不明就裏	ant	len4-b02-20260715
冷眼旁觀	挺身而出	ant	len4-b02-20260715
冷血動物	熱心	ant	len4-b02-20260715
冷血動物	熱血沸騰	ant	len4-b02-20260715
刀光劍影	和平	ant	len4-b02-20260715
刀光劍影	太平盛世	ant	len4-b02-20260715
刀光劍影	歌舞昇平	ant	len4-b02-20260715
別有洞天	千篇一律	ant	len4-b02-20260715
別有洞天	尋常	ant	len4-b02-20260715
別有洞天	平淡無奇	ant	len4-b02-20260715
前僕後繼	後繼無人	ant	len4-b02-20260715
前僕後繼	畏縮	ant	len4-b02-20260715
前僕後繼	臨陣脱逃	ant	len4-b02-20260715
前途無量	窮途末路	ant	len4-b02-20260715
勃然大怒	心平氣和	ant	len4-b02-20260715
動手動腳	安分守己	ant	len4-b02-20260715
動手動腳	循規蹈矩	ant	len4-b02-20260715
動手動腳	老實	ant	len4-b02-20260715
勤儉節約	鋪張浪費	ant	len4-b02-20260715
十之八九	萬一	ant	len4-b02-20260715
十之八九	鮮有	ant	len4-b02-20260715
千姿百態	千篇一律	ant	len4-b02-20260715
千姿百態	單調	ant	len4-b02-20260715
千姿百態	清一色	ant	len4-b02-20260715
千山萬水	近在咫尺	ant	len4-b02-20260715
半死不活	生龍活虎	ant	len4-b02-20260715
危機四伏	安然無恙	ant	len4-b02-20260715
可歌可泣	不足為奇	ant	len4-b02-20260715
可歌可泣	乏善可陳	ant	len4-b02-20260715
可歌可泣	平淡無奇	ant	len4-b02-20260715
叱吒風雲	無聲無息	ant	len4-b02-20260715
叱吒風雲	默默無聞	ant	len4-b02-20260715
各司其職	越俎代庖	ant	len4-b02-20260715
各抒己見	人云亦云	ant	len4-b02-20260715
各顯神通	一無所長	ant	len4-b02-20260715
各顯神通	平庸	ant	len4-b02-20260715
各顯神通	束手無策	ant	len4-b02-20260715
吊兒郎當	兢兢業業	ant	len4-b02-20260715
名符其實	名不副實	ant	len4-b02-20260715
含情脈脈	冷若冰霜	ant	len4-b02-20260715
含情脈脈	漠然	ant	len4-b02-20260715
含情脈脈	無情	ant	len4-b02-20260715
咬文嚼字	不求甚解	ant	len4-b02-20260715
咬文嚼字	囫圇吞棗	ant	len4-b02-20260715
咬文嚼字	大而化之	ant	len4-b02-20260715
咬緊牙關	叫苦連天	ant	len4-b02-20260715
咬緊牙關	張口結舌	ant	len4-b02-20260715
咬緊牙關	放棄	ant	len4-b02-20260715
哭哭啼啼	喜笑顏開	ant	len4-b02-20260715
哭哭啼啼	歡笑	ant	len4-b02-20260715
哭哭啼啼	破涕為笑	ant	len4-b02-20260715
哭喪着臉	喜笑顏開	ant	len4-b02-20260715
哭喪着臉	眉開眼笑	ant	len4-b02-20260715
唧唧喳喳	安靜	ant	len4-b02-20260715
唧唧喳喳	沉默寡言	ant	len4-b02-20260715
唧唧喳喳	鴉雀無聲	ant	len4-b02-20260715
唸唸有詞	啞口無言	ant	len4-b02-20260715
唸唸有詞	閉口不言	ant	len4-b02-20260715
啼笑皆非	從容不迫	ant	len4-b02-20260715
啼笑皆非	泰然自若	ant	len4-b02-20260715
善罷甘休	窮追不捨	ant	len4-b02-20260715
因果報應	僥倖	ant	len4-b02-20260715
地利人和	失道寡助	ant	len4-b02-20260715
地利人和	孤立無援	ant	len4-b02-20260715
地老天荒	曇花一現	ant	len4-b02-20260715
地老天荒	片刻	ant	len4-b02-20260715
地老天荒	轉瞬即逝	ant	len4-b02-20260715
坑坑窪窪	一馬平川	ant	len4-b02-20260715
坑坑窪窪	平整	ant	len4-b02-20260715
堆積如山	寥寥	ant	len4-b02-20260715
堆積如山	所剩無幾	ant	len4-b02-20260715
堆積如山	空空如也	ant	len4-b02-20260715
多管閒事	事不關己	ant	len4-b02-20260715
多管閒事	少管閒事	ant	len4-b02-20260715
多管閒事	明哲保身	ant	len4-b02-20260715
多管齊下	一意孤行	ant	len4-b02-20260715
多管齊下	單打一	ant	len4-b02-20260715
多管齊下	顧此失彼	ant	len4-b02-20260715
大呼小叫	沉默寡言	ant	len4-b02-20260715
大智若愚	鋒芒畢露	ant	len4-b02-20260715
大飽眼福	大失所望	ant	len4-b02-20260715
大飽眼福	掃興	ant	len4-b02-20260715
大驚失色	面不改色	ant	len4-b02-20260715
天下無雙	平平無奇	ant	len4-b02-20260715
天下無雙	普通	ant	len4-b02-20260715
天下無雙	比比皆是	ant	len4-b02-20260715
天之驕子	凡夫俗子	ant	len4-b02-20260715
天之驕子	普通人	ant	len4-b02-20260715
天真無邪	老奸巨猾	ant	len4-b02-20260715
天荒地老	曇花一現	ant	len4-b02-20260715
天荒地老	轉瞬即逝	ant	len4-b02-20260715
天高地厚	微不足道	ant	len4-b02-20260715
天高地厚	淺薄	ant	len4-b02-20260715
天高地厚	渺小	ant	len4-b02-20260715
如履薄冰	高枕無憂	ant	len4-b02-20260715
如此而已	豈止	ant	len4-b02-20260715
如沐春風	如坐針氈	ant	len4-b02-20260715
如痴如醉	漠然	ant	len4-b02-20260715
如痴如醉	無動於衷	ant	len4-b02-20260715
如花似玉	其貌不揚	ant	len4-b02-20260715
如花似玉	平庸	ant	len4-b02-20260715
如花似玉	醜陋	ant	len4-b02-20260715
如釋重負	如坐針氈	ant	len4-b02-20260715
始料未及	意料之中	ant	len4-b02-20260715
嫣然一笑	哭喪着臉	ant	len4-b02-20260715
嫣然一笑	怒目而視	ant	len4-b02-20260715
孤孤單單	成羣結隊	ant	len4-b02-20260715
孤孤單單	成雙成對	ant	len4-b02-20260715
孤孤單單	熱鬧	ant	len4-b02-20260715
孤軍奮戰	並肩作戰	ant	len4-b02-20260715
安安穩穩	提心吊膽	ant	len4-b02-20260715
察言觀色	視而不見	ant	len4-b02-20260715
察言觀色	遲鈍	ant	len4-b02-20260715
將心比心	刻薄	ant	len4-b02-20260715
將心比心	自私自利	ant	len4-b02-20260715
小打小鬧	大張旗鼓	ant	len4-b02-20260715
居安思危	掉以輕心	ant	len4-b02-20260715
層層疊疊	稀稀拉拉	ant	len4-b02-20260715
左鄰右舍	天涯海角	ant	len4-b02-20260715
左鄰右舍	孤家寡人	ant	len4-b02-20260715
左鄰右舍	舉目無親	ant	len4-b02-20260715
巧奪天工	拙劣	ant	len4-b02-20260715
巧奪天工	笨拙	ant	len4-b02-20260715
巧奪天工	粗製濫造	ant	len4-b02-20260715
年輕氣盛	沉穩	ant	len4-b02-20260715
年輕氣盛	穩重	ant	len4-b02-20260715
年輕氣盛	老成持重	ant	len4-b02-20260715
座無虛席	門可羅雀	ant	len4-b02-20260715
建功立業	一事無成	ant	len4-b02-20260715
引蛇出洞	打草	ant	len4-b02-20260715
引蛇出洞	打草驚蛇	ant	len4-b02-20260715
弦外之音	明説	ant	len4-b02-20260715
弦外之音	直言不諱	ant	len4-b02-20260715
張牙舞爪	和顏悦色	ant	len4-b02-20260715
張牙舞爪	文質彬彬	ant	len4-b02-20260715
張牙舞爪	温文爾雅	ant	len4-b02-20260715
彎彎曲曲	直線	ant	len4-b02-20260715
彎彎曲曲	筆直	ant	len4-b02-20260715
後起之秀	前輩	ant	len4-b02-20260715
從一而終	朝三暮四	ant	len4-b02-20260715
從一而終	見異思遷	ant	len4-b02-20260715
從早到晚	一時半刻	ant	len4-b02-20260715
心潮澎湃	心如止水	ant	len4-b02-20260715
心神不寧	心如止水	ant	len4-b02-20260715
心肝寶貝	冤家	ant	len4-b02-20260715
心肝寶貝	眼中釘	ant	len4-b02-20260715
心肝寶貝	肉中刺	ant	len4-b02-20260715
