head	reason	batch_id
一去不返	no_gradable_opposite	len4-b02-20260715
一般見識	no_gradable_opposite	len4-b02-20260715
三角函數	no_gradable_opposite	len4-b02-20260715
世界市場	no_gradable_opposite	len4-b02-20260715
中心思想	no_gradable_opposite	len4-b02-20260715
中等教育	no_gradable_opposite	len4-b02-20260715
主治醫生	no_gradable_opposite	len4-b02-20260715
二十四史	no_gradable_opposite	len4-b02-20260715
二氧化硅	no_gradable_opposite	len4-b02-20260715
五四運動	proper_name_or_deixis	len4-b02-20260715
五臟六腑	no_gradable_opposite	len4-b02-20260715
亞美尼亞	proper_name_or_deixis	len4-b02-20260715
交感神經	no_gradable_opposite	len4-b02-20260715
人文主義	no_gradable_opposite	len4-b02-20260715
人文科學	no_gradable_opposite	len4-b02-20260715
以權謀私	no_gradable_opposite	len4-b02-20260715
侵略戰爭	no_gradable_opposite	len4-b02-20260715
保守主義	no_gradable_opposite	len4-b02-20260715
修正主義	no_gradable_opposite	len4-b02-20260715
光譜分析	no_gradable_opposite	len4-b02-20260715
兩小無猜	no_gradable_opposite	len4-b02-20260715
八仙過海	no_gradable_opposite	len4-b02-20260715
公安人員	no_gradable_opposite	len4-b02-20260715
公用電話	no_gradable_opposite	len4-b02-20260715
冰糖葫蘆	no_gradable_opposite	len4-b02-20260715
出土文物	no_gradable_opposite	len4-b02-20260715
列寧主義	proper_name_or_deixis	len4-b02-20260715
加勒比海	proper_name_or_deixis	len4-b02-20260715
動態平衡	no_gradable_opposite	len4-b02-20260715
勞動強度	no_gradable_opposite	len4-b02-20260715
勢力範圍	no_gradable_opposite	len4-b02-20260715
化學性質	no_gradable_opposite	len4-b02-20260715
化學纖維	no_gradable_opposite	len4-b02-20260715
北愛爾蘭	proper_name_or_deixis	len4-b02-20260715
十月革命	proper_name_or_deixis	len4-b02-20260715
半殖民地	no_gradable_opposite	len4-b02-20260715
南昌起義	proper_name_or_deixis	len4-b02-20260715
博茨瓦納	proper_name_or_deixis	len4-b02-20260715
危地馬拉	proper_name_or_deixis	len4-b02-20260715
原始社會	no_gradable_opposite	len4-b02-20260715
原班人馬	no_gradable_opposite	len4-b02-20260715
取之不盡	no_gradable_opposite	len4-b02-20260715
古典主義	no_gradable_opposite	len4-b02-20260715
合成纖維	no_gradable_opposite	len4-b02-20260715
同等學歷	no_gradable_opposite	len4-b02-20260715
同軸電纜	no_gradable_opposite	len4-b02-20260715
商品流通	no_gradable_opposite	len4-b02-20260715
國際私法	no_gradable_opposite	len4-b02-20260715
圓桌會議	no_gradable_opposite	len4-b02-20260715
