head	tail
千山萬水	近在咫尺
千山萬水	一山之隔
千山萬水	咫尺天涯
一年一度	日復一日
一年一度	天天
一年一度	經常
粉身碎骨	毫髮無傷
粉身碎骨	安然無恙
粉身碎骨	完好無損
總而言之	細而言之
總而言之	具體來說
總而言之	詳細說來
傾國傾城	其貌不揚
傾國傾城	醜陋
傾國傾城	平庸之貌
柴米油鹽	山珍海味
柴米油鹽	錦衣玉食
今生今世	來生再世
今生今世	前世
今生今世	來世
有驚無險	凶多吉少
天下無雙	比比皆是
天下無雙	平平無奇
天下無雙	普通
愛崗敬業	玩忽職守
愛崗敬業	敷衍塞責
愛崗敬業	怠工
落花流水	完好如初
落花流水	安然無恙
落花流水	旗開得勝
運籌帷幄	束手無策
運籌帷幄	無計可施
運籌帷幄	手足無措
天真無邪	老奸巨猾
天真無邪	城府極深
雨過天晴	雪上加霜
風雲變幻	風平浪靜
風雲變幻	一成不變
風雲變幻	平靜
千姿百態	千篇一律
千姿百態	單調
千姿百態	清一色
危機四伏	安然無恙
開懷大笑	抱頭痛哭
開懷大笑	痛哭流涕
開懷大笑	泣不成聲
生老病死	長生不老
生老病死	青春永駐
竊竊私語	高談闊論
竊竊私語	大聲喧嘩
竊竊私語	公開演講
地老天荒	轉瞬即逝
地老天荒	曇花一現
地老天荒	片刻
是是非非	黑白分明
是是非非	是非分明
是是非非	清清楚楚
望子成龍	放任自流
望子成龍	不聞不問
知足常樂	貪得無厭
知足常樂	得隴望蜀
知足常樂	不知足
天荒地老	轉瞬即逝
天荒地老	曇花一現
海枯石爛	朝三暮四
海枯石爛	見異思遷
海枯石爛	反覆無常
張牙舞爪	溫文爾雅
張牙舞爪	和顏悅色
張牙舞爪	文質彬彬
交相輝映	黯然失色
交相輝映	相形見絀
叱吒風雲	默默無聞
叱吒風雲	籍籍無名
叱吒風雲	無聲無息
排山倒海	和風細雨
排山倒海	溫柔
排山倒海	輕柔
男婚女嫁	終身不娶
男婚女嫁	獨身
男婚女嫁	不婚
開天闢地	墨守成規
開天闢地	因循守舊
開天闢地	故步自封
並肩作戰	各自為戰
並肩作戰	單打獨鬥
並肩作戰	分道揚鑣
如釋重負	如坐針氈
氣勢磅礴	氣息奄奄
氣勢磅礴	萎靡不振
氣勢磅礴	有氣無力
美輪美奐	破敗不堪
美輪美奐	殘破
美輪美奐	簡陋
萬水千山	近在咫尺
萬水千山	一山之隔
輾轉反側	酣然入夢
輾轉反側	倒頭就睡
輾轉反側	安睡
如痴如醉	無動於衷
如痴如醉	清醒冷靜
如痴如醉	漠然
生動活潑	死氣沉沉
生動活潑	呆板
生動活潑	沉悶
天高地厚	微不足道
天高地厚	淺薄
天高地厚	渺小
星星點點	密密麻麻
星星點點	連成一片
星星點點	鋪天蓋地
漸入佳境	每況愈下
美不勝收	慘不忍睹
與世無爭	爭強好勝
啼笑皆非	泰然自若
啼笑皆非	從容不迫
有血有肉	空洞無物
有血有肉	紙上談兵
有血有肉	抽象
絢麗多彩	單調乏味
絢麗多彩	灰暗
絢麗多彩	平淡
大呼小叫	沉默寡言
大呼小叫	輕聲細語
大呼小叫	悄聲
揚眉吐氣	垂頭喪氣
揚眉吐氣	灰心喪氣
揚眉吐氣	忍氣吞聲
爭分奪秒	慢條斯理
爭分奪秒	磨磨蹭蹭
爭分奪秒	拖拖拉拉
大驚失色	面不改色
情竇初開	情竇已開
情竇初開	老於世故
有生以來	有生之年
有生以來	從未
潸然淚下	破涕為笑
潸然淚下	喜極而泣
潸然淚下	開懷大笑
繁榮昌盛	蕭條衰落
腰痠背痛	身輕體健
腰痠背痛	精神抖擻
腰痠背痛	健康
傾盆大雨	滴雨未下
傾盆大雨	晴空萬里
傾盆大雨	細雨
心神不寧	心如止水
忽冷忽熱	始終如一
忽冷忽熱	穩定
忽冷忽熱	一貫
歡呼雀躍	垂頭喪氣
舉步維艱	一帆風順
恭恭敬敬	傲慢無禮
恭恭敬敬	輕慢
恭恭敬敬	不敬
真真假假	一清二楚
真真假假	真假分明
真真假假	確鑿
載歌載舞	默默無言
載歌載舞	沉悶
載歌載舞	肅穆
長途跋涉	近在咫尺
長途跋涉	一步之遙
長途跋涉	唾手可得
世世代代	曇花一現
世世代代	一時半刻
世世代代	短暫
打成一片	格格不入
打成一片	分道揚鑣
打成一片	水火不容
振奮人心	令人沮喪
振奮人心	灰心
振奮人心	打擊士氣
浮想聯翩	大腦空白
浮想聯翩	一片空白
浮想聯翩	無思無想
碩果累累	一無所獲
碩果累累	顆粒無收
碩果累累	空手而回
風雨無阻	半途而廢
風雨無阻	因故取消
風雨無阻	望而卻步
兩手空空	滿載而歸
冷眼旁觀	挺身而出
摸爬滾打	養尊處優
摸爬滾打	坐享其成
摸爬滾打	嬌生慣養
黯然神傷	興高采烈
不值一提	舉足輕重
不值一提	至關重要
不值一提	值得一提
借刀殺人	親力親為
借刀殺人	當面交鋒
借刀殺人	單刀直入
溢於言表	深藏不露
溢於言表	不動聲色
溢於言表	內斂
難上加難	易如反掌
亭亭玉立	弯腰駝背
亭亭玉立	其貌不揚
刀光劍影	歌舞昇平
刀光劍影	太平盛世
刀光劍影	和平
左鄰右舍	天涯海角
左鄰右舍	舉目無親
左鄰右舍	孤家寡人
建功立業	一事無成
建功立業	碌碌無為
建功立業	虛度年華
紈絝子弟	寒門子弟
紈絝子弟	布衣
紈絝子弟	清貧學子
統籌兼顧	顧此失彼
統籌兼顧	單打一
統籌兼顧	片面
層層疊疊	單薄一層
層層疊疊	稀稀拉拉
昏迷不醒	神志清醒
昏迷不醒	蘇醒
昏迷不醒	清醒
難以啓齒	直言不諱
風塵僕僕	容光煥發
風塵僕僕	神清氣爽
風塵僕僕	悠閒自在
風度翩翩	舉止粗魯
風度翩翩	猥瑣
風度翩翩	邋遢
一見傾心	日久生情
一見傾心	無動於衷
一見傾心	視若無睹
各顯神通	束手無策
各顯神通	一無所長
各顯神通	平庸
心潮澎湃	心如止水
忘乎所以	謹言慎行
捫心自問	文過飾非
捫心自問	推諉責任
捫心自問	死不認錯
紛紛揚揚	寥寥無幾
紛紛揚揚	靜悄悄
紛紛揚揚	稀稀落落
靈機一動	一籌莫展
靈機一動	呆若木雞
靈機一動	無計可施
一鼓作氣	半途而廢
可歌可泣	平淡無奇
可歌可泣	不足為奇
可歌可泣	乏善可陳
後起之秀	前輩元老
後起之秀	老將
後起之秀	前輩
早出晚歸	晝伏夜出
早出晚歸	懶散
早出晚歸	晚出早歸
漫無邊際	言簡意賅
緊急狀態	平常狀態
緊急狀態	和平時期
緊急狀態	鬆弛
多管閒事	少管閒事
多管閒事	事不關己
多管閒事	明哲保身
模稜兩可	斬釘截鐵
經久不衰	曇花一現
行色匆匆	從容不迫
行色匆匆	慢悠悠
行色匆匆	悠閒
高深莫測	淺顯易懂
高深莫測	一目了然
高深莫測	通俗
搖頭晃腦	正襟危坐
搖頭晃腦	端莊
搖頭晃腦	肅立
曾經滄海	少不更事
曾經滄海	初出茅廬
曾經滄海	閱歷淺
有增無減	日漸減少
瞞天過海	光明正大
聞名遐邇	默默無聞
財大氣粗	家徒四壁
財大氣粗	囊中羞澀
財大氣粗	清貧
不管不顧	瞻前顧後
光怪陸離	平淡無奇
光怪陸離	單調
光怪陸離	樸素
嫣然一笑	怒目而視
嫣然一笑	哭喪着臉
嫣然一笑	橫眉冷對
火眼金睛	有眼無珠
火眼金睛	盲目
火眼金睛	看走眼
英年早逝	長命百歲
英年早逝	壽終正寢
英年早逝	高壽
街頭巷尾	窮鄉僻壤
街頭巷尾	深山老林
街頭巷尾	人跡罕至
金光閃閃	暗淡無光
金光閃閃	黯淡
金光閃閃	無光
頭暈目眩	神清氣爽
頭暈目眩	頭腦清醒
頭暈目眩	清醒
以假亂真	貨真價實
以假亂真	真材實料
以假亂真	名副其實
哭哭啼啼	喜笑顏開
哭哭啼啼	破涕為笑
哭哭啼啼	歡笑
彎彎曲曲	筆直
彎彎曲曲	直線
朝朝暮暮	一時半刻
朝朝暮暮	短暫
朝朝暮暮	片刻
鏡花水月	真實可見
鏡花水月	觸手可及
鏡花水月	實實在在
由淺入深	由深入淺
由淺入深	囫圇吞棗
由淺入深	不求甚解
自作主張	請示彙報
自作主張	聽從安排
自作主張	言聽計從
不冷不熱	熱情洋溢
不冷不熱	狂熱
不冷不熱	極冷
座無虛席	門可羅雀
慌慌張張	從容不迫
活靈活現	死氣沉沉
活靈活現	呆板
活靈活現	平淡
自尋煩惱	自得其樂
自尋煩惱	心寬體胖
自尋煩惱	想開
逢場作戲	認真對待
逢場作戲	一本正經
逢場作戲	當真
遠近聞名	默默無聞
遠近聞名	籍籍無名
遠近聞名	無名
遠道而來	近在咫尺
遠道而來	就近
遠道而來	本地
一門心思	三心兩意
三足鼎立	一枝獨秀
三足鼎立	獨霸一方
三足鼎立	一家獨大
勃然大怒	心平氣和
含情脈脈	冷若冰霜
含情脈脈	無情
含情脈脈	漠然
朝思暮想	拋諸腦後
楚楚動人	其貌不揚
楚楚動人	醜陋
楚楚動人	平庸
靈丹妙藥	江湖騙術
靈丹妙藥	無用
靈丹妙藥	假藥
一線生機	死路一條
一線生機	無藥可救
一線生機	絕境
始料未及	意料之中
才子佳人	凡夫俗子
才子佳人	普通人
打抱不平	袖手旁觀
打道回府	上路出發
打道回府	啟程
打道回府	遠行
文武雙全	一無所長
文武雙全	四肢發達
文武雙全	單調
林林總總	寥寥無幾
林林總總	單一
林林總總	稀少
環環相扣	支離破碎
環環相扣	脫節
環環相扣	互不相干
矇在鼓裏	了如指掌
矇在鼓裏	知情
矇在鼓裏	心知肚明
