head	reason	batch_id
開放電路	no_gradable_opposite	len4-b06-20260715
國際公制	no_gradable_opposite	len4-b06-20260715
丙種射線	no_gradable_opposite	len4-b06-20260715
人工呼吸	no_gradable_opposite	len4-b06-20260715
土木工程	no_gradable_opposite	len4-b06-20260715
愛沙尼亞	proper_name_or_deixis	len4-b06-20260715
流水作業	no_gradable_opposite	len4-b06-20260715
高等教育	no_gradable_opposite	len4-b06-20260715
一身兩役	no_gradable_opposite	len4-b06-20260715
縫縫連連	no_gradable_opposite	len4-b06-20260715
轉氨基酶	no_gradable_opposite	len4-b06-20260715
麟角鳳觜	no_gradable_opposite	len4-b06-20260715
乙種射線	no_gradable_opposite	len4-b06-20260715
中華民國	proper_name_or_deixis	len4-b06-20260715
人工智能	no_gradable_opposite	len4-b06-20260715
嘉年華會	proper_name_or_deixis	len4-b06-20260715
大年初一	no_gradable_opposite	len4-b06-20260715
巴勒斯坦	proper_name_or_deixis	len4-b06-20260715
格林威治	proper_name_or_deixis	len4-b06-20260715
法蘭克福	proper_name_or_deixis	len4-b06-20260715
烏魯木齊	proper_name_or_deixis	len4-b06-20260715
象形文字	no_gradable_opposite	len4-b06-20260715
釋迦牟尼	proper_name_or_deixis	len4-b06-20260715
隱形眼鏡	no_gradable_opposite	len4-b06-20260715
乙種粒子	no_gradable_opposite	len4-b06-20260715
不祧之祖	no_gradable_opposite	len4-b06-20260715
中篇小説	no_gradable_opposite	len4-b06-20260715
人工免疫	no_gradable_opposite	len4-b06-20260715
仰卧起坐	no_gradable_opposite	len4-b06-20260715
保護關税	no_gradable_opposite	len4-b06-20260715
個人衞生	no_gradable_opposite	len4-b06-20260715
偵探小説	no_gradable_opposite	len4-b06-20260715
全勞動力	no_gradable_opposite	len4-b06-20260715
公共衞生	no_gradable_opposite	len4-b06-20260715
刀山劍林	no_gradable_opposite	len4-b06-20260715
利比裏亞	proper_name_or_deixis	len4-b06-20260715
劈風斬浪	no_gradable_opposite	len4-b06-20260715
力排眾議	no_gradable_opposite	len4-b06-20260715
勢利小人	no_gradable_opposite	len4-b06-20260715
勤雜人員	no_gradable_opposite	len4-b06-20260715
包產到户	no_gradable_opposite	len4-b06-20260715
地震震級	no_gradable_opposite	len4-b06-20260715
大政方針	no_gradable_opposite	len4-b06-20260715
天然免疫	no_gradable_opposite	len4-b06-20260715
太平龍頭	no_gradable_opposite	len4-b06-20260715
定海神針	no_gradable_opposite	len4-b06-20260715
扭力天平	no_gradable_opposite	len4-b06-20260715
拉脱維亞	proper_name_or_deixis	len4-b06-20260715
文藝語言	no_gradable_opposite	len4-b06-20260715
有性雜交	no_gradable_opposite	len4-b06-20260715
有理函數	no_gradable_opposite	len4-b06-20260715
正當防衞	no_gradable_opposite	len4-b06-20260715
武俠小説	no_gradable_opposite	len4-b06-20260715
氣象衞星	no_gradable_opposite	len4-b06-20260715
温得和克	proper_name_or_deixis	len4-b06-20260715
烏蘭巴託	proper_name_or_deixis	len4-b06-20260715
無名腫毒	no_gradable_opposite	len4-b06-20260715
無線電台	no_gradable_opposite	len4-b06-20260715
物質損耗	no_gradable_opposite	len4-b06-20260715
特惠關税	no_gradable_opposite	len4-b06-20260715
犁庭掃閭	no_gradable_opposite	len4-b06-20260715
環境衞生	no_gradable_opposite	len4-b06-20260715
環狀軟骨	no_gradable_opposite	len4-b06-20260715
生猛海鮮	no_gradable_opposite	len4-b06-20260715
生花之筆	no_gradable_opposite	len4-b06-20260715
白熾電燈	no_gradable_opposite	len4-b06-20260715
直屬機關	no_gradable_opposite	len4-b06-20260715
相對濕度	no_gradable_opposite	len4-b06-20260715
看守政府	no_gradable_opposite	len4-b06-20260715
短篇小説	no_gradable_opposite	len4-b06-20260715
祖傳秘方	no_gradable_opposite	len4-b06-20260715
空地導彈	no_gradable_opposite	len4-b06-20260715
空氣軸承	no_gradable_opposite	len4-b06-20260715
章回小説	no_gradable_opposite	len4-b06-20260715
精衞填海	no_gradable_opposite	len4-b06-20260715
紅不稜登	no_gradable_opposite	len4-b06-20260715
細菌肥料	no_gradable_opposite	len4-b06-20260715
絕對温度	no_gradable_opposite	len4-b06-20260715
絕對濕度	no_gradable_opposite	len4-b06-20260715
經濟雜交	no_gradable_opposite	len4-b06-20260715
總的來説	no_gradable_opposite	len4-b06-20260715
群眾組織	no_gradable_opposite	len4-b06-20260715
血統工人	no_gradable_opposite	len4-b06-20260715
衞生設備	no_gradable_opposite	len4-b06-20260715
言情小説	no_gradable_opposite	len4-b06-20260715
説唱文學	no_gradable_opposite	len4-b06-20260715
趙公元帥	no_gradable_opposite	len4-b06-20260715
輔助貨幣	no_gradable_opposite	len4-b06-20260715
輸油管線	no_gradable_opposite	len4-b06-20260715
通訊衞星	no_gradable_opposite	len4-b06-20260715
速效肥料	no_gradable_opposite	len4-b06-20260715
過冬作物	no_gradable_opposite	len4-b06-20260715
長篇小説	no_gradable_opposite	len4-b06-20260715
長線產品	no_gradable_opposite	len4-b06-20260715
隨遇平衡	no_gradable_opposite	len4-b06-20260715
雀巢咖啡	proper_name_or_deixis	len4-b06-20260715
電弧焊接	no_gradable_opposite	len4-b06-20260715
電熱水壺	no_gradable_opposite	len4-b06-20260715
飛潛動植	no_gradable_opposite	len4-b06-20260715
高氣壓區	no_gradable_opposite	len4-b06-20260715
高温作業	no_gradable_opposite	len4-b06-20260715
鼻化元音	no_gradable_opposite	len4-b06-20260715
