head	tail	relation_type	batch_id
一仍舊貫	推陳出新	ant	len4-b06-20260715
一仍舊貫	改弦易轍	ant	len4-b06-20260715
一仍舊貫	革新	ant	len4-b06-20260715
一口咬定	含糊其詞	ant	len4-b06-20260715
一吐為快	守口如瓶	ant	len4-b06-20260715
一得之愚	卓見	ant	len4-b06-20260715
一得之愚	真知灼見	ant	len4-b06-20260715
一得之愚	高見	ant	len4-b06-20260715
一怒之下	心平氣和	ant	len4-b06-20260715
一手一足	人多勢眾	ant	len4-b06-20260715
一般來説	例外	ant	len4-b06-20260715
一般來説	罕見	ant	len4-b06-20260715
一般説來	例外	ant	len4-b06-20260715
一般説來	罕見	ant	len4-b06-20260715
一路風塵	安步當車	ant	len4-b06-20260715
一路風塵	安逸	ant	len4-b06-20260715
一鳴驚人	默默無聞	ant	len4-b06-20260715
七老八十	年幼	ant	len4-b06-20260715
七老八十	豆蔻年華	ant	len4-b06-20260715
七高八低	一馬平川	ant	len4-b06-20260715
七高八低	平整	ant	len4-b06-20260715
不可理喻	通情達理	ant	len4-b06-20260715
不為人知	家喻户曉	ant	len4-b06-20260715
不為人知	廣為人知	ant	len4-b06-20260715
不為人知	知名	ant	len4-b06-20260715
不為已甚	趕盡殺絕	ant	len4-b06-20260715
不為已甚	過分	ant	len4-b06-20260715
不識抬舉	受寵若驚	ant	len4-b06-20260715
不識抬舉	感恩	ant	len4-b06-20260715
不識抬舉	識趣	ant	len4-b06-20260715
不足為怪	不可思議	ant	len4-b06-20260715
不足為怪	咄咄怪事	ant	len4-b06-20260715
不足為怪	奇怪	ant	len4-b06-20260715
不足為憑	真憑實據	ant	len4-b06-20260715
不足為訓	可取	ant	len4-b06-20260715
久慕盛名	無名	ant	len4-b06-20260715
久慕盛名	素昧平生	ant	len4-b06-20260715
乞哀告憐	不卑不亢	ant	len4-b06-20260715
乞哀告憐	威武不屈	ant	len4-b06-20260715
乞哀告憐	強硬	ant	len4-b06-20260715
二話不説	囉嗦	ant	len4-b06-20260715
二話不説	猶豫不決	ant	len4-b06-20260715
二話不説	討價還價	ant	len4-b06-20260715
五日京兆	穩定	ant	len4-b06-20260715
亭台樓閣	破瓦寒窯	ant	len4-b06-20260715
亭台樓閣	簡陋	ant	len4-b06-20260715
亭台樓閣	茅屋	ant	len4-b06-20260715
人情世故	單純	ant	len4-b06-20260715
人情世故	天真	ant	len4-b06-20260715
人琴俱亡	健在	ant	len4-b06-20260715
人琴俱亡	長存	ant	len4-b06-20260715
令人生畏	可親	ant	len4-b06-20260715
令人生畏	和藹可親	ant	len4-b06-20260715
令人生畏	親切	ant	len4-b06-20260715
以防不測	大意	ant	len4-b06-20260715
以防不測	掉以輕心	ant	len4-b06-20260715
企足而待	不屑一顧	ant	len4-b06-20260715
企足而待	漠視	ant	len4-b06-20260715
企足而待	置之不理	ant	len4-b06-20260715
倒果為因	前因後果	ant	len4-b06-20260715
倒果為因	正因	ant	len4-b06-20260715
假冒偽劣	貨真價實	ant	len4-b06-20260715
偷合苟容	特立獨行	ant	len4-b06-20260715
傻裏傻氣	機靈	ant	len4-b06-20260715
傻裏傻氣	聰明	ant	len4-b06-20260715
入土為安	不安	ant	len4-b06-20260715
入土為安	遊魂	ant	len4-b06-20260715
公諸於世	秘而不宣	ant	len4-b06-20260715
其樂融融	劍拔弩張	ant	len4-b06-20260715
冗詞贅句	簡潔	ant	len4-b06-20260715
冗詞贅句	精煉	ant	len4-b06-20260715
冗詞贅句	言簡意賅	ant	len4-b06-20260715
刻不容緩	從容不迫	ant	len4-b06-20260715
前因後果	割裂	ant	len4-b06-20260715
前因後果	片面	ant	len4-b06-20260715
劃一不二	彈性	ant	len4-b06-20260715
化為烏有	實存	ant	len4-b06-20260715
化為烏有	從無到有	ant	len4-b06-20260715
化為烏有	應運而生	ant	len4-b06-20260715
化險為夷	雪上加霜	ant	len4-b06-20260715
化雨春風	暴虐	ant	len4-b06-20260715
