head	tail
一動不動	翩翩起舞
一方	四面八方
一枝獨秀	平分秋色
一氣之下	心平氣和
一生一世	片刻
一笑置之	耿耿於懷
不冷不熱	熱情洋溢
不堪設想	安然無恙
不絕於耳	寂靜
不費吹灰之力	辛辛苦苦
人來人往	門可羅雀
以防萬一	大意
偃旗息鼓	緊鑼密鼓
價廉物美	昂貴
光明正大	見不得人
冠冕堂皇	鬼鬼祟祟
切實有效	形同虛設
十有八九	鮮有
南轅北轍	異曲同工
危在旦夕	平平安安
原封不動	蕩然無存
各奔東西	抱成一團
埋沒	發揚光大
埋頭苦幹	舞文弄墨
多姿多彩	枯燥
娓娓道來	語無倫次
存疑	毫無疑問
孤注一擲	穩紮穩打
實實在在	海市蜃樓
局部	方方面面
平淡無奇	驚世駭俗
徹頭徹尾	有頭無尾
心安理得	過意不去
忙裏偷閒	連軸轉
怨天尤人	無怨無悔
悄無聲息	撼天動地
情有獨鍾	見異思遷
意料之中	意料之外
所剩無幾	豐富
接踵而至	門可羅雀
日日夜夜	短暫
時至今日	起初
晶瑩剔透	渾濁
暈頭轉向	鎮定
沒落	異軍突起
海闊天空	鼠目寸光
無足輕重	至關重要
絞盡腦汁	脱口而出
輕鬆	辛辛苦苦
風口浪尖	風平浪靜
一年一度	天天
一時半刻	朝朝暮暮
一步之遙	長途跋涉
一見傾心	無動於衷
一顰一笑	冷麪
不求甚解	咬文嚼字
並肩作戰	單打獨鬥
事不關己	多管閒事
人滿為患	虛位以待
今生今世	前世
借刀殺人	單刀直入
初出茅廬	曾經滄海
勤儉節約	鋪張浪費
區區小事	終身大事
十之八九	鮮有
可歌可泣	平淡無奇
含垢忍辱	揚眉吐氣
哭喪着臉	嫣然一笑
啟程	打道回府
啼笑皆非	泰然自若
善罷甘休	窮追不捨
天下無雙	比比皆是
天高地厚	淺薄
如坐針氈	如沐春風
安然無恙	落花流水
安然無恙	鼻青臉腫
完好	滿目瘡痍
容光煥發	風塵僕僕
平靜	翻江倒海
引蛇出洞	打草驚蛇
心平氣和	怒火中燒
心肝寶貝	眼中釘
志在必得	隨意
恭恭敬敬	輕慢
投其所好	掃興
振奮人心	灰心
春風化雨	疾言厲色
晴空萬裏	雷轟電閃
暴露無遺	遮風擋雨
本地	遠道而來
標新立異	約定俗成
樸素	雍容華貴
狐朋狗友	良師益友
環環相扣	脱節
知足常樂	貪婪無厭
紛紛揚揚	靜悄悄
臨陣脱逃	赴湯蹈火
自尋煩惱	自得其樂
興高采烈	黯然神傷
遠近聞名	默默無聞
一來二去	忽然
一命嗚呼	借屍還魂
一哄而上	退去
一唱一和	對立
一錘定音	夜長夢多
不可告人	光明正大
不堪入耳	百聽不厭
不檢點	守身如玉
乒乒乓乓	靜悄悄
來路不明	正當
侵佔	物歸原主
偃旗息鼓	敲鑼打鼓
停筆	奮筆疾書
傑出	等閒之輩
光明正大	探頭探腦
刨根問底	淺嘗輒止
剛愎自用	剛柔相濟
匆匆離去	留連忘返
各自為政	榮辱與共
問心無愧	心中有鬼
善始善終	草草收場
喝西北風	飽食
嗲聲嗲氣	義正詞嚴
因小失大	權衡
垂頭喪氣	洋洋自得
大張旗鼓	悄然無聲
大難臨頭	安然
大雪紛飛	烈日
安居	闖蕩江湖
寢食難安	心安理得
恰如其分	言過其實
改弦易轍	重操舊業
整齊	衣冠不整
日以繼夜	朝九晚五
日曬雨淋	足不出户
明哲保身	自找麻煩
有口皆碑	過街老鼠
欺軟怕硬	見義勇為
歡聲笑語	鬼哭狼嚎
正色	笑掉大牙
滴酒不沾	酩酊大醉
物盡其用	騎馬找馬
百無禁忌	謹小慎微
盡忠職守	監守自盜
知根知底	素昧平生
秘而不宣	通風報信
自取滅亡	自救
貽笑大方	驚豔
遊人如織	門可羅雀
鬼哭狼嚎	鶯歌燕舞
一時一刻	經年累月
一目十行	細讀
下屬	第一把手
不如	無出其右
不求甚解	逐字逐句
不謀私利	惟利是圖
不足為奇	咄咄怪事
不足為怪	咄咄怪事
乘興而來	敗興而歸
事不關己	天下興亡
五毒俱全	純潔
五短身材	偉岸
作惡多端	行善積德
俯拾皆是	鳳毛麟角
傷身	益壽延年
傾城傾國	其貌不揚
光風霽月	烏煙瘴氣
冷若冰霜	滿腔熱忱
力透紙背	無力
十指連心	麻木不仁
半老徐娘	黃花閨女
反咬一口	認錯
同工不同酬	同工同酬
名不符實	名副其實
單方面	有來有往
固守	蠶食鯨吞
地靈人傑	窮山惡水
地靈人傑	荒涼
守口如瓶	街談巷議
安然無恙	皮開肉綻
官樣文章	實際
富國強兵	貧弱
實事求是	誇大其辭
幫倒忙	礙手礙腳
心滿意足	滿腹牢騷
悲喜交集	無動於衷
愛民如子	魚肉百姓
指指點點	默不作聲
改弦易轍	故伎重演
數九寒天	炎熱
望風而逃	迎頭痛擊
本地	遠渡重洋
浩然之氣	邪氣
無出其右	相形見絀
煩惱	賞心樂事
疏遠	親如一家
直言不諱	話裏有話
耳聽八方	閉塞
膀大腰圓	骨頭架子
足不出户	遠渡重洋
一表人材	平庸
七扭八歪	筆直
下車伊始	老資格
不相上下	判若雲泥
中規中矩	怪聲怪氣
事與願違	遂心如意
他鄉	本鄉本土
俗人	善男信女
保命	飛蛾投火
借古諷今	明説
光前裕後	敗家
冷淡	卿卿我我
凡夫俗子	瓊枝玉葉
凹凸不平	平整
判若雲泥	半斤八兩
勇敢	鴕鳥政策
務實	戴盆望天
勞碌	逍遙自得
司空見慣	蜀犬吠日
吃喝玩樂	吃苦
吃喝玩樂	艱苦奮鬥
嘰嘰嘎嘎	安靜
土生土長	移民
太平盛世	腥風血雨
夾七夾八	有條有理
嬌弱	銅筋鐵骨
安全	萬死一生
完勝	片甲不存
寡言	輕嘴薄舌
實事求是	聽風是雨
尋常	怪誕不經
怪聲怪氣	正常
悍然不顧	瞻前顧後
懸樑刺股	遊手好閒
手足情深	煮豆燃萁
抱殘守缺	棄舊圖新
拐彎抹角	直抒己見
推本溯源	淺嘗輒止
擠擠插插	空空蕩蕩
有眼無珠	鑑貌辨色
求證	聽風是雨
清醒	看朱成碧
滴水成冰	鑠石流金
無動於衷	驚喜交集
無緣	適逢其會
熄滅	薪盡火傳
生疏	目無全牛
語無倫次	錦心繡口
謹言慎行	輕嘴薄舌
頭角崢嶸	默默無聞
一仍舊貫	推陳出新
一得之愚	卓見
一般來説	例外
一般説來	罕見
不卑不亢	看人眉睫
不堪一擊	萬裏長城
不成文	明文規定
不足為怪	奇怪
不足為訓	可取
中規中矩	怪裏怪氣
久慕盛名	素昧平生
乞哀告憐	強硬
令人生畏	可親
全面	管窺所及
公正	無私有弊
冷清	肩摩踵接
利落	滴裏嘟嚕
勢均力敵	敵眾我寡
化為烏有	實存
化為烏有	應運而生
博學多才	略識之無
即景生情	無情
和平	白色恐怖
大手大腳	數米而炊
天差地別	彼此彼此
如醉如痴	漠然
如魚得水	魚遊釜中
察察為明	寬容
工力悉敵	懸殊
平庸	美若天仙
弱	船堅炮利
心平氣和	悲憤填膺
忘我工作	敷衍
指鹿為馬	指點迷津
揮霍無度	數米而炊
數米而炊	闊綽
有限	莫可指數
望風捕影	真憑實據
格格不入	隨鄉入鄉
機靈	渾頭渾腦
殃及池魚	雞犬昇天
毫髮無傷	遍體鱗傷
水米無交	親密
無理	説得過去
畫蛇添足	畫龍點睛
發人深醒	麻木不仁
磕頭碰腦	順風順水
稚氣未脱	老成持重
説來話長	長話短説
走馬赴任	離職
