head	tail	relation_type	batch_id
細妹	家姐	ant	post-syn-ant-b02-20260718
幾好	好衰	ant	post-syn-ant-b02-20260718
講真	講大話	ant	post-syn-ant-b02-20260718
講真	呃人	ant	post-syn-ant-b02-20260718
細細聲	大聲	ant	post-syn-ant-b02-20260718
細細聲	嘈	ant	post-syn-ant-b02-20260718
陣間	而家	ant	post-syn-ant-b02-20260718
陣間	即刻	ant	post-syn-ant-b02-20260718
唔多	好多	ant	post-syn-ant-b02-20260718
唔錯	好衰	ant	post-syn-ant-b02-20260718
留低	走	ant	post-syn-ant-b02-20260718
留低	離開	ant	post-syn-ant-b02-20260718
裏便	外面	ant	post-syn-ant-b02-20260718
裏便	外便	ant	post-syn-ant-b02-20260718
大嗌	細細聲	ant	post-syn-ant-b02-20260718
大嗌	噤聲	ant	post-syn-ant-b02-20260718
仲未	已經	ant	post-syn-ant-b02-20260718
仲未	早就	ant	post-syn-ant-b02-20260718
搞掂	搞唔掂	ant	post-syn-ant-b02-20260718
搞掂	失敗	ant	post-syn-ant-b02-20260718
冇問題	有問題	ant	post-syn-ant-b02-20260718
埋嚟	走開	ant	post-syn-ant-b02-20260718
埋嚟	離開	ant	post-syn-ant-b02-20260718
行埋	行開	ant	post-syn-ant-b02-20260718
衰人	好人	ant	post-syn-ant-b02-20260718
衰人	善人	ant	post-syn-ant-b02-20260718
傻仔	聰明	ant	post-syn-ant-b02-20260718
傻仔	精明	ant	post-syn-ant-b02-20260718
唔舒服	舒服	ant	post-syn-ant-b02-20260718
好靚	核突	ant	post-syn-ant-b02-20260718
好靚	醜	ant	post-syn-ant-b02-20260718
好靚	難看	ant	post-syn-ant-b02-20260718
講笑	認真	ant	post-syn-ant-b02-20260718
夠膽	驚	ant	post-syn-ant-b02-20260718
夠膽	膽小	ant	post-syn-ant-b02-20260718
後便	前面	ant	post-syn-ant-b02-20260718
後便	前便	ant	post-syn-ant-b02-20260718
食嘢	絕食	ant	post-syn-ant-b02-20260718
食嘢	斷食	ant	post-syn-ant-b02-20260718
每日	偶爾	ant	post-syn-ant-b02-20260718
每日	間中	ant	post-syn-ant-b02-20260718
大把	冇乜	ant	post-syn-ant-b02-20260718
大把	稀少	ant	post-syn-ant-b02-20260718
收埋	公開	ant	post-syn-ant-b02-20260718
好味	難食	ant	post-syn-ant-b02-20260718
好味	難吃	ant	post-syn-ant-b02-20260718
做嘢	休息	ant	post-syn-ant-b02-20260718
做嘢	偷懶	ant	post-syn-ant-b02-20260718
落車	上車	ant	post-syn-ant-b02-20260718
細路仔	大人	ant	post-syn-ant-b02-20260718
冇用	有用	ant	post-syn-ant-b02-20260718
老細	下屬	ant	post-syn-ant-b02-20260718
老細	打工仔	ant	post-syn-ant-b02-20260718
阻住	讓路	ant	post-syn-ant-b02-20260718
阻住	放行	ant	post-syn-ant-b02-20260718
入嚟	出去	ant	post-syn-ant-b02-20260718
好返	惡化	ant	post-syn-ant-b02-20260718
特登	無意	ant	post-syn-ant-b02-20260718
傾計	收聲	ant	post-syn-ant-b02-20260718
傾計	噤聲	ant	post-syn-ant-b02-20260718
好朋友	敵人	ant	post-syn-ant-b02-20260718
好朋友	仇人	ant	post-syn-ant-b02-20260718
在線	離線	ant	post-syn-ant-b02-20260718
無謂	必要	ant	post-syn-ant-b02-20260718
天台	地庫	ant	post-syn-ant-b02-20260718
這裡	嗰度	ant	post-syn-ant-b02-20260718
求其	認真	ant	post-syn-ant-b02-20260718
笑笑口	愁眉	ant	post-syn-ant-b02-20260718
下個	上個	ant	post-syn-ant-b02-20260718
估到	估唔到	ant	post-syn-ant-b02-20260718
面紅	面青	ant	post-syn-ant-b02-20260718
等陣	即刻	ant	post-syn-ant-b02-20260718
