head	tail	relation_type	batch_id
第日	今日	ant	post-syn-ant-b03-20260718
返轉頭	向前	ant	post-syn-ant-b03-20260718
吹水	講真	ant	post-syn-ant-b03-20260718
吹水	正經	ant	post-syn-ant-b03-20260718
怕醜	大膽	ant	post-syn-ant-b03-20260718
怕醜	大方	ant	post-syn-ant-b03-20260718
點做	放棄	ant	post-syn-ant-b03-20260718
大部份	少數	ant	post-syn-ant-b03-20260718
心裡	表面	ant	post-syn-ant-b03-20260718
遲啲	而家	ant	post-syn-ant-b03-20260718
遲啲	即刻	ant	post-syn-ant-b03-20260718
肥仔	瘦	ant	post-syn-ant-b03-20260718
就嚟	好耐	ant	post-syn-ant-b03-20260718
就嚟	遙遠	ant	post-syn-ant-b03-20260718
好嘢	壞事	ant	post-syn-ant-b03-20260718
發夢	現實	ant	post-syn-ant-b03-20260718
搞笑	嚴肅	ant	post-syn-ant-b03-20260718
擰頭	點頭	ant	post-syn-ant-b03-20260718
傻妹	聰明	ant	post-syn-ant-b03-20260718
唔捨得	捨得	ant	post-syn-ant-b03-20260718
朝頭早	夜晚	ant	post-syn-ant-b03-20260718
朝頭早	晚黑	ant	post-syn-ant-b03-20260718
老嘢	細路	ant	post-syn-ant-b03-20260718
衰仔	好仔	ant	post-syn-ant-b03-20260718
衰仔	乖仔	ant	post-syn-ant-b03-20260718
冇所謂	在乎	ant	post-syn-ant-b03-20260718
大隻	細隻	ant	post-syn-ant-b03-20260718
大隻	瘦削	ant	post-syn-ant-b03-20260718
並無	有	ant	post-syn-ant-b03-20260718
尋晚	今朝	ant	post-syn-ant-b03-20260718
尋晚	聽朝	ant	post-syn-ant-b03-20260718
直情	間接	ant	post-syn-ant-b03-20260718
不在	在場	ant	post-syn-ant-b03-20260718
不在	喺度	ant	post-syn-ant-b03-20260718
交流	絕交	ant	post-syn-ant-b03-20260718
太過	適量	ant	post-syn-ant-b03-20260718
總有	永不	ant	post-syn-ant-b03-20260718
是但	認真	ant	post-syn-ant-b03-20260718
是但	仔細	ant	post-syn-ant-b03-20260718
間房	大廳	ant	post-syn-ant-b03-20260718
忘了	記得	ant	post-syn-ant-b03-20260718
之餘	本身	ant	post-syn-ant-b03-20260718
以嚟	之前	ant	post-syn-ant-b03-20260718
叫醒	催眠	ant	post-syn-ant-b03-20260718
後尾	開頭	ant	post-syn-ant-b03-20260718
後尾	起初	ant	post-syn-ant-b03-20260718
行山	行街	ant	post-syn-ant-b03-20260718
打橫	打直	ant	post-syn-ant-b03-20260718
玩完	開始	ant	post-syn-ant-b03-20260718
阿伯	阿嬸	ant	post-syn-ant-b03-20260718
盡快	慢慢	ant	post-syn-ant-b03-20260718
盡快	遲啲	ant	post-syn-ant-b03-20260718
角色	本人	ant	post-syn-ant-b03-20260718
什麼時候	永遠	ant	post-syn-ant-b03-20260718
墳場	醫院	ant	post-syn-ant-b03-20260718
行街	返屋企	ant	post-syn-ant-b03-20260718
第時	而家	ant	post-syn-ant-b03-20260718
第時	即刻	ant	post-syn-ant-b03-20260718
晏晝	朝早	ant	post-syn-ant-b03-20260718
晏晝	夜晚	ant	post-syn-ant-b03-20260718
本能	後天	ant	post-syn-ant-b03-20260718
細細個	大個	ant	post-syn-ant-b03-20260718
細細個	而家	ant	post-syn-ant-b03-20260718
廣東話	普通話	ant	post-syn-ant-b03-20260718
鼻哥	嘴巴	ant	post-syn-ant-b03-20260718
搞錯	正確	ant	post-syn-ant-b03-20260718
有份	冇份	ant	post-syn-ant-b03-20260718
死仔	乖仔	ant	post-syn-ant-b03-20260718
成世	一陣	ant	post-syn-ant-b03-20260718
第二次	第一次	ant	post-syn-ant-b03-20260718
當堂	遲啲	ant	post-syn-ant-b03-20260718
空調	暖氣	ant	post-syn-ant-b03-20260718
呢邊	那邊	ant	post-syn-ant-b03-20260718
嚇親	冷靜	ant	post-syn-ant-b03-20260718
文檔	錄音	ant	post-syn-ant-b03-20260718
礦場	農場	ant	post-syn-ant-b03-20260718
毫子	大鈔	ant	post-syn-ant-b03-20260718
尿片	褲	ant	post-syn-ant-b03-20260718
胸圍	內褲	ant	post-syn-ant-b03-20260718
電單車	單車	ant	post-syn-ant-b03-20260718
