head	tail
醜怪	靚
醜怪	好睇
離遠	靠近
離遠	埋嚟
晚晚	日日
晚晚	朝朝
講聲	收聲
講聲	噤聲
起嚟	坐低
起嚟	瞓低
重啓	關閉
重啓	熄機
初初	最後
初初	後來
加埋	減走
睇見	睇唔見
睇見	盲
一天	半夜
嗰晚	今朝
樣衰	靚
樣衰	好睇
細粒	大粒
細粒	巨大
偷食	絕食
專登	無意
專登	唔係特登
今時今日	舊時
今時今日	以前
包住	打開
包住	拆開
擺明	隱瞞
擺明	暗中
叫停	繼續
叫停	開波
得人驚	得人鍾意
得人驚	安心
打人	救人
攬實	放開
攬實	鬆手
有嘢	冇事
有嘢	無事
聽晚	聽朝
聽晚	今朝
話唔定	肯定
話唔定	一定
隨心	被迫
夾住	鬆開
好多人	冇人
早知	事後
早知	唔知
構建	拆毁
構建	破壞
好多時	好少
好多時	從不
話事	聽話
話事	跟從
陪住	獨留
嘈交	和好
嘈交	傾計
因住	大意
因住	唔小心
埋位	離席
埋位	走開
大隻佬	瘦削
醜樣	靚
醜樣	好睇
鬆一口氣	緊張
匿埋	現身
匿埋	出嚟
捉實	放開
捉實	鬆手
直程	間接
相識	陌生
近排	好耐之前
除衫	着衫
除衫	換衫
點睇	定論
殺人	救人
無端端	有原因
落街	返屋企
落街	留家
過份	適量
過份	剛剛好
稍等	即刻
稍等	馬上
剩返	用晒
未夠	夠
未夠	充足
傻佬	聰明人
傻佬	精明
冇幾耐	好耐
冇幾耐	成世
呷醋	放心
呷醋	信任
壓住	鬆開
壓住	放開
起嚟	躺低
初初	結局
加埋	扣除
樣衰	標致
細粒	龐大
包住	暴露
擺明	遮掩
叫停	進行
得人驚	得人愛
打人	保護
話唔定	確定
隨心	受制
夾住	放開
好多人	無人
構建	摧毀
八卦	守口
話事	服從
陪住	拋低
埋位	離場
醜樣	標致
鬆一口氣	擔心
匿埋	曝光
直程	轉彎
相識	唔熟
近排	舊年
點睇	定案
無端端	有因
過份	適度
剩返	清空
未夠	足夠
傻佬	精仔
壓住	鬆手
