head	essay_frequency	syn_tails	syn_neighbors
孫仔	5072	1	孫子
睇法	5072	1	看法
親手	5072	2	手,親自
醜怪	5072	1	醜陋
離遠	5072	1	遠離
劇情	4894	1	情節
差佬	4894	1	警察
晚晚	4894	1	每晚
櫃桶	4894	1	抽屜
講聲	4894	1	出聲
起嚟	4894	1	起來
重啓	4843	1	重開
分分鐘	4805	1	隨時
初初	4805	1	起初
加埋	4805	1	加上
手套	4805	1	手襪
手指尾	4805	1	指尖
睇見	4805	1	看見
一天	4716	1	整天
嗰晚	4716	1	當晚
放榜	4716	1	公佈
樣衰	4716	1	難看
細粒	4716	1	細小
車仔	4716	1	小車
偷食	4627	1	偷嘴
專登	4627	1	故意
恤衫	4627	1	襯衫
樣貌	4627	1	容貌
螢幕	4627	1	熒幕
貨倉	4627	1	倉庫
今時今日	4538	1	現在
包住	4538	1	包起
吸塵機	4538	1	吸塵器
擺明	4538	1	明顯
聲線	4538	1	嗓音
舖頭	4538	1	店舖
一般人	4449	1	普通人
叫停	4449	1	制止
巴士站	4449	1	車站
得人驚	4449	1	可怕
打人	4449	1	毆打
攬實	4449	1	攬住
有嘢	4449	1	有事
牛油	4449	1	奶油
聽晚	4449	1	明晚
話唔定	4449	1	説不定
隨心	4449	1	隨意
夾住	4360	1	夾緊
好多人	4360	1	眾人
新抱	4360	1	媳婦
早知	4360	1	預料
質素	4360	1	品質
構建	4342	1	建立
八卦	4271	1	傳聞
八爪魚	4271	1	章魚
好多時	4271	1	經常
收銀	4271	1	收款
花灑	4271	1	花灑頭
話事	4271	1	做主
陪住	4271	1	陪伴
凳仔	4182	1	矮凳
嘈交	4182	1	吵架
因住	4182	1	小心
埋位	4182	1	就座
大隻佬	4182	1	大漢
有講有笑	4182	1	談笑
起勢	4182	1	用力
醜樣	4182	1	醜陋
門鐘	4182	1	門鈴
鬆一口氣	4182	1	放心
冷衫	4093	1	毛衣
匿埋	4093	1	躲藏
廁紙	4093	1	手紙
捉實	4093	1	抓緊
直程	4093	1	簡直
相識	4093	1	認識
近排	4093	1	最近
除衫	4093	1	脱衣
點睇	4093	1	看法
補丁	4087	1	補釘
三文治	4004	1	三明治
怪獸	4004	1	怪物
打圈	4004	1	打轉
殺人	4004	1	殺害
每當	4004	4	以,在,於,當
無端端	4004	1	平白無故
生仔	4004	1	生育
落街	4004	1	出街
過份	4004	1	過分
稍等	3971	2	等一會兒,等陣
下一個	3915	1	下個
剩返	3915	1	剩下
各種	3915	1	各樣
回歸	3915	1	回來
小矮人	3915	1	侏儒
未夠	3915	1	不足
傻佬	3826	1	傻瓜
冇幾耐	3826	1	不久
呷醋	3826	1	妒忌
壓住	3826	1	按住
望下	3826	1	看看
流眼淚	3826	1	流淚
用嚟	3826	1	用來
發洩	3826	1	發泄
邊位	3826	1	邊個
阿仔	3826	1	兒子
鬧交	3826	1	吵架
嗌交	3737	1	吵架
大大力	3737	1	用力
好眼	3737	1	眼利
小息	3737	1	休息
小隊	3737	1	小組
沙律	3737	1	沙拉
紋身	3737	1	刺青
肉酸	3737	1	丟臉
轉校	3737	1	轉學
離家出走	3737	1	出走
單元	3652	1	單位
兩粒	3648	1	兩個
坐監	3648	1	坐牢
我架	3648	1	我嘅
整到	3648	1	搞到
睇穿	3648	1	看穿
緣份	3648	1	緣分
頸鍊	3648	1	項鍊
魚蛋	3648	1	魚丸
是以	3609	1	因此
國內外	3601	1	海內外
一腳踢	3559	1	全能
傻豬	3559	1	傻瓜
冇心	3559	1	無心
士多	3559	1	商店
好勁	3559	1	厲害
娘親	3559	1	母親
探員	3559	1	偵探
眼白白	3559	1	乾瞪眼
等如	3559	1	等於
背住	3559	1	揹着
輔導	3559	1	指導
追上	3559	1	趕上
雞翼	3559	1	翅膀
得很	3529	1	非常
咁滯	3470	1	幾乎
好地地	3470	1	好好地
小食	3470	1	零食
愈嚟愈	3470	1	越來越
日出	3470	1	黎明
日落	3470	1	黃昏
甜筒	3470	1	雪糕
結他	3470	1	吉他
