head	essay_frequency	syn_tails	syn_neighbors
翻到	3470	1	翻去
識講	3470	1	識講嘢
豬扒	3470	1	豬排
跪低	3470	1	跪下
銀仔	3470	1	硬幣
七七八八	3381	1	差不多
人仔	3381	1	人民幣
初頭	3381	1	起初
勤力	3381	1	勤奮
急不及待	3381	1	迫不及待
手指公	3381	1	拇指
極之	3381	1	極其
狗公	3381	1	公犬
花名	3381	1	綽號
落力	3381	1	盡力
薯仔	3381	1	馬鈴薯
變做	3381	1	變成
邊間	3381	1	邊度
風水	3381	1	堪輿
髮型	3381	1	頭型
炒作	3377	1	哄抬
最愛	3363	1	至愛
研究所	3347	1	研究院
做得	3343	1	可以
其他人	3336	1	別人
一嚟	3292	1	一來
侍應	3292	1	侍應生
勾起	3292	1	引起
唔覺意	3292	1	無意中
好靜	3292	1	安靜
晨早	3292	1	早上
有型	3292	1	時髦
水族館	3292	1	海洋館
泥膠	3292	1	黏土
的而且確	3292	1	的確
聽聞	3292	1	聽過
茶餐廳	3292	1	茶室
薯片	3292	1	脆片
