head	tail	relation_type	batch_id
睡覺	醒	ant	post-syn-ant-p1-nn-flip-b01-20260718
睡覺	醒來	ant	post-syn-ant-p1-nn-flip-b01-20260718
睡覺	起身	ant	post-syn-ant-p1-nn-flip-b01-20260718
擅長	拙劣	ant	post-syn-ant-p1-nn-flip-b01-20260718
擅長	生疏	ant	post-syn-ant-p1-nn-flip-b01-20260718
查收	拒收	ant	post-syn-ant-p1-nn-flip-b01-20260718
查收	退回	ant	post-syn-ant-p1-nn-flip-b01-20260718
發狂	冷靜	ant	post-syn-ant-p1-nn-flip-b01-20260718
發狂	平靜	ant	post-syn-ant-p1-nn-flip-b01-20260718
非禮	有禮	ant	post-syn-ant-p1-nn-flip-b01-20260718
非禮	禮貌	ant	post-syn-ant-p1-nn-flip-b01-20260718
好友	敵人	ant	post-syn-ant-p1-nn-flip-b01-20260718
好友	仇人	ant	post-syn-ant-p1-nn-flip-b01-20260718
遏制	放任	ant	post-syn-ant-p1-nn-flip-b01-20260718
遏制	縱容	ant	post-syn-ant-p1-nn-flip-b01-20260718
收養	遺棄	ant	post-syn-ant-p1-nn-flip-b01-20260718
收養	拋棄	ant	post-syn-ant-p1-nn-flip-b01-20260718
作嘔	可口	ant	post-syn-ant-p1-nn-flip-b01-20260718
作嘔	美味	ant	post-syn-ant-p1-nn-flip-b01-20260718
自治	受控	ant	post-syn-ant-p1-nn-flip-b01-20260718
自治	附庸	ant	post-syn-ant-p1-nn-flip-b01-20260718
擴容	縮減	ant	post-syn-ant-p1-nn-flip-b01-20260718
擴容	壓縮	ant	post-syn-ant-p1-nn-flip-b01-20260718
