head	reason
打球	no_gradable_opposite
唇膏	no_gradable_opposite
物件	no_gradable_opposite
其他地方	no_gradable_opposite
幾錢	function_word
摩托車	no_gradable_opposite
合約	no_gradable_opposite
婚禮	no_gradable_opposite
月台	no_gradable_opposite
分數	no_gradable_opposite
回合	no_gradable_opposite
村裏	no_gradable_opposite
殺毒軟件	no_gradable_opposite
佛山	proper_name_or_deixis
海軍	no_gradable_opposite
啓示	no_gradable_opposite
輪胎	no_gradable_opposite
專區	no_gradable_opposite
債券	no_gradable_opposite
配方	no_gradable_opposite
鑑於	function_word
自動化	no_gradable_opposite
人文	no_gradable_opposite
檢索	no_gradable_opposite
圖表	no_gradable_opposite
大豆	no_gradable_opposite
艾滋病	no_gradable_opposite
多年來	function_word
車間	no_gradable_opposite
洛陽	proper_name_or_deixis
生產線	no_gradable_opposite
股指	no_gradable_opposite
石家莊	proper_name_or_deixis
額度	no_gradable_opposite
總公司	no_gradable_opposite
代表團	no_gradable_opposite
週二	no_gradable_opposite
釐米	no_gradable_opposite
麻將	no_gradable_opposite
人們	function_word
人流	no_gradable_opposite
公里	no_gradable_opposite
兵器	no_gradable_opposite
刑事	no_gradable_opposite
商品	no_gradable_opposite
大隊	no_gradable_opposite
