head	tail	relation_type	batch_id
不在乎	在乎	ant	post-syn-ant-ring5k10k-b02-20260718
不在乎	重視	ant	post-syn-ant-ring5k10k-b02-20260718
出具	收回	ant	post-syn-ant-ring5k10k-b02-20260718
停下	繼續	ant	post-syn-ant-ring5k10k-b02-20260718
停下	開始	ant	post-syn-ant-ring5k10k-b02-20260718
凝望	無視	ant	post-syn-ant-ring5k10k-b02-20260718
出走	回來	ant	post-syn-ant-ring5k10k-b02-20260718
剎那間	長久	ant	post-syn-ant-ring5k10k-b02-20260718
剎那間	永遠	ant	post-syn-ant-ring5k10k-b02-20260718
包紮	解開	ant	post-syn-ant-ring5k10k-b02-20260718
報案	隱瞞	ant	post-syn-ant-ring5k10k-b02-20260718
打中	錯過	ant	post-syn-ant-ring5k10k-b02-20260718
斜路	正路	ant	post-syn-ant-ring5k10k-b02-20260718
旁人	自己	ant	post-syn-ant-ring5k10k-b02-20260718
登出	登入	ant	post-syn-ant-ring5k10k-b02-20260718
監察	放任	ant	post-syn-ant-ring5k10k-b02-20260718
草草	仔細	ant	post-syn-ant-ring5k10k-b02-20260718
草草	認真	ant	post-syn-ant-ring5k10k-b02-20260718
萬能	無能	ant	post-syn-ant-ring5k10k-b02-20260718
親愛	憎恨	ant	post-syn-ant-ring5k10k-b02-20260718
親愛	討厭	ant	post-syn-ant-ring5k10k-b02-20260718
預計	事後	ant	post-syn-ant-ring5k10k-b02-20260718
搶劫	救助	ant	post-syn-ant-ring5k10k-b02-20260718
致使	防止	ant	post-syn-ant-ring5k10k-b02-20260718
寫真	虛構	ant	post-syn-ant-ring5k10k-b02-20260718
力氣	無力	ant	post-syn-ant-ring5k10k-b02-20260718
空位	滿座	ant	post-syn-ant-ring5k10k-b02-20260718
背部	正面	ant	post-syn-ant-ring5k10k-b02-20260718
背部	前面	ant	post-syn-ant-ring5k10k-b02-20260718
麻醉	清醒	ant	post-syn-ant-ring5k10k-b02-20260718
不外乎	不止	ant	post-syn-ant-ring5k10k-b02-20260718
南北	東西	ant	post-syn-ant-ring5k10k-b02-20260718
戒心	放心	ant	post-syn-ant-ring5k10k-b02-20260718
監獄	自由	ant	post-syn-ant-ring5k10k-b02-20260718
致使	避免	ant	post-syn-ant-ring5k10k-b02-20260718
繳費	免費	ant	post-syn-ant-ring5k10k-b02-20260718
力氣	虛弱	ant	post-syn-ant-ring5k10k-b02-20260718
左下角	右下角	ant	post-syn-ant-ring5k10k-b02-20260718
戒心	信任	ant	post-syn-ant-ring5k10k-b02-20260718
