head	tail	relation_type	batch_id
繼承	放棄	ant	post-syn-ant-ring5k10k-b03-20260718
自身	他人	ant	post-syn-ant-ring5k10k-b03-20260718
自身	別人	ant	post-syn-ant-ring5k10k-b03-20260718
落水	上岸	ant	post-syn-ant-ring5k10k-b03-20260718
起行	停留	ant	post-syn-ant-ring5k10k-b03-20260718
迷茫	清晰	ant	post-syn-ant-ring5k10k-b03-20260718
迷茫	清醒	ant	post-syn-ant-ring5k10k-b03-20260718
過往	未來	ant	post-syn-ant-ring5k10k-b03-20260718
過癮	掃興	ant	post-syn-ant-ring5k10k-b03-20260718
震撼	平淡	ant	post-syn-ant-ring5k10k-b03-20260718
黯然	開朗	ant	post-syn-ant-ring5k10k-b03-20260718
黯然	開心	ant	post-syn-ant-ring5k10k-b03-20260718
男孩子	女孩子	ant	post-syn-ant-ring5k10k-b03-20260718
隱患	保障	ant	post-syn-ant-ring5k10k-b03-20260718
做工	休息	ant	post-syn-ant-ring5k10k-b03-20260718
侷限	無限	ant	post-syn-ant-ring5k10k-b03-20260718
關愛	冷漠	ant	post-syn-ant-ring5k10k-b03-20260718
看重	輕視	ant	post-syn-ant-ring5k10k-b03-20260718
佔據	放棄	ant	post-syn-ant-ring5k10k-b03-20260718
修補	破壞	ant	post-syn-ant-ring5k10k-b03-20260718
弱智	聰明	ant	post-syn-ant-ring5k10k-b03-20260718
思念	忘記	ant	post-syn-ant-ring5k10k-b03-20260718
思念	淡忘	ant	post-syn-ant-ring5k10k-b03-20260718
塞車	暢通	ant	post-syn-ant-ring5k10k-b03-20260718
塞車	暢順	ant	post-syn-ant-ring5k10k-b03-20260718
繼承	拋棄	ant	post-syn-ant-ring5k10k-b03-20260718
過往	將來	ant	post-syn-ant-ring5k10k-b03-20260718
做工	偷懶	ant	post-syn-ant-ring5k10k-b03-20260718
隱患	安全	ant	post-syn-ant-ring5k10k-b03-20260718
