rank	head	essay_frequency	syn_tails	syn_neighbors
1	外交部	1362	14	內政部,公安部,分部
2	年限	1362	6	定期,時限,期
3	戰鬥力	1362	2	生產力,購買力
4	文集	1362	10	全集,專集,小冊子
5	標明	1362	6	標,標出,標號
6	連續劇	1362	32	傳奇,古裝戲,吉劇
7	吹牛	1361	7	口出狂言,吹,吹牛皮
8	礦業	1361	49	出版業,副業,化工
9	音樂會	1361	1	演唱會
10	邊框	1360	1	框
11	代言人	1359	2	喉舌,發言人
12	向着	1358	5	偏向,偏袒,偏護
13	儒家	1357	2	佛家,墨家
14	評判	1356	9	判,考評,裁判
15	違章	1355	1	犯規
16	門窗	1355	1	窗門
17	五金	1354	3	大五金,小五金,金屬
18	綠地	1354	3	綠茵,草地,草坪
19	乃是	1353	8	便是,即,實屬
20	名家	1353	12	先達,名人,名士
21	時而	1353	33	一下,一下子,一剎那
22	礦山	1352	8	佛山,名山,死火山
23	機理	1351	7	哲理,學理,樂理
24	減免	1351	1	減輕
25	作案	1350	11	不軌,以身試法,作奸犯科
26	國度	1350	5	國,國家,江山
27	裝配	1350	1	配
28	擴容	1349	2	擴建,擴編
29	海內外	1349	19	世,世上,世界
30	老闆娘	1348	4	小業主,業主,老闆
31	衚衕	1348	3	巷,弄堂,里弄
32	警示	1348	4	以儆效尤,告誡,警告
33	製藥	1347	3	製毒,製片,製衣
34	責任心	1347	6	事業心,同情心,愛國心
35	預示	1347	4	主,兆,預兆
36	演練	1345	5	彩排,排,排戲
37	剖析	1344	8	分析,剖,剖解
38	執業	1343	3	受業,投師,拜師
39	抽查	1343	7	備查,巡查,待查
40	晚報	1343	15	大字報,學報,小報
41	清代	1343	33	三國,五代,元朝
42	高額	1343	15	儲蓄額,全額,名額
43	院子	1341	3	天井,庭,庭院
44	問世	1340	1	出版
45	櫃子	1340	5	檔,櫃,櫃櫥
46	消費品	1340	3	必需品,日用品,用品
47	使館	1339	2	分館,大使館
48	通訊錄	1339	3	同學錄,名錄,啓示錄
49	好奇心	1338	1	平常心
50	定量	1338	42	價值量,儲藏量,儲量
51	專業知識	1338	1	專門知識
52	醬油	1336	7	番茄醬,花生醬,蝦醬
53	風景區	1336	46	住宅區,佔領區,分佈區
54	收看	1335	28	察看,張,探望
55	當着	1335	13	光天化日,公之於世,公然
56	軍方	1335	10	中,勞方,女方
57	丈夫	1334	16	人夫,先生,士
58	上當	1334	4	上鈎,冤,受騙
59	下一步	1334	3	下半年,下月,下週
60	下載	1334	1	鍵入
61	不至於	1334	4	不一定,不致於,不見得
62	人身	1334	16	人體,真身,肉身
63	企業	1334	20	公司,合作社,商家
64	保釋	1334	12	假釋,出獄,放
65	偷窺	1334	10	偷看,偷眼,探頭探腦
66	傷者	1334	4	傷員,傷殘人員,傷病員
67	入會	1334	3	入世,入藥,入黨
68	冤枉	1334	20	冤,冤屈,含冤
69	分辨	1334	13	分辯,判別,甄
70	北海道	1334	115	上海,亳,仰光
71	卡片	1334	1	卡
72	原意	1334	2	本心,本意
73	句號	1334	14	冒號,分號,問號
74	可悲	1334	21	傷心,傷悲,傷感
75	右下方	1334	6	右上方,右上角,左上方
76	呼喚	1334	12	傳喚,叫,召
77	哽咽	1334	12	吞聲,哭泣,啜泣
78	嘆息	1334	7	唉聲嘆氣,嗟嘆,嘆
79	回望	1334	3	反觀,反顧,回顧
80	地毯	1334	4	壁毯,掛毯,毛毯
81	堅挺	1334	13	壁立,屹,屹立
82	增收	1334	3	增添,增訂,增設
83	大好	1334	62	上好,不含糊,不錯
84	套衫	1334	9	文化衫,棉毛衫,棉襖
