head	tail
吹牛	謙虛
吹牛	務實
減弱	增強
減弱	加強
警示	放任
預示	回顧
演練	實戰
剖析	含糊
抽查	放任
高額	低額
問世	絕版
上當	醒覺
下一步	上一步
下載	上傳
不至於	甚至於
保釋	監禁
偷窺	正視
冤枉	公正
分辨	混淆
可悲	可喜
呼喚	沉默
哽咽	暢談
嘆息	歡笑
回望	前瞻
堅挺	疲軟
增收	減收
大好	大壞
彎腰	挺直
思索	莽撞
懂事	幼稚
手緊	闊綽
打劫	施捨
招惹	迴避
掉轉	直行
接手	放手
放膽	怯場
散落	聚集
斷氣	復活
永別	重逢
求情	嚴懲
發抖	鎮定
知己	陌生人
破綻	完美
碰到	錯過
累積	消耗
終究	暫時
絕育	生育
缺口	完滿
翌日	今日
聊天	沉默
標明	隱瞞
評判	偏袒
違章	守法
乃是	並非
時而	總是
減弱	強化
作案	破案
擴容	縮容
警示	縱容
責任心	不負責任
上當	識破
下載	上載
保釋	扣押
偷窺	直視
冤枉	清白
分辨	混亂
可悲	可賀
呼喚	噤聲
哽咽	歡笑
嘆息	歡喜
回望	展望
堅挺	疲弱
增收	減產
大好	糟糕
彎腰	抬頭
思索	衝動
懂事	不懂事
手緊	手頭鬆
打劫	救濟
招惹	避開
掉轉	前進
接手	交托
放膽	畏縮
散落	集合
斷氣	甦醒
永別	再見
求情	嚴辦
發抖	從容
知己	敵人
破綻	無瑕
碰到	錯失
累積	揮霍
終究	暫且
絕育	繁殖
缺口	齊全
翌日	今朝
聊天	靜默
吹牛	謙遜
減弱	加劇
預示	追溯
演練	上陣
抽查	免查
高額	微額
問世	絕跡
上當	清醒
下一步	回頭
不至於	以至於
保釋	收監
冤枉	昭雪
分辨	混同
呼喚	靜默
堅挺	下跌
增收	虧損
大好	不妙
彎腰	站直
懂事	任性
手緊	寬裕
打劫	援助
招惹	疏遠
掉轉	直走
接手	交還
放膽	膽小
散落	收攏
斷氣	生還
永別	重聚
求情	嚴判
發抖	沉着
知己	陌路
破綻	完整
碰到	避開
累積	耗散
終究	目前
絕育	受孕
缺口	補足
翌日	當日
聊天	冷場
