rank	head	essay_frequency	syn_tails	syn_neighbors
1	打球	3271	1	打波
2	唇膏	3203	1	口紅
3	體內	3203	1	村裏
4	唔經唔覺	3114	1	不知不覺
5	物件	3114	1	物體
6	其他地方	2816	1	別處
7	做主	2669	1	話事
8	幾錢	2669	1	多少錢
9	摩托車	2591	1	電單車
10	出貨	2582	1	發貨
11	合約	2491	1	合同
12	婚禮	2491	2	結婚儀式,結婚典禮
13	這次	2491	1	今次
14	國企	2391	1	國營企業
15	月台	2313	1	站台
16	分數	2224	1	分
17	回合	2224	1	合
18	村裏	2220	1	體內
19	殺毒軟件	2220	1	防毒軟件
20	佛山	2219	123	上海,亳,仰光,倫敦,典雅
21	小夥子	2218	8	初生之犢,子弟,年輕人,年青人,弟子
22	海軍	2217	19	保安隊,偵察兵,別動隊,工程兵,憲兵
23	不已	2216	27	不了,不休,不住,不停,不息
24	啓示	2214	7	啓發,啓迪,誘,誘導,誘發
25	輪胎	2213	4	皮帶,胎,車胎,輪帶
26	拷貝	2210	1	正片
27	選購	2210	23	市,打,採購,採辦,置
28	專區	2209	13	區,市,市轄區,旗,特區
29	聽取	2206	2	收聽,聽
30	債券	2205	1	公債券
31	導出	2204	1	導入
32	租賃	2201	12	僦,出租,包,承租,招租
33	女主角	2199	1	女主人公
34	配方	2197	5	方,方劑,藥方,處方,配藥
35	鑑於	2196	3	出於,由,由於
36	舉措	2192	7	一舉一動,此舉,舉動,舉止,行動
37	自動化	2190	39	乳化,人性化,企業化,合法化,商業化
38	人文	2189	2	天文,水文
39	檢索	2189	19	尋,尋找,尋覓,找,找尋
40	圖表	2185	6	圖,圖形,圖樣,圖片,圖籍
41	大豆	2184	2	毛豆,黃豆
42	訂購	2178	6	定貨,定購,訂,訂座,預訂
43	對照	2177	8	對待,對比,對立統一,比,比照
44	艾滋病	2177	1	愛滋病
45	依託	2172	4	依賴,寄,寄予,寄託
46	多年來	2172	10	以來,前不久,新近,日前,最近
47	整改	2170	6	整,整治,整肅,整頓,整飭
48	車間	2170	1	小組
49	陌生人	2170	9	外人,局外人,旁觀者,生人,異己
50	洛陽	2168	116	上海,亳,仰光,佛山,倫敦
51	生產線	2162	5	工序,時序,歲序,自動線,裝配線
52	股指	2160	1	一手一足
53	石家莊	2151	116	上海,亳,仰光,佛山,倫敦
54	額度	2151	15	儲蓄額,全額,名額,員額,大額
55	總公司	2150	4	母公司,總局,總店,總行
56	源於	2149	11	來,來源,來源於,來自,出自
57	代表團	2148	16	劇組,合唱團,外交團,女團,小集團
58	週二	2148	2	星期二,禮拜二
59	釐米	2145	19	人次,元,光年,公分,公斤
60	麻將	2137	1	麻雀
61	明細	2136	21	仔細,周密,密切,心細,有心人
62	一味	2135	34	一直,不過,但,偏偏,僅
63	不單	2135	12	不但,不僅,不僅僅,不光,不只
64	不經意	2135	10	不在意,千慮一失,在所不計,大意,失慎
65	不錯	2135	81	上好,不利,不含糊,不易,不賴
66	人們	2135	2	人人,眾人
67	人流	2135	8	人叢,人工流產,人海,人潮,人群
68	人道	2135	34	交媾,仁厚,以德報怨,厚朴,厚道
69	傾向	2135	17	主旋律,來勢,來頭,動向,勢
70	入場	2135	5	入境,入夜,入室,入庫,入門
71	公里	2135	19	人次,元,光年,公分,公斤
72	兵器	2135	15	傢伙,兵,兵戎,刀兵,刀槍
73	刑事	2135	2	刑律,刑法
74	北面	2135	1	四面
75	原先	2135	13	以前,元元本本,先,先前,原
76	合力	2135	12	並肩,並肩作戰,協力,合璧,同甘苦
77	商品	2135	4	貨,貨品,貨物,貨色
78	多種	2135	10	冒尖,出頭,又,多,強
79	大隊	2135	3	兵團,支隊,軍團
80	天意	2135	13	命,命運,天命,天數,天時
81	學院	2135	1	院
82	屋主	2135	3	二房東,房東,房產主
83	常識	2135	1	一般常識
84	底線	2135	1	下線
85	店鋪	2135	20	企業,公司,合作社,商家,商店
86	影像	2135	3	像,形象,畫面
87	循環	2135	4	大循環,巡迴,輪迴,週而復始
88	情境	2135	8	地,地步,境,境地,境域
89	愛意	2135	10	含情脈脈,情,情意,情愛,情網
90	擅長	2135	8	健,善,善於,善用,嫺
91	昨晚	2135	5	前夕,前夜,尋晚,昨夜,琴晚
92	次序	2135	11	主次,先來後到,先後,序,排列次序
93	歲月	2135	18	光陰,工夫,年光,年月,年華
94	江湖	2135	25	下方,世間,人世,人間,凡
95	派對	2135	42	人大,冬運會,午餐會,博覽會,嘉年華會
96	源頭	2135	6	搖籃,源,源流,發源地,發祥地
97	犯法	2135	11	不軌,以身試法,作奸犯科,作案,冒天下之大不韙
