head	note	batch_id
直系血親	prior project_syn edge covers head	syn-len4-b08-20260718
氣焰囂張	prior project_syn edge covers head	syn-len4-b08-20260718
相貌堂堂	within-batch undirected syn edge covers head	syn-len4-b08-20260718
主持正義	prior project_syn edge covers head	syn-len4-b08-20260718
立錐之地	prior project_syn edge covers head	syn-len4-b08-20260718
籠絡人心	prior project_syn edge covers head	syn-len4-b08-20260718
風流瀟灑	prior project_syn edge covers head	syn-len4-b08-20260718
平庸之輩	prior project_syn edge covers head	syn-len4-b08-20260718
力大無比	prior project_syn edge covers head	syn-len4-b08-20260718
啦啦隊員	within-batch undirected syn edge covers head	syn-len4-b08-20260718
女權運動	prior project_syn edge covers head	syn-len4-b08-20260718
國際法院	prior project_syn edge covers head	syn-len4-b08-20260718
年老體衰	prior project_syn edge covers head	syn-len4-b08-20260718
天理不容	within-batch undirected syn edge covers head	syn-len4-b08-20260718
嘰嘰咕咕	within-batch undirected syn edge covers head	syn-len4-b08-20260718
崇拜偶像	prior project_syn edge covers head	syn-len4-b08-20260718
嚴以律己	prior project_syn edge covers head	syn-len4-b08-20260718
一面之交	prior project_syn edge covers head	syn-len4-b08-20260718
