rank	head	essay_frequency	direct_syn_tails
4001	自毀長城	462	0
4002	色情行業	462	0
4003	行動自如	462	0
4004	連體嬰兒	462	0
4005	過從甚密	462	0
4006	避實就虛	462	0
4007	酒色財氣	462	0
4008	金剛薩埵	462	0
4009	飯後服用	462	0
4010	不情之請	461	0
4011	傻頭傻腦	461	0
4012	免受傷害	461	0
4013	凸版印刷	461	0
4014	初級小學	461	1
4015	夏目漱石	461	0
4016	孔融讓梨	461	0
4017	學成歸國	461	0
4018	宅心仁厚	461	0
4019	布朗運動	461	1
4020	強忍悲痛	461	0
4021	放手去做	461	0
4022	文字學家	461	0
4023	文治武功	461	0
4024	樂府詩集	461	0
4025	死無對證	461	0
4026	水花四濺	461	0
4027	獨資經營	461	0
4028	臨界狀態	461	0
4029	護士學校	461	0
4030	造船工業	461	0
4031	風光明媚	461	0
4032	餘情未了	461	0
4033	一來一往	460	0
4034	三年五載	460	0
4035	不勝唏噓	460	0
4036	孫臏兵法	460	0
4037	家常豆腐	460	0
4038	彎腰駝背	460	0
4039	曲線擬合	460	0
4040	杜鵑啼血	460	0
4041	榆林地區	460	0
4042	沙漠之狐	460	0
4043	無冤無仇	460	0
4044	生理時鐘	460	0
4045	窮奢極欲	460	0
4046	腐敗無能	460	0
4047	臭不可聞	460	0
4048	追本溯源	460	0
4049	逢低買進	460	0
4050	金縷玉衣	460	0
4051	隨機存取	460	0
4052	風雨如晦	460	0
4053	三人成虎	459	0
4054	分子運動	459	0
4055	咬舌自盡	459	0
4056	外圓內方	459	0
4057	州官放火	459	0
4058	布爾喬亞	459	0
4059	改良主義	459	1
4060	文科學生	459	0
4061	有錢有閒	459	0
4062	死而復活	459	0
4063	沒有品味	459	0
4064	活動看板	459	0
4065	無補於事	459	0
4066	獨霸一方	459	0
4067	病毒營銷	459	0
4068	簡單機械	459	0
4069	色情雜誌	459	0
4070	計時收費	459	0
4071	轉動慣量	459	0
4072	近鄉情怯	459	0
4073	靜脈點滴	459	0
4074	三度空間	458	0
4075	主動脈弓	458	1
4076	傳家之寶	458	0
4077	印度音樂	458	0
4078	捉拿歸案	458	0
