head	tail
死心	絕望
流眼淚	流淚
用嚟	用來
發洩	發泄
貴族	皇族
邊位	邊個
金色	金黃色
阿仔	兒子
鬧交	吵架
看上去	看來
存檔	保存
庫存	存貨
單手	一手
嗌交	吵架
四肢	手腳
壺	水壺
大大力	用力
好眼	眼利
客服	服務員
小息	休息
小隊	小組
沙律	沙拉
瘀	瘀傷
紋身	刺青
肉酸	丟臉
轉校	轉學
離家出走	出走
單元	單位
兩粒	兩個
反轉	顛倒
坐監	坐牢
姣	騷
宗教	信仰
慳	節省
我架	我嘅
整到	搞到
正所謂	所謂
牠	它
睇穿	看穿
緣份	緣分
開會	會議
頸鍊	項鍊
魚蛋	魚丸
是以	因此
國內外	海內外
一腳踢	全能
傻豬	傻瓜
冇心	無心
勢力	權勢
士多	商店
好勁	厲害
娘親	母親
市民	居民
探員	偵探
步行	走路
眼白白	乾瞪眼
等如	等於
背住	揹着
蔔	蘿蔔
製	製造
輔導	指導
追上	趕上
雞翼	翅膀
測量	量度
斑竹	版主
得很	非常
乸	雌
合埋	合攏
咁滯	幾乎
好地地	好好地
孭	揹
小食	零食
愈嚟愈	越來越
日出	黎明
日落	黃昏
澈	清澈
甜筒	雪糕
結他	吉他
翻到	翻去
識講	識講嘢
豬扒	豬排
跪低	跪下
銀仔	硬幣
高中	中學
共有	共同
輸入法	打字法
七七八八	差不多
人仔	人民幣
初頭	起初
勤力	勤奮
喃喃	喃喃自語
嗰度	那裏
奸笑	陰笑
急不及待	迫不及待
手指公	拇指
極之	極其
泳	游泳
狗公	公犬
瞇	眯
花名	綽號
落力	盡力
薯仔	馬鈴薯
變做	變成
邊間	邊度
開燈	亮燈
風水	堪輿
髮型	頭型
炒作	哄抬
最愛	至愛
研究所	研究院
做得	可以
其他人	別人
一嚟	一來
侍應	侍應生
勾起	引起
反問	反詰
唔覺意	無意中
好靜	安靜
嫌棄	厭惡
晨早	早上
有型	時髦
水族館	海洋館
泥膠	黏土
生還	倖存
的而且確	的確
茶餐廳	茶室
薯片	脆片
