head	tail
上堂	上課
仲有	還有
仲要	更加
依家	現在
做咩	幹什麼
冇	沒有
冇事	無妨
冇錯	沒錯
出街	上街
即係	就是
叻	聰明
唔使	不用
唔記得	忘記
唔該	謝謝
啱	對
啱啱	剛剛
喪屍	殭屍
嘈	吵
嘢	東西
大佬	大哥
大聲	高聲
女仔	女孩
好睇	好看
定係	還是
家姐	姐姐
屋企	家
幾時	何時
心諗	心想
戴	佩戴
抌	扔
掛住	想念
放學	下課
早餐	早飯
望住	看住
梗係	當然
男仔	男孩
瞓	睡
等等	之類
細妹	妹妹
細路	小孩
老豆	爸爸
落去	下去
跟住	然後
返學	上學
邊度	哪裏
錫	吻
電視	電視機
點樣	怎樣
點知	豈料
點算	怎麼辦
上嚟	上來
乜嘢	什麼
你好	問好
冇問題	無妨
博客	網誌
只不過	只是
呻吟	哼
唔多	少
唔舒服	難受
唔錯	不錯
嚟到	來到
夠膽	大膽
天晴	晴天
好味	美味
姊妹	姐妹
將會	即將
對話	會話
師兄	師弟
幾耐	多久
影相	拍照
打機	遊戲
拳頭	拳
提子	葡萄
朝早	早上
枕頭	枕
條友	傢伙
每日	天天
港人	香港人
熊仔	熊
狗仔	犬
琴晚	昨晚
生果	水果
盡量	儘量
相機	攝影機
石頭	石
社會	世上
第一次	首次
第二日	翌日
算了	罷了
耳仔	耳朵
舖	店舖
行埋	走近
表白	剖白
視線	目光
課室	教室
諗法	想法
講真	説實話
車站	火車站
醉	醺
音樂	歌曲
下個	下一個
不在	不在場
事發	發生
以嚟	以來
估到	料到
入嚟	進來
別的	其他
千祈	千萬
叫醒	喚醒
吹水	閒聊
唔捨得	捨不得
嘴角	口角
大小姐	小姐
大隻	高大
尋晚	昨晚
廣告	宣傳
心痛	傷心
心裡	心裏
扁	平
接住	接著
搞笑	好笑
數字	數目
文檔	文件
是但	隨便
時尚	潮流
本能	天性
校車	公車
沿住	順着
無謂	何必
狐狸	狐
盡快	趕快
第日	他日
筆記本	記事簿
紫色	紫
總有	總會
舐	舔
落車	下車
蝴蝶	蝶
行山	登山
衰仔	壞蛋
西瓜	瓜
貓仔	貓
越嚟越	越來越
轉載	轉發
還有	另外
長大	成長
阻住	阻礙
陰道	產道
鴨仔	鴨
點做	怎麼辦
世伯	伯父
中年	中年人
主板	主機板
乜鬼	什麼
個鐘	小時
利是	紅包
卻是	倒是
呢邊	這邊
嘔心	噁心
地板	地面
大件事	大事
大鑊	麻煩
失落	沮喪
好易	容易
子彈	槍彈
工作人員	職員
快遞	速遞
怎麼辦	如何是好
急急腳	急忙
成員	份子
成晚	通宵
手裏	手上
授權	準許
搞錯	弄錯
收皮	收場
波鞋	球鞋
版主	樓主
當堂	當場
發票	收據
眼色	神色
睇法	看法
突破	衝破
第二朝	翌日
老土	過時
職工	員工
聽朝	明早
芝士	乳酪
行開	走開
語言	言語
身高	高度
返來	回來
醜怪	醜陋
銅	黃銅
錯愕	驚愕
鐵閘	鐵門
開聲	出聲
顯卡	顯示卡
食煙	吸煙
首頁	主頁
黐線	發瘋
一般人	普通人
世紀	時代
今時今日	現在
傻佬	傻瓜
八爪魚	章魚
凳仔	矮凳
制度	體制
剩返	剩下
包住	包起
叫停	制止
可能性	可能
吸塵機	吸塵器
埋位	就座
執起	拾起
夾住	夾緊
好多時	經常
好耐	好久
小矮人	侏儒
差佬	警察
得人驚	可怕
手套	手襪
接下來	然後
攬實	攬住
有講有笑	談笑
望下	看看
權利	權益
殺人	殺害
每人	各人
沿途	一路
無端端	平白無故
生仔	生育
男神	偶像
發貨	出貨
直行	向前
神父	牧師
秩序	次序
立法	制定
筷子	箸
紅蘿蔔	胡蘿蔔
細粒	細小
總部	總行
舖頭	店舖
草叢	草莽
落堂	下課
補丁	補釘
話唔定	説不定
負面	消極
質素	品質
除衫	脱衣
隨心	隨意
七七八八	差不多
乸	雌
侍應	侍應生
做得	可以
共有	共同
初頭	起初
咁滯	幾乎
喃喃	喃喃自語
單手	一手
嗌交	吵架
國內外	海內外
坐監	坐牢
好地地	好好地
好眼	眼利
娘親	母親
嫌棄	厭惡
客服	服務員
小息	休息
小食	零食
市民	居民
庫存	存貨
急不及待	迫不及待
愈嚟愈	越來越
手指公	拇指
探員	偵探
斑竹	版主
日出	黎明
日落	黃昏
極之	極其
正所謂	所謂
沙律	沙拉
泥膠	黏土
泳	游泳
測量	量度
生還	倖存
用嚟	用來
瘀	瘀傷
看上去	看來
眼白白	乾瞪眼
等如	等於
緣份	緣分
背住	揹着
蔔	蘿蔔
薯仔	馬鈴薯
豬扒	豬排
輸入法	打字法
邊位	邊個
金色	金黃色
銀仔	硬幣
高中	中學
