head	note	batch_id
一國之主	prior project_syn edge covers head	syn-len4-b10-20260718
一家大小	prior project_syn edge covers head	syn-len4-b06-20260718
一番苦心	prior project_syn edge covers head	syn-len4-b07-20260718
一石二鳥	prior project_syn edge covers head	syn-len4-b05-20260718
一般狀況	within-batch undirected syn edge covers head	syn-len4-b10-20260718
下一個	prior project_syn edge covers head	syn-top5000-b05-20260718
不分勝負	within-batch undirected syn edge covers head	syn-len4-b07-20260718
不成體統	prior project_syn edge covers head	syn-len4-b09-20260718
中心人物	prior project_syn edge covers head	syn-len4-b06-20260718
主持正義	prior project_syn edge covers head	syn-len4-b08-20260718
主頁	prior project_syn edge covers head	syn-top5000-b06-20260718
乾淨俐落	prior project_syn edge covers head	syn-len4-b10-20260718
事已至此	prior project_syn edge covers head	syn-len4-b07-20260718
人工受精	prior project_syn edge covers head	syn-len4-b06-20260718
人心叵測	within-batch undirected syn edge covers head	syn-len4-b07-20260718
作業環境	prior project_syn edge covers head	syn-len4-b06-20260718
信用評級	within-batch undirected syn edge covers head	syn-len4-b02-20260718
傳動機構	prior project_syn edge covers head	syn-len4-b05-20260718
先決條件	prior project_syn edge covers head	syn-len4-b02-20260718
光陰似箭	prior project_syn edge covers head	syn-len4-b05-20260718
兔子	prior project_syn edge covers head	syn-top5000-b06-20260718
全身上下	within-batch undirected syn edge covers head	syn-len4-b02-20260718
公共事業	prior project_syn edge covers head	syn-len4-b02-20260718
初來乍到	prior project_syn edge covers head (final-audit rejudge)	syn-len4-final-audit-20260718
利害衝突	prior project_syn edge covers head	syn-len4-b09-20260718
力大無比	prior project_syn edge covers head	syn-len4-b08-20260718
化裝舞會	prior project_syn edge covers head	syn-len4-b07-20260718
十有八九	prior project_syn edge covers head (final-audit rejudge)	syn-len4-final-audit-20260718
升降機	prior project_syn edge covers head	syn-top5000-b04-20260718
參考書目	prior project_syn edge covers head	syn-len4-b02-20260718
反咬一口	within-batch undirected syn edge covers head	syn-len4-b07-20260718
啦啦隊員	within-batch undirected syn edge covers head	syn-len4-b08-20260718
嚴以律己	prior project_syn edge covers head	syn-len4-b08-20260718
國際法院	prior project_syn edge covers head	syn-len4-b08-20260718
城市居民	within-batch undirected syn edge covers head	syn-len4-b01-20260718
外交使節	prior project_syn edge covers head	syn-len4-b10-20260718
天理不容	within-batch undirected syn edge covers head	syn-len4-b08-20260718
女中豪傑	prior project_syn edge covers head	syn-len4-b06-20260718
女友	prior project_syn edge covers head	syn-top5000-b04-20260718
