head	reason	batch_id
一世英名	cultural_no_binary	syn-len4-b07-20260718
一以貫之	cultural_no_binary	syn-len4-b05-20260718
一個二個	polysemous_no_stable_sense	syn-len4-b01-20260718
一個勁兒	cultural_no_binary	syn-len4-b02-20260718
一元復始	cultural_no_binary	syn-len4-b10-20260718
一分一秒	cultural_no_binary	syn-len4-b02-20260718
一千零一	other_documented	syn-len4-b02-20260718
一句話	no_stable_near_synonym	syn-top5000-b04-20260718
一哄而起	cultural_no_binary	syn-len4-b10-20260718
一問一答	cultural_no_binary	syn-len4-b05-20260718
一嘢	function_word	syn-top5000-b03-20260718
一堆	function_word	syn-top5000-b03-20260718
一場	function_word	syn-top5000-b02-20260718
一夜風流	cultural_no_binary	syn-len4-b05-20260718
一夫多妻	other_documented	syn-len4-b04-20260718
一夫當關	cultural_no_binary	syn-len4-b05-20260718
一套	function_word	syn-top5000-b03-20260718
一如	function_word	syn-top5000-b05-20260718
一妻多夫	other_documented	syn-len4-b08-20260718
一字不差	other_documented	syn-len4-b06-20260718
一字之差	cultural_no_binary	syn-len4-b05-20260718
一官半職	cultural_no_binary	syn-len4-b06-20260718
一席之地	cultural_no_binary	syn-len4-b01-20260718
一年一度	other_documented	syn-len4-b02-20260718
一式兩份	other_documented	syn-len4-b04-20260718
一忍再忍	other_documented	syn-len4-b07-20260718
一念之間	cultural_no_binary	syn-len4-b02-20260718
一房一廳	other_documented	syn-len4-b02-20260718
一手一腳	cultural_no_binary	syn-len4-b02-20260718
一拍兩散	cultural_no_binary	syn-len4-b06-20260718
一招半式	cultural_no_binary	syn-len4-b09-20260718
一排	function_word	syn-top5000-b03-20260718
一於	function_word	syn-top5000-b04-20260718
一日	function_word	syn-top5000-b01-20260718
一時糊塗	other_documented	syn-len4-b06-20260718
一本	function_word	syn-top5000-b06-20260718
一柱擎天	cultural_no_binary	syn-len4-b05-20260718
一次	function_word	syn-top5000-b01-20260718
一步	function_word	syn-top5000-b02-20260718
一死一傷	cultural_no_binary	syn-len4-b05-20260718
一死了之	cultural_no_binary	syn-len4-b07-20260718
一段	function_word	syn-top5000-b01-20260718
一氧化碳	no_stable_near_synonym	syn-len4-b01-20260718
一池春水	cultural_no_binary	syn-len4-b07-20260718
一波又起	cultural_no_binary	syn-len4-b03-20260718
一波未平	cultural_no_binary	syn-len4-b03-20260718
一潭死水	cultural_no_binary	syn-len4-b04-20260718
一片	function_word	syn-top5000-b02-20260718
一片空白	cultural_no_binary	syn-len4-b01-20260718
一病不起	cultural_no_binary	syn-len4-b05-20260718
一瘸一拐	cultural_no_binary	syn-len4-b03-20260718
一眼	function_word	syn-top5000-b02-20260718
一眼望去	cultural_no_binary	syn-len4-b05-20260718
一眼看穿	polysemous_no_stable_sense	syn-len4-b07-20260718
一笑了之	cultural_no_binary	syn-len4-b04-20260718
一箭之仇	cultural_no_binary	syn-len4-b06-20260718
一篇文章	no_stable_near_synonym	syn-len4-b01-20260718
一紙空文	cultural_no_binary	syn-len4-b05-20260718
一級士官	other_documented	syn-len4-b06-20260718
一統天下	cultural_no_binary	syn-len4-b03-20260718
一線之隔	cultural_no_binary	syn-len4-b06-20260718
一線希望	no_stable_near_synonym	syn-len4-reaudit-20260719
一線生機	no_stable_near_synonym	syn-len4-reaudit-20260719
一脈相承	cultural_no_binary	syn-len4-b02-20260718
一腔熱血	cultural_no_binary	syn-len4-b04-20260718
一腳踢開	cultural_no_binary	syn-len4-b05-20260718
一臂之力	cultural_no_binary	syn-len4-b02-20260718
一舉成功	other_documented	syn-len4-b08-20260718
一般原則	other_documented	syn-len4-b05-20260718
一般規定	other_documented	syn-len4-b04-20260718
