rank	head	essay_frequency	syn_tails
1	打球	3271	1
2	唇膏	3203	1
3	體內	3203	1
4	唔經唔覺	3114	1
5	物件	3114	1
6	其他地方	2816	1
7	做主	2669	1
8	幾錢	2669	1
9	摩托車	2591	1
10	出貨	2582	1
11	合約	2491	1
12	婚禮	2491	2
13	這次	2491	1
14	國企	2391	1
15	月台	2313	1
16	分數	2224	1
17	回合	2224	1
18	村裏	2220	1
19	殺毒軟件	2220	1
20	佛山	2219	123
21	小夥子	2218	8
22	海軍	2217	19
23	不已	2216	27
24	啓示	2214	7
25	輪胎	2213	4
26	拷貝	2210	1
27	選購	2210	23
28	專區	2209	13
29	聽取	2206	2
30	債券	2205	1
31	導出	2204	1
32	租賃	2201	12
33	女主角	2199	1
34	配方	2197	5
35	鑑於	2196	3
36	舉措	2192	7
37	自動化	2190	39
38	人文	2189	2
39	檢索	2189	19
40	圖表	2185	6
41	大豆	2184	2
42	訂購	2178	6
43	對照	2177	8
44	艾滋病	2177	1
45	依託	2172	4
46	多年來	2172	10
47	整改	2170	6
48	車間	2170	1
49	陌生人	2170	9
50	洛陽	2168	116
51	生產線	2162	5
52	股指	2160	1
53	石家莊	2151	116
54	額度	2151	15
55	總公司	2150	4
56	源於	2149	11
57	代表團	2148	16
58	週二	2148	2
59	釐米	2145	19
60	麻將	2137	1
61	明細	2136	21
62	一味	2135	34
63	不單	2135	12
64	不經意	2135	10
65	不錯	2135	81
66	人們	2135	2
67	人流	2135	8
68	人道	2135	34
69	傾向	2135	17
70	入場	2135	5
71	公里	2135	19
72	兵器	2135	15
73	刑事	2135	2
74	北面	2135	1
75	原先	2135	13
76	合力	2135	12
77	商品	2135	4
78	多種	2135	10
79	大隊	2135	3
80	天意	2135	13
81	學院	2135	1
82	屋主	2135	3
83	常識	2135	1
84	底線	2135	1
85	店鋪	2135	20
86	影像	2135	3
87	循環	2135	4
88	情境	2135	8
89	愛意	2135	10
90	擅長	2135	8
91	昨晚	2135	5
92	次序	2135	11
93	歲月	2135	18
94	江湖	2135	25
95	派對	2135	42
96	源頭	2135	6
97	犯法	2135	11
98	男兒	2135	10
99	看似	2135	14
100	睡覺	2135	10
101	示威	2135	6
102	紳士	2135	3
103	老友	2135	8
104	致命	2135	4
105	蜜糖	2135	2
106	行事	2135	13
107	裝置	2135	10
108	親王	2135	5
109	言論	2135	4
110	詞語	2135	3
