rank	head	essay_frequency	syn_tails	syn_neighbors
1	唔係	820726	1	不是
2	真係	791094	1	真的
3	唔好	617747	1	不好
4	但係	577436	1	但是
5	點解	486580	1	為什麼
6	邊個	454723	2	誰,邊位
7	即係	368673	1	就是
8	屋企	342332	1	家
9	鍾意	337260	1	喜歡
10	唔到	313412	1	不到
11	跟住	302466	1	然後
12	邊度	282355	2	哪裏,邊間
13	係咪	250409	1	是否
14	同埋	244091	1	以及
15	女仔	216416	1	女孩
16	媽咪	204670	1	媽媽
17	兩個	158930	1	兩粒
18	家姐	154570	1	姐姐
19	點樣	150654	1	怎樣
20	仲有	143269	1	還有
21	頭先	138018	1	剛才
22	落去	132679	1	下去
23	依家	129120	1	現在
24	做咩	120666	1	幹什麼
25	公仔	118619	1	玩偶
26	出嚟	114615	1	出來
27	男仔	110788	1	男孩
28	唔該	110343	1	謝謝
29	今次	99843	1	這次
30	唔同	95127	1	不同
31	點知	92279	1	豈料
32	諗住	91211	1	打算
33	老豆	87741	1	爸爸
34	返去	81601	1	回去
35	仲要	72613	1	更加
36	污糟	72435	1	骯髒
37	唔通	68341	1	難道
38	望住	66473	1	看住
39	唔記得	64426	1	忘記
40	淨係	63892	1	只是
41	細佬	62824	1	弟弟
42	細妹	61845	1	妹妹
43	梗係	61489	1	當然
44	唔使	61045	1	不用
45	噉樣	60600	1	這樣
46	好彩	60511	1	幸運
47	聽日	60244	1	明天
48	啱啱	59710	1	剛剛
49	細路	51879	1	小孩
50	好食	50633	1	好吃
51	唔見	49476	1	不見
52	喪屍	49031	1	殭屍
53	食飯	48586	1	吃飯
54	過嚟	47963	1	過來
55	雙手	44938	2	兩手,手
56	點算	43959	1	怎麼辦
57	出聲	43514	3	説話,講聲,開聲
58	轉身	43247	1	掉頭
59	定係	42535	1	還是
60	冇乜	42357	1	沒什麼
61	所謂	41823	1	號稱
62	諗起	41645	1	想起
63	睇住	41111	1	盯住
64	掛住	40311	1	想念
65	唔好意思	39866	1	對不起
66	大佬	38976	1	大哥
67	先至	37374	1	才
68	姨姨	37196	1	阿姨
69	冇事	36217	1	無妨
70	得閒	35950	1	有空
71	返學	34437	1	上學
72	心諗	34170	1	心想
73	返嚟	33815	1	回來
74	嗰個	32569	1	那個
75	肚餓	32569	1	飢餓
76	冇錯	32480	1	沒錯
77	講嘢	31946	1	説話
78	好睇	31412	1	好看
79	對於	30700	2	對,於
80	靚仔	30433	1	帥哥
81	令到	30166	1	使得
82	一係	29632	1	要麼
83	上堂	29365	1	上課
84	放低	28742	1	放下
85	唔緊要	28386	1	不要緊
86	幾好	28386	1	不錯
87	無啦啦	27852	1	平白
88	睇嚟	27852	1	看來
89	鎖匙	27052	1	鑰匙
90	出街	26963	2	上街,落街
91	試過	26785	1	嘗試
