batch_id	head	tail
post-syn-ant-ring5k10k-b01-20260718	體內	體外
post-syn-ant-ring5k10k-b01-20260718	唔經唔覺	故意
post-syn-ant-ring5k10k-b01-20260718	唔經唔覺	特登
post-syn-ant-ring5k10k-b01-20260718	做主	聽話
post-syn-ant-ring5k10k-b01-20260718	做主	服從
post-syn-ant-ring5k10k-b01-20260718	出貨	入貨
post-syn-ant-ring5k10k-b01-20260718	出貨	收貨
post-syn-ant-ring5k10k-b01-20260718	這次	上次
post-syn-ant-ring5k10k-b01-20260718	這次	下次
post-syn-ant-ring5k10k-b01-20260718	女主角	男主角
post-syn-ant-ring5k10k-b01-20260718	訂購	退訂
post-syn-ant-ring5k10k-b01-20260718	租賃	購買
post-syn-ant-ring5k10k-b01-20260718	租賃	出售
post-syn-ant-ring5k10k-b01-20260718	陌生人	熟人
post-syn-ant-ring5k10k-b01-20260718	拷貝	原件
post-syn-ant-ring5k10k-b01-20260718	選購	退貨
post-syn-ant-ring5k10k-b01-20260718	不經意	故意
post-syn-ant-ring5k10k-b01-20260718	不經意	特登
post-syn-ant-ring5k10k-b01-20260718	不錯	好衰
post-syn-ant-ring5k10k-b01-20260718	入場	離場
post-syn-ant-ring5k10k-b01-20260718	入場	退場
post-syn-ant-ring5k10k-b01-20260718	原先	而家
post-syn-ant-ring5k10k-b01-20260718	原先	後來
post-syn-ant-ring5k10k-b01-20260718	合力	單幹
post-syn-ant-ring5k10k-b01-20260718	合力	各自
post-syn-ant-ring5k10k-b01-20260718	明細	含糊
post-syn-ant-ring5k10k-b01-20260718	傾向	反對
post-syn-ant-ring5k10k-b01-20260718	小夥子	老人家
post-syn-ant-ring5k10k-b01-20260718	聽取	忽略
post-syn-ant-ring5k10k-b01-20260718	一味	偶爾
post-syn-ant-ring5k10k-b01-20260718	明細	籠統
post-syn-ant-ring5k10k-b01-20260718	北面	南邊
post-syn-ant-ring5k10k-b01-20260718	原先	如今
post-syn-ant-ring5k10k-b01-20260718	入場	出場
post-syn-ant-ring5k10k-b01-20260718	不錯	差勁
post-syn-ant-ring5k10k-b01-20260718	不經意	有意
post-syn-ant-ring5k10k-b01-20260718	陌生人	自己人
post-syn-ant-ring5k10k-b01-20260718	做主	聽命
post-syn-ant-ring5k10k-b01-20260718	唔經唔覺	有意
post-syn-ant-ring5k10k-b02-20260718	不在乎	在乎
post-syn-ant-ring5k10k-b02-20260718	不在乎	重視
post-syn-ant-ring5k10k-b02-20260718	出具	收回
post-syn-ant-ring5k10k-b02-20260718	停下	繼續
post-syn-ant-ring5k10k-b02-20260718	停下	開始
post-syn-ant-ring5k10k-b02-20260718	凝望	無視
post-syn-ant-ring5k10k-b02-20260718	出走	回來
post-syn-ant-ring5k10k-b02-20260718	剎那間	長久
post-syn-ant-ring5k10k-b02-20260718	剎那間	永遠
post-syn-ant-ring5k10k-b02-20260718	包紮	解開
post-syn-ant-ring5k10k-b02-20260718	報案	隱瞞
post-syn-ant-ring5k10k-b02-20260718	斜路	正路
post-syn-ant-ring5k10k-b02-20260718	旁人	自己
post-syn-ant-ring5k10k-b02-20260718	登出	登入
post-syn-ant-ring5k10k-b02-20260718	監察	放任
post-syn-ant-ring5k10k-b02-20260718	草草	仔細
post-syn-ant-ring5k10k-b02-20260718	草草	認真
post-syn-ant-ring5k10k-b02-20260718	萬能	無能
post-syn-ant-ring5k10k-b02-20260718	親愛	憎恨
post-syn-ant-ring5k10k-b02-20260718	親愛	討厭
post-syn-ant-ring5k10k-b02-20260718	搶劫	救助
post-syn-ant-ring5k10k-b02-20260718	致使	防止
post-syn-ant-ring5k10k-b02-20260718	寫真	虛構
post-syn-ant-ring5k10k-b02-20260718	力氣	無力
post-syn-ant-ring5k10k-b02-20260718	空位	滿座
post-syn-ant-ring5k10k-b02-20260718	背部	正面
post-syn-ant-ring5k10k-b02-20260718	背部	前面
post-syn-ant-ring5k10k-b02-20260718	麻醉	清醒
post-syn-ant-ring5k10k-b02-20260718	戒心	放心
post-syn-ant-ring5k10k-b02-20260718	監獄	自由
post-syn-ant-ring5k10k-b02-20260718	致使	避免
post-syn-ant-ring5k10k-b02-20260718	繳費	免費
post-syn-ant-ring5k10k-b02-20260718	力氣	虛弱
post-syn-ant-ring5k10k-b02-20260718	戒心	信任
post-syn-ant-ring5k10k-b03-20260718	繼承	放棄
post-syn-ant-ring5k10k-b03-20260718	自身	他人
post-syn-ant-ring5k10k-b03-20260718	自身	別人
post-syn-ant-ring5k10k-b03-20260718	落水	上岸
post-syn-ant-ring5k10k-b03-20260718	起行	停留
post-syn-ant-ring5k10k-b03-20260718	迷茫	清晰
post-syn-ant-ring5k10k-b03-20260718	迷茫	清醒
post-syn-ant-ring5k10k-b03-20260718	過往	未來
post-syn-ant-ring5k10k-b03-20260718	過癮	掃興
post-syn-ant-ring5k10k-b03-20260718	震撼	平淡
post-syn-ant-ring5k10k-b03-20260718	黯然	開朗
post-syn-ant-ring5k10k-b03-20260718	黯然	開心
post-syn-ant-ring5k10k-b03-20260718	男孩子	女孩子
post-syn-ant-ring5k10k-b03-20260718	隱患	保障
post-syn-ant-ring5k10k-b03-20260718	做工	休息
post-syn-ant-ring5k10k-b03-20260718	侷限	無限
post-syn-ant-ring5k10k-b03-20260718	關愛	冷漠
post-syn-ant-ring5k10k-b03-20260718	看重	輕視
post-syn-ant-ring5k10k-b03-20260718	佔據	放棄
post-syn-ant-ring5k10k-b03-20260718	修補	破壞
post-syn-ant-ring5k10k-b03-20260718	弱智	聰明
post-syn-ant-ring5k10k-b03-20260718	思念	忘記
post-syn-ant-ring5k10k-b03-20260718	思念	淡忘
post-syn-ant-ring5k10k-b03-20260718	塞車	暢通
post-syn-ant-ring5k10k-b03-20260718	塞車	暢順
post-syn-ant-ring5k10k-b03-20260718	繼承	拋棄
post-syn-ant-ring5k10k-b03-20260718	過往	將來
post-syn-ant-ring5k10k-b03-20260718	做工	偷懶
post-syn-ant-ring5k10k-b03-20260718	隱患	安全
post-syn-ant-ring5k10k-b04-20260718	湊合	講究
post-syn-ant-ring5k10k-b04-20260718	滯後	領先
post-syn-ant-ring5k10k-b04-20260718	就讀	退學
post-syn-ant-ring5k10k-b04-20260718	非得	不必
post-syn-ant-ring5k10k-b04-20260718	變臉	言歡
post-syn-ant-ring5k10k-b04-20260718	過問	不管
post-syn-ant-ring5k10k-b04-20260718	延期	準時
post-syn-ant-ring5k10k-b04-20260718	傷風	康復
post-syn-ant-ring5k10k-b04-20260718	增長	減少
post-syn-ant-ring5k10k-b04-20260718	逗留	啟程
post-syn-ant-ring5k10k-b04-20260718	着數	吃虧
post-syn-ant-ring5k10k-b04-20260718	翻轉	復原
post-syn-ant-ring5k10k-b04-20260718	摺疊	攤開
post-syn-ant-ring5k10k-b04-20260718	再不	總是
post-syn-ant-ring5k10k-b04-20260718	開辦	關閉
post-syn-ant-ring5k10k-b04-20260718	落下	升起
post-syn-ant-ring5k10k-b04-20260718	過火	適度
post-syn-ant-ring5k10k-b04-20260718	幹掉	救活
post-syn-ant-ring5k10k-b04-20260718	摺疊	展開
post-syn-ant-ring5k10k-b04-20260718	行禮	無禮
post-syn-ant-ring5k10k-b04-20260718	行禮	失禮
post-syn-ant-ring5k10k-b04-20260718	開辦	結業
post-syn-ant-ring5k10k-b04-20260718	走火	熄滅
post-syn-ant-ring5k10k-b04-20260718	裂開	黏合
post-syn-ant-ring5k10k-b04-20260718	骨折	康復
post-syn-ant-ring5k10k-b04-20260718	有病	健康
post-syn-ant-ring5k10k-b04-20260718	回升	回落
post-syn-ant-ring5k10k-b04-20260718	調頭	直行
post-syn-ant-ring5k10k-b04-20260718	有幸	不幸
post-syn-ant-ring5k10k-b04-20260718	買進	拋售
post-syn-ant-ring5k10k-b04-20260718	親吻	拒絕
post-syn-ant-ring5k10k-b04-20260718	其次	首先
post-syn-ant-ring5k10k-b04-20260718	落下	上升
post-syn-ant-ring5k10k-b04-20260718	對準	偏離
post-syn-ant-ring5k10k-b04-20260718	偷走	送還
post-syn-ant-ring5k10k-b04-20260718	激情	冷淡
post-syn-ant-ring5k10k-b04-20260718	骨折	痊癒
post-syn-ant-ring5k10k-b04-20260718	白費	值得
post-syn-ant-ring5k10k-b04-20260718	絕不	必定
post-syn-ant-ring5k10k-b04-20260718	下崗	在職
post-syn-ant-ring5k10k-b04-20260718	直觀	抽象
post-syn-ant-ring5k10k-b04-20260718	忐忑	安心
post-syn-ant-ring5k10k-b04-20260718	發揚	壓抑
post-syn-ant-ring5k10k-b04-20260718	還款	借貸
post-syn-ant-ring5k10k-b04-20260718	絕跡	重現
post-syn-ant-ring5k10k-b04-20260718	看成	看輕
post-syn-ant-ring5k10k-b04-20260718	融入	孤立
post-syn-ant-ring5k10k-b04-20260718	便捷	繁瑣
post-syn-ant-ring5k10k-b04-20260718	跨過	退縮
post-syn-ant-ring5k10k-b04-20260718	偷走	歸還
post-syn-ant-ring5k10k-b05-20260718	痛心	高興
post-syn-ant-ring5k10k-b05-20260718	規避	迎戰
post-syn-ant-ring5k10k-b05-20260718	鍾情	厭棄
post-syn-ant-ring5k10k-b05-20260718	鍾情	厭惡
post-syn-ant-ring5k10k-b05-20260718	收服	對抗
post-syn-ant-ring5k10k-b05-20260718	返還	扣留
post-syn-ant-ring5k10k-b05-20260718	強有力	軟弱
post-syn-ant-ring5k10k-b05-20260718	年少	年長
post-syn-ant-ring5k10k-b05-20260718	費勁	省力
post-syn-ant-ring5k10k-b05-20260718	應酬	獨處
post-syn-ant-ring5k10k-b05-20260718	受驚	鎮定
post-syn-ant-ring5k10k-b05-20260718	湧出	倒灌
post-syn-ant-ring5k10k-b05-20260718	費勁	輕鬆
post-syn-ant-ring5k10k-b05-20260718	慰藉	折磨
post-syn-ant-ring5k10k-b05-20260718	吶喊	沉默
post-syn-ant-ring5k10k-b05-20260718	耀眼	黯淡
post-syn-ant-ring5k10k-b05-20260718	當即	拖延
post-syn-ant-ring5k10k-b05-20260718	接吻	拒絕
post-syn-ant-ring5k10k-b05-20260718	完事	開始
post-syn-ant-ring5k10k-b05-20260718	當即	遲緩
post-syn-ant-ring5k10k-b05-20260718	恐嚇	撫慰
post-syn-ant-ring5k10k-b05-20260718	同等	不同
post-syn-ant-ring5k10k-b05-20260718	吞噬	吐出
post-syn-ant-ring5k10k-b05-20260718	泄漏	保密
post-syn-ant-ring5k10k-b05-20260718	滑落	攀升
post-syn-ant-ring5k10k-b05-20260718	塗抹	擦掉
post-syn-ant-ring5k10k-b05-20260718	填補	留空
post-syn-ant-ring5k10k-b05-20260718	點火	熄滅
post-syn-ant-ring5k10k-b05-20260718	停機	開機
post-syn-ant-ring5k10k-b05-20260718	要緊	次要
post-syn-ant-ring5k10k-b05-20260718	胡亂	有序
post-syn-ant-ring5k10k-b05-20260718	滑落	攀爬
post-syn-ant-ring5k10k-b05-20260718	抓獲	放走
post-syn-ant-ring5k10k-b05-20260718	流淌	靜止
post-syn-ant-ring5k10k-b05-20260718	叮囑	沉默
post-syn-ant-ring5k10k-b05-20260718	復出	引退
post-syn-ant-ring5k10k-b05-20260718	漂流	停泊
post-syn-ant-ring5k10k-b05-20260718	下月	上月
post-syn-ant-ring5k10k-b05-20260718	舉例	概括
post-syn-ant-ring5k10k-b05-20260718	午後	凌晨
post-syn-ant-ring5k10k-b05-20260718	塗抹	清除
post-syn-ant-ring5k10k-b05-20260718	胡亂	認真
post-syn-ant-ring5k10k-b05-20260718	暗自	公開
post-syn-ant-ring5k10k-b05-20260718	從沒	常常
post-syn-ant-ring5k10k-b05-20260718	散步	奔跑
post-syn-ant-ring5k10k-b05-20260718	流淌	凝固
post-syn-ant-ring5k10k-b05-20260718	前者	後者
post-syn-ant-ring5k10k-b05-20260718	恐嚇	安慰
post-syn-ant-ring5k10k-b05-20260718	索賠	賠償
post-syn-ant-ring5k10k-b05-20260718	來訪	離去
post-syn-ant-ring5k10k-b06-20260718	作案	破案
post-syn-ant-ring5k10k-b06-20260718	碰到	錯過
post-syn-ant-ring5k10k-b06-20260718	知己	陌路
post-syn-ant-ring5k10k-b06-20260718	上當	醒覺
post-syn-ant-ring5k10k-b06-20260718	放膽	怯場
post-syn-ant-ring5k10k-b06-20260718	斷氣	甦醒
post-syn-ant-ring5k10k-b06-20260718	問世	絕跡
post-syn-ant-ring5k10k-b06-20260718	發抖	從容
post-syn-ant-ring5k10k-b06-20260718	掉轉	前進
post-syn-ant-ring5k10k-b06-20260718	破綻	無瑕
post-syn-ant-ring5k10k-b06-20260718	堅挺	下跌
post-syn-ant-ring5k10k-b06-20260718	斷氣	生還
post-syn-ant-ring5k10k-b06-20260718	違章	守法
post-syn-ant-ring5k10k-b06-20260718	演練	上陣
post-syn-ant-ring5k10k-b06-20260718	下載	上載
post-syn-ant-ring5k10k-b06-20260718	求情	嚴懲
post-syn-ant-ring5k10k-b06-20260718	嘆息	歡喜
post-syn-ant-ring5k10k-b06-20260718	嘆息	歡笑
post-syn-ant-ring5k10k-b06-20260718	打劫	援助
post-syn-ant-ring5k10k-b06-20260718	上當	清醒
post-syn-ant-ring5k10k-b06-20260718	散落	集合
post-syn-ant-ring5k10k-b06-20260718	冤枉	清白
post-syn-ant-ring5k10k-b06-20260718	減弱	增強
post-syn-ant-ring5k10k-b06-20260718	哽咽	歡笑
post-syn-ant-ring5k10k-b06-20260718	偷窺	直視
post-syn-ant-ring5k10k-b06-20260718	抽查	放任
post-syn-ant-ring5k10k-b06-20260718	缺口	補足
post-syn-ant-ring5k10k-b06-20260718	責任心	不負責任
post-syn-ant-ring5k10k-b06-20260718	冤枉	昭雪
post-syn-ant-ring5k10k-b06-20260718	問世	絕版
post-syn-ant-ring5k10k-b06-20260718	保釋	扣押
post-syn-ant-ring5k10k-b06-20260718	聊天	靜默
post-syn-ant-ring5k10k-b06-20260718	減弱	強化
post-syn-ant-ring5k10k-b06-20260718	彎腰	抬頭
post-syn-ant-ring5k10k-b06-20260718	打劫	施捨
post-syn-ant-ring5k10k-b06-20260718	下一步	回頭
post-syn-ant-ring5k10k-b06-20260718	散落	聚集
post-syn-ant-ring5k10k-b06-20260718	手緊	闊綽
post-syn-ant-ring5k10k-b06-20260718	終究	目前
post-syn-ant-ring5k10k-b06-20260718	哽咽	暢談
post-syn-ant-ring5k10k-b06-20260718	剖析	含糊
post-syn-ant-ring5k10k-b06-20260718	預示	追溯
post-syn-ant-ring5k10k-b06-20260718	招惹	避開
post-syn-ant-ring5k10k-b06-20260718	缺口	完滿
post-syn-ant-ring5k10k-b06-20260718	發抖	鎮定
post-syn-ant-ring5k10k-b06-20260718	翌日	當日
post-syn-ant-ring5k10k-b06-20260718	累積	揮霍
post-syn-ant-ring5k10k-b06-20260718	知己	陌生人
post-syn-ant-ring5k10k-b06-20260718	下載	上傳
post-syn-ant-ring5k10k-b06-20260718	累積	消耗
