rank	head	essay_frequency	direct_syn_tails
1	係	8784348	0
2	佢	6038655	0
3	嘅	4333042	0
4	噉	2225119	0
5	咁	2225030	0
6	啲	2103563	0
7	咗	1995799	0
8	咩	1816402	0
9	冇	1759806	0
10	睇	1429397	0
11	喺	1372535	0
12	嘢	1332312	0
13	喇	1298497	0
14	嚟	1275895	0
15	嗰	1232825	0
16	喎	1169555	0
17	哋	1064106	0
18	隻	843685	0
19	唔係	820726	0
20	畀	820637	0
21	真係	791094	0
22	咪	789225	0
23	囉	769114	0
24	唔好	617747	0
25	但係	577436	0
26	點解	486580	0
27	邊個	454723	0
28	嘩	395636	0
29	而家	374902	0
30	即係	368673	0
31	屋企	342332	0
32	鍾意	337260	0
33	嘛	322132	1
34	唔到	313412	0
35	跟住	302466	0
36	瞓	284313	0
37	邊度	282355	0
38	亦	281643	1
39	係咪	250409	0
40	呵呵	250099	0
41	同埋	244091	0
42	入面	226738	0
43	沖	218996	0
44	女仔	216416	0
45	媽咪	204670	0
46	屌	200576	0
47	噹	194792	0
48	靚	181533	0
49	撚	179308	0
50	駛	161422	1
51	兩個	158930	0
52	家姐	154570	0
53	點樣	150654	0
54	仲有	143269	0
55	頭先	138018	0
56	少少	137929	0
57	啱	134904	0
58	落去	132679	0
59	依家	129120	0
60	做咩	120666	0
61	公仔	118619	0
62	啤啤	116127	0
63	出嚟	114615	0
64	男仔	110788	0
65	啫	110432	0
66	唔該	110343	0
67	吖	104826	0
68	今次	99843	0
69	五	99665	1
70	一次	95572	0
71	唔同	95127	0
72	身邊	94148	1
73	點知	92279	0
74	諗住	91211	0
75	老豆	87741	0
76	依個	84359	0
77	戴	84270	1
78	返去	81601	0
79	搣	81156	0
80	叻	80889	0
81	我見	80444	0
82	入去	75549	0
83	妳	74927	0
84	貓	74749	0
85	楂	74660	0
86	誒	72791	0
87	仲要	72613	0
88	污糟	72435	0
89	唔通	68341	0
90	望住	66473	0
91	幾時	65761	1
92	唔記得	64426	0
93	淨係	63892	0
94	細佬	62824	0
95	細妹	61845	0
96	梗係	61489	0
97	唔使	61045	0
98	噉樣	60600	0
99	好彩	60511	0
100	聽日	60244	0
101	錫	60155	1
102	啱啱	59710	0
103	啪	57574	0
104	師姐	56684	0
105	六	56595	1
106	女朋友	56328	1
107	一日	54549	0
108	成個	52413	0
109	細路	51879	0
110	幾個	51256	0
111	攰	51256	0
112	波波	50989	0
113	好食	50633	0
114	唔見	49476	0
115	喪屍	49031	0
116	食飯	48586	0
117	嗚	48497	1
118	鳩	48497	0
119	餵	48141	0
120	喵	48052	0
121	過嚟	47963	0
122	等等	46718	1
123	電視	45828	1
124	抌	44493	0
125	點算	43959	0
126	出聲	43514	0
127	轉身	43247	0
128	是不是	42945	1
129	喱	42713	0
130	定係	42535	0
131	冇乜	42357	0
132	嘅嘢	42179	0
133	大聲	42090	1
134	火車	42001	1
135	所謂	41823	0
136	諗起	41645	0
137	蚊	41378	1
138	睇住	41111	0
139	放學	40845	1
140	雪糕	40489	1
141	掛住	40311	0
142	唔好意思	39866	0
143	曳	39243	0
144	大佬	38976	0
145	揸	38442	0
146	嚮	37997	0
147	人生	37463	0
148	八	37463	1
149	先至	37374	0
150	姨姨	37196	0
151	英文	37018	0
152	轆	36662	0
153	鐘	36395	0
154	冇事	36217	0
155	得閒	35950	0
156	大學	35861	0
157	闆	35861	0
158	黑色	35861	0
159	仆街	35772	0
160	點會	35594	0
161	個位	35149	0
162	旅行	34882	1
163	返學	34437	0
164	心諗	34170	0
165	琴	34082	0
166	那裏	34029	1
167	哩個	33904	0
168	返嚟	33815	0
169	髮	33103	0
170	人類	33014	1
171	嘈	32836	0
172	早餐	32658	1
173	嗰個	32569	0
174	肚餓	32569	0
175	冇錯	32480	0
176	膊頭	32213	0
177	講嘢	31946	0
178	眼鏡	31857	1
179	好睇	31412	0
180	環境	30700	1
181	身上	30611	1
182	靚仔	30433	0
183	令到	30166	0
184	襪	30077	1
185	一係	29632	0
186	上堂	29365	0
187	麵	28831	0
188	放低	28742	0
189	唔緊要	28386	0
190	幾好	28386	0
191	一段	28119	0
192	噼	28119	0
193	無啦啦	27852	0
194	睇嚟	27852	0
195	鎖匙	27052	0
196	出街	26963	0
197	底褲	26785	0
198	碗	26785	0
199	試過	26785	0
200	依度	26696	0
201	無人	26696	0
202	只不過	26607	1
203	耳仔	26162	0
204	條女	25984	0
205	拍拖	25717	0
206	點鐘	25539	1
207	屋企人	25450	0
208	核突	25361	0
209	一步	25272	0
210	對面	25183	1
211	紮	25094	0
212	尿	25005	1
213	凳	24827	1
214	下次	24738	0
215	呢種	24471	0
216	琴晚	24471	0
217	錶	24026	0
218	坐低	23937	0
219	講真	23670	0
220	細細聲	23581	0
221	一片	23492	0
222	腦海	23403	1
223	機場	23225	1
224	玻璃	23047	1
225	有事	22958	0
226	琴日	22958	0
227	指住	22869	0
228	細個	22780	0
229	乜嘢	22691	0
230	社會	22691	0
231	天晴	22602	0
232	熊仔	22602	0
233	視線	22602	0
234	陣間	22602	0
235	對話	22424	1
236	有人	22335	0
237	幾日	22157	0
238	麵包	22157	0
239	再講	21979	0
240	畫面	21712	1
241	梳化	21534	0
242	你好	21493	0
243	答案	21267	1
244	第二個	21089	0
245	伸出	21000	0
246	有沒有	20959	0
247	上嚟	20733	0
248	點都	20733	0
249	一眼	20467	0
250	嚟講	20467	0
251	師兄	20467	0
252	讚	20289	0
253	傾計	20111	0
254	屬於	20022	1
255	地圖	19933	1
256	特登	19933	0
257	裡面	19844	0
258	課室	19844	0
259	點呀	19755	0
260	碟	19666	1
261	講緊	19221	0
262	紙巾	19043	0
263	落嚟	19043	0
264	他們	18954	1
265	唔多	18954	0
266	唔錯	18954	0
267	馬騮	18954	0
268	留低	18865	0
269	再見	18776	1
270	嗰陣	18687	0
271	裏便	18598	0
272	畀人	18509	0
273	大嗌	18420	0
274	總係	18420	0
275	鬆	18420	0
276	博客	18096	0
277	見過	18064	0
278	仲未	17975	0
279	姊妹	17975	1
280	阿叔	17975	0
281	打電話	17886	1
282	搞掂	17886	0
283	人哋	17797	0
284	社工	17708	0
285	盡量	17530	0
286	裡	17530	0
287	視頻	17528	0
288	枕頭	17441	1
289	冇問題	17352	0
290	咖啡	17174	1
291	嗰時	17174	0
292	目的	17085	1
293	影相	16996	0
294	第一次	16941	0
295	自信	16551	1
296	細聲	16462	0
297	等陣	16373	0
298	失望	16284	1
299	舖	16195	0
300	桶	15839	0
301	蝦	15750	1
302	行埋	15750	0
303	埋嚟	15661	0
304	生果	15661	0
305	音樂	15661	1
306	幾耐	15483	0
307	聽過	15394	0
308	只會	15305	0
309	衰人	15216	0
310	提子	15127	0
311	傻仔	15038	0
312	唔舒服	15038	0
313	好靚	15038	0
314	條友	15038	0
315	入到	14949	0
316	消防員	14949	0
317	銀包	14949	0
318	科技	14860	1
319	嗄	14771	0
320	港人	14771	0
321	牙膏	14771	0
322	兜過	14593	0
323	狗仔	14593	0
324	帖子	14576	0
325	邊有	14504	0
326	香蕉	14504	0
327	橙汁	14415	0
328	碌	14415	0
329	印象	14326	1
330	講笑	14326	0
331	拖鞋	14237	0
332	班主任	14237	0
333	將我	14148	0
334	打機	14148	0
335	天使	13970	0
336	就快	13970	0
337	石頭	13970	1
338	第二日	13970	0
339	多嘢	13881	0
340	擰轉	13881	0
341	將會	13703	0
342	氹	13703	0
343	醉	13615	1
344	雀仔	13615	0
345	夠膽	13526	0
346	請問	13437	1
347	講下	13437	0
348	後便	13348	0
349	正正	13348	0
350	兔仔	13259	0
351	會話	13259	1
352	匙羹	13170	0
353	嚟㗎	13170	0
354	朝早	13170	0
355	食嘢	13170	0
356	上網	13081	0
357	啵	13081	0
358	狼	13081	0
359	拳頭	12992	1
